candidate_id,title,authors,year,doi,arxiv_id,primary_url,facets,families,method_groups,query_ids,route_occurrences,score,decision,screen_reason,provenance
arxiv:2606.13790,Stochastic Path Sampler For Lattice Field Theory,Shiyang Chen; Moxian Qian; Gert Aarts; Biagio Lucini; Kai Zhou,2026,,2606.13790,http://arxiv.org/abs/2606.13790v1,correction;extension;identity;objective,extension;keyword;root,failure,Q01;Q03;Q25;Q26;Q27;Q33,7,121,include,score=121; phrase_hits=11; strong_domain=lattice field;markov chain monte carlo;phi 4;unnormalized target; root_methods=; domain=field;lattice;markov;monte;path;phi;sampl;stochastic; routes=extension;keyword;root,current OpenAlex response;current arXiv API response
arxiv:2502.05504,Physics-Conditioned Diffusion Models for Lattice Gauge Theory,Qianteng Zhu; Gert Aarts; Wei Wang; Kai Zhou; Lingxiao Wang,2025,10.48550/arxiv.2502.05504,2502.05504,http://arxiv.org/abs/2502.05504,author;extension;lineage,author;backward;extension,diffusion;failure;gauge,Q04;Q06;Q33,3,20,include,score=20; phrase_hits=2; strong_domain=gauge theory;lattice gauge; root_methods=; domain=diffusion;gauge;lattice;monte;sampl;stochastic;topolog; routes=author;backward;extension,current OpenAlex response;current root bibliography ref 26
arxiv:2409.15937,Numerical determination of the width and shape of the effective string using Stochastic Normalizing Flows,Michele Caselle; Elia Cellini; Alessandro Nada,2024,10.48550/arxiv.2409.15937,2409.15937,http://arxiv.org/abs/2409.15937,extension;lineage,backward;extension,flow;gauge;stochastic_flow,Q04;Q33,2,19,include,score=19; phrase_hits=2; strong_domain=lattice gauge;stochastic normalizing flow; root_methods=stochastic normalizing flow; domain=flow;gauge;lattice;monte;sampl;stochastic; routes=backward;extension,current OpenAlex response;current root bibliography ref 22
arxiv:2412.19109,Stochastic normalizing flows for Effective String Theory,Michele Caselle; Elia Cellini; Alessandro Nada,2024,,2412.19109,http://arxiv.org/abs/2412.19109v2,adjacent_method;lineage,backward;keyword,flow;gauge;scaling;stochastic_flow,Q04;Q28,2,18,include,score=18; phrase_hits=3; strong_domain=lattice field;markov chain monte carlo;stochastic normalizing flow; root_methods=stochastic normalizing flow; domain=field;flow;gauge;lattice;markov;monte;sampl;stochastic; routes=backward;keyword,current arXiv API response;current root bibliography ref 21
arxiv:2210.03139,Stochastic normalizing flows for lattice field theory,Michele Caselle; Elia Cellini; Alessandro Nada; Marco Panero,2022,,2210.03139,http://arxiv.org/abs/2210.03139v1,adjacent_method;lineage,backward;keyword,flow;stochastic_flow,Q04;Q28,2,18,include,score=18; phrase_hits=3; strong_domain=boltzmann distribution;lattice field;phi 4;stochastic normalizing flow; root_methods=stochastic normalizing flow; domain=boltzmann;field;flow;lattice;monte;phi;sampl;stochastic; routes=backward;keyword,current arXiv API response;current root bibliography ref 20
arxiv:2605.11199,Operator Spectroscopy of Trained Lattice Samplers,Moxian Qian,2026,,2605.11199,https://arxiv.org/abs/2605.11199,author;lineage,author;backward,failure;gauge,Q04;W01,2,17,include,score=17; phrase_hits=1; strong_domain=; root_methods=; domain=gauge;lattice;sampl; routes=author;backward,current root bibliography ref 32;current-run web author search
arxiv:2201.08862,Stochastic normalizing flows as non-equilibrium transformations,Michele Caselle; Elia Cellini; Alessandro Nada; Marco Panero,2022,,2201.08862,http://arxiv.org/abs/2201.08862v3,adjacent_method;lineage,backward;keyword,flow;gauge;stochastic_flow,Q04;Q28,2,17,include,score=17; phrase_hits=2; strong_domain=lattice field;lattice gauge;stochastic normalizing flow; root_methods=stochastic normalizing flow; domain=field;flow;gauge;lattice;monte;sampl;stochastic; routes=backward;keyword,current arXiv API response;current root bibliography ref 19
arxiv:2512.19575,Variational Autoregressive Networks Applied to phi4 Field Theory Systems,Moxian Qian; Shiyang Chen,2025,,2512.19575,https://arxiv.org/abs/2512.19575,author;lineage,author;backward,,Q04;W02,2,17,include,score=17; phrase_hits=1; strong_domain=; root_methods=; domain=field;phi;sampl; routes=author;backward,current root bibliography ref 11;current-run web author search
doi:10.1007/jhep05(2024)060,Diffusion models as stochastic quantization in lattice field theory,Lili Wang; Gert Aarts; Kai Zhou,2024,10.1007/jhep05(2024)060,,https://doi.org/10.1007/jhep05(2024)060,failure;identity,adversarial;root,diffusion;failure,Q01;Q32,2,15,include,score=15; phrase_hits=4; strong_domain=lattice field;markov chain monte carlo;phi 4; root_methods=; domain=diffusion;field;lattice;markov;monte;phi;sampl;stochastic; routes=adversarial;root,current OpenAlex response
arxiv:2311.03578,Generative Diffusion Models for Lattice Field Theory,Lingxiao Wang; Gert Aarts; Kai Zhou,2023,10.48550/arxiv.2311.03578,2311.03578,http://arxiv.org/abs/2311.03578,author,author,diffusion,Q08;Q10,2,15,include,score=15; phrase_hits=2; strong_domain=lattice field;phi 4; root_methods=; domain=diffusion;field;lattice;phi;sampl;stochastic; routes=author,current OpenAlex response
