EdgeID,SourceID,TargetID,EdgeType,DirectlyCited,EvidenceID,RelationBasis,Confidence,HumanReviewStatus,PublicGraphStatus
R001,arxiv:2111.15141,arxiv:2606.13790,direct_citation,yes,E-260613790-I,"Exact arXiv identifier appears in current-run text extraction at line 1751: International Conference on Learning Representations (ICLR), 2022 [2111.15141].",high,reviewed,show
R002,arxiv:2302.13834,arxiv:2606.13790,direct_citation,yes,E-260613790-I,"Exact arXiv identifier appears in current-run text extraction at line 1753: Conference on Learning Representations (ICLR), 2023 [2302.13834].",high,reviewed,show
R003,arxiv:2307.01050,arxiv:2606.13790,direct_citation,yes,E-260613790-I,"Exact arXiv identifier appears in current-run text extraction at line 1760: (ICLR), 2024 [2307.01050].",high,reviewed,show
R004,arxiv:2410.02711,arxiv:2606.13790,direct_citation,yes,E-260613790-I,Exact arXiv identifier appears in current-run text extraction at line 1762: 2410.02711.,high,reviewed,show
R005,arxiv:2409.15937,arxiv:2606.13790,direct_citation,yes,E-260613790-I,"Exact arXiv identifier appears in current-run text extraction at line 1723: effective string using Stochastic Normalizing Flows, JHEP 02 (2025) 090 [2409.15937].",high,reviewed,show
R006,arxiv:2412.19109,arxiv:2606.13790,direct_citation,yes,E-260613790-I,Exact arXiv identifier appears in current-run text extraction at line 1721: 2412.19109.,high,reviewed,show
R007,arxiv:2210.03139,arxiv:2606.13790,direct_citation,yes,E-260613790-I,"Exact arXiv identifier appears in current-run text extraction at line 1719: theory, PoS LATTICE2022 (2023) 005 [2210.03139].",high,reviewed,show
R008,arxiv:2201.08862,arxiv:2606.13790,direct_citation,yes,E-260613790-I,"Exact arXiv identifier appears in current-run text extraction at line 1717: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",high,reviewed,show
R009,arxiv:2502.05504,arxiv:2606.13790,direct_citation,yes,E-260613790-I,"Exact arXiv identifier appears in current-run text extraction at line 1738: lattice gauge theory, JHEP 03 (2026) 111 [2502.05504].",high,reviewed,show
R010,arxiv:2605.06134,arxiv:2606.13790,direct_citation,yes,E-260613790-I,Exact arXiv identifier appears in current-run text extraction at line 1746: 2605.06134.,high,reviewed,show
R011,arxiv:2211.01364,arxiv:2606.13790,direct_citation,yes,E-260613790-I,"Exact arXiv identifier appears in current-run text extraction at line 1755: generative modeling, Transactions on Machine Learning Research (2024) [2211.01364].",high,reviewed,show
R012,arxiv:2605.11199,arxiv:2606.13790,direct_citation,yes,E-260613790-I,"Exact arXiv identifier appears in current-run text extraction at line 1749: [32] M. Qian, Operator Spectroscopy of Trained Lattice Samplers, 2605.11199.",high,reviewed,show
R013,arxiv:2106.05934,arxiv:2606.13790,direct_citation,yes,E-260613790-I,Exact arXiv identifier appears in current-run text extraction at line 1680: [2106.05934].,high,reviewed,show
