paper_id,arxiv_id,title,year,family,source_relation,primary_url,discovered_primary_url,pdf_url,doi,full_text,manual_read,claim_status,pdf_sha256
P001,2606.13790,Stochastic Path Sampler For Lattice Field Theory,2026,SPS,root,https://arxiv.org/abs/2606.13790,http://arxiv.org/abs/2606.13790v1,https://arxiv.org/pdf/2606.13790,,verified,yes,green_check,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17
P002,2111.15141,Path Integral Sampler: a stochastic control approach for sampling,2022,Path-space control,direct_bibliography,https://arxiv.org/abs/2111.15141,https://arxiv.org/abs/2111.15141,https://arxiv.org/pdf/2111.15141,,verified,yes,green_check,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8
P003,2302.13834,Denoising Diffusion Samplers,2023,Path-space control,direct_bibliography,https://arxiv.org/abs/2302.13834,https://arxiv.org/abs/2302.13834,https://arxiv.org/pdf/2302.13834,,verified,yes,green_check,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321
P004,2307.01050,Transport meets Variational Inference: Controlled Monte Carlo Diffusions,2024,Path-space control,direct_bibliography,https://arxiv.org/abs/2307.01050,https://arxiv.org/abs/2307.01050,https://arxiv.org/pdf/2307.01050,,verified,yes,green_check,53ccf9eacc9476d81b885750959fb9792bc68f37d1f468c2d8d3f0013645f1a1
P005,2410.02711,NETS: A Non-Equilibrium Transport Sampler,2024,Path-space control,direct_bibliography,https://arxiv.org/abs/2410.02711,https://arxiv.org/abs/2410.02711,https://arxiv.org/pdf/2410.02711,,verified,yes,green_check,3f115239f2ca5de2d7c560e21ae84e33f20a0979e515c875fb6ceb3406af3a55
P006,2409.15937,Numerical determination of the width and shape of the effective string using Stochastic Normalizing Flows,2024,Stochastic flows,direct_bibliography,https://arxiv.org/abs/2409.15937,http://arxiv.org/abs/2409.15937,https://arxiv.org/pdf/2409.15937,10.48550/arxiv.2409.15937,verified,yes,green_check,1678a1c65e7728818bd4a3b732b61458efc23b3f7db868c774a7c1a03ccbd329
P007,2412.19109,Stochastic normalizing flows for Effective String Theory,2024,Stochastic flows,direct_bibliography,https://arxiv.org/abs/2412.19109,http://arxiv.org/abs/2412.19109v2,https://arxiv.org/pdf/2412.19109,,verified,yes,green_check,dc3b3f846eb7f13f9b9a50021f993ab6bc34c8755a9fe3cdb5f9a3dcf7a41536
P008,2210.03139,Stochastic normalizing flows for lattice field theory,2022,Stochastic flows,direct_bibliography,https://arxiv.org/abs/2210.03139,http://arxiv.org/abs/2210.03139v1,https://arxiv.org/pdf/2210.03139,,verified,yes,green_check,6e55973206bb8030e21bdd951bc005c64dbabf2698a4491f1d21e5ca29909cc8
P009,2201.08862,Stochastic normalizing flows as non-equilibrium transformations,2022,Stochastic flows,direct_bibliography,https://arxiv.org/abs/2201.08862,http://arxiv.org/abs/2201.08862v3,https://arxiv.org/pdf/2201.08862,,verified,yes,green_check,798759d54c5256ac75eb188fac679c96d0af51979894b85d0c72c7db03817858
P010,2502.05504,Physics-Conditioned Diffusion Models for Lattice Gauge Theory,2025,Diffusion,direct_bibliography,https://arxiv.org/abs/2502.05504,http://arxiv.org/abs/2502.05504,https://arxiv.org/pdf/2502.05504,10.48550/arxiv.2502.05504,verified,yes,green_check,0b9548d039926d29e6e89f60fa806d22681f4079c78936f901fdb5aca12b87fa
P011,2311.03578,Generative Diffusion Models for Lattice Field Theory,2023,Diffusion,author_context,https://arxiv.org/abs/2311.03578,http://arxiv.org/abs/2311.03578,https://arxiv.org/pdf/2311.03578,10.48550/arxiv.2311.03578,verified,yes,green_check,bf6e772c236bcaec0901f01be734f24914bf66d9380cd2ed7ddf9c3635c4b3df
P012,2605.06134,Diffusion model for SU(N) gauge theories,2026,Diffusion,direct_bibliography,https://arxiv.org/abs/2605.06134,https://arxiv.org/abs/2605.06134,https://arxiv.org/pdf/2605.06134,,verified,yes,green_check,7b2695ebaa774b7eeb7cada771068461248361495975bd440ff5a2ceee97a4de
P013,2211.01364,An optimal control perspective on diffusion-based generative modeling,2022,Path-space control,direct_bibliography,https://arxiv.org/abs/2211.01364,http://arxiv.org/abs/2211.01364,https://arxiv.org/pdf/2211.01364,10.48550/arxiv.2211.01364,verified,yes,green_check,acc14bcda73d11c0a46913696e81622d5add9b147b042754a6b5c1486949e5ba
P014,2605.11199,Operator Spectroscopy of Trained Lattice Samplers,2026,Diagnostics / theory,direct_bibliography,https://arxiv.org/abs/2605.11199,https://arxiv.org/abs/2605.11199,https://arxiv.org/pdf/2605.11199,,verified,yes,green_check,5cd87c3a8a6ed6c2a6d8bc7a3e414e0c6fc92f3d42ac6b122270c2d643e49a96
P015,2106.05934,Flow-based sampling for fermionic lattice field theories,2021,Normalizing flows,direct_bibliography,https://arxiv.org/abs/2106.05934,http://arxiv.org/abs/2106.05934v2,https://arxiv.org/pdf/2106.05934,,verified,yes,green_check,ea75b10a32baf6510c3b1d3696759c6e1c4be346d1e257e5b43282ca64c909ac
