edge_id,source,target,weight,relation,evidence
CE00001,paper:arxiv:2606.13790,author:shiyang_chen,0.55,paper_to_author,arxiv:2606.13790
CE00002,author:shiyang_chen,paper:arxiv:2606.13790,0.7,author_to_paper,arxiv:2606.13790
CE00003,paper:arxiv:2606.13790,author:moxian_qian,0.55,paper_to_author,arxiv:2606.13790
CE00004,author:moxian_qian,paper:arxiv:2606.13790,0.7,author_to_paper,arxiv:2606.13790
CE00005,paper:arxiv:2606.13790,author:gert_aarts,0.55,paper_to_author,arxiv:2606.13790
CE00006,author:gert_aarts,paper:arxiv:2606.13790,0.7,author_to_paper,arxiv:2606.13790
CE00007,paper:arxiv:2606.13790,author:biagio_lucini,0.55,paper_to_author,arxiv:2606.13790
CE00008,author:biagio_lucini,paper:arxiv:2606.13790,0.7,author_to_paper,arxiv:2606.13790
CE00009,paper:arxiv:2606.13790,author:kai_zhou,0.55,paper_to_author,arxiv:2606.13790
CE00010,author:kai_zhou,paper:arxiv:2606.13790,0.7,author_to_paper,arxiv:2606.13790
CE00011,paper:arxiv:2606.13790,facet:correction,0.8,paper_to_facet,arxiv:2606.13790
CE00012,facet:correction,paper:arxiv:2606.13790,0.95,facet_to_paper,arxiv:2606.13790
CE00013,paper:arxiv:2606.13790,facet:extension,0.8,paper_to_facet,arxiv:2606.13790
CE00014,facet:extension,paper:arxiv:2606.13790,0.95,facet_to_paper,arxiv:2606.13790
CE00015,paper:arxiv:2606.13790,facet:identity,0.8,paper_to_facet,arxiv:2606.13790
CE00016,facet:identity,paper:arxiv:2606.13790,0.95,facet_to_paper,arxiv:2606.13790
CE00017,paper:arxiv:2606.13790,facet:objective,0.8,paper_to_facet,arxiv:2606.13790
CE00018,facet:objective,paper:arxiv:2606.13790,0.95,facet_to_paper,arxiv:2606.13790
CE00019,paper:arxiv:2502.05504,author:qianteng_zhu,0.55,paper_to_author,arxiv:2502.05504
CE00020,author:qianteng_zhu,paper:arxiv:2502.05504,0.7,author_to_paper,arxiv:2502.05504
CE00021,paper:arxiv:2502.05504,author:gert_aarts,0.55,paper_to_author,arxiv:2502.05504
CE00022,author:gert_aarts,paper:arxiv:2502.05504,0.7,author_to_paper,arxiv:2502.05504
CE00023,paper:arxiv:2502.05504,author:wei_wang,0.55,paper_to_author,arxiv:2502.05504
CE00024,author:wei_wang,paper:arxiv:2502.05504,0.7,author_to_paper,arxiv:2502.05504
CE00025,paper:arxiv:2502.05504,author:kai_zhou,0.55,paper_to_author,arxiv:2502.05504
CE00026,author:kai_zhou,paper:arxiv:2502.05504,0.7,author_to_paper,arxiv:2502.05504
CE00027,paper:arxiv:2502.05504,author:lingxiao_wang,0.55,paper_to_author,arxiv:2502.05504
CE00028,author:lingxiao_wang,paper:arxiv:2502.05504,0.7,author_to_paper,arxiv:2502.05504
CE00029,paper:arxiv:2502.05504,facet:author,0.8,paper_to_facet,arxiv:2502.05504
CE00030,facet:author,paper:arxiv:2502.05504,0.95,facet_to_paper,arxiv:2502.05504
CE00031,paper:arxiv:2502.05504,facet:extension,0.8,paper_to_facet,arxiv:2502.05504
CE00032,facet:extension,paper:arxiv:2502.05504,0.95,facet_to_paper,arxiv:2502.05504
CE00033,paper:arxiv:2502.05504,facet:lineage,0.8,paper_to_facet,arxiv:2502.05504
CE00034,facet:lineage,paper:arxiv:2502.05504,0.95,facet_to_paper,arxiv:2502.05504
CE00035,paper:arxiv:2409.15937,author:michele_caselle,0.55,paper_to_author,arxiv:2409.15937
CE00036,author:michele_caselle,paper:arxiv:2409.15937,0.7,author_to_paper,arxiv:2409.15937
CE00037,paper:arxiv:2409.15937,author:elia_cellini,0.55,paper_to_author,arxiv:2409.15937
CE00038,author:elia_cellini,paper:arxiv:2409.15937,0.7,author_to_paper,arxiv:2409.15937
CE00039,paper:arxiv:2409.15937,author:alessandro_nada,0.55,paper_to_author,arxiv:2409.15937
CE00040,author:alessandro_nada,paper:arxiv:2409.15937,0.7,author_to_paper,arxiv:2409.15937
CE00041,paper:arxiv:2409.15937,facet:extension,0.8,paper_to_facet,arxiv:2409.15937
CE00042,facet:extension,paper:arxiv:2409.15937,0.95,facet_to_paper,arxiv:2409.15937
CE00043,paper:arxiv:2409.15937,facet:lineage,0.8,paper_to_facet,arxiv:2409.15937
CE00044,facet:lineage,paper:arxiv:2409.15937,0.95,facet_to_paper,arxiv:2409.15937
CE00045,paper:arxiv:2412.19109,author:michele_caselle,0.55,paper_to_author,arxiv:2412.19109
CE00046,author:michele_caselle,paper:arxiv:2412.19109,0.7,author_to_paper,arxiv:2412.19109
CE00047,paper:arxiv:2412.19109,author:elia_cellini,0.55,paper_to_author,arxiv:2412.19109
CE00048,author:elia_cellini,paper:arxiv:2412.19109,0.7,author_to_paper,arxiv:2412.19109
CE00049,paper:arxiv:2412.19109,author:alessandro_nada,0.55,paper_to_author,arxiv:2412.19109
CE00050,author:alessandro_nada,paper:arxiv:2412.19109,0.7,author_to_paper,arxiv:2412.19109
CE00051,paper:arxiv:2412.19109,facet:adjacent_method,0.8,paper_to_facet,arxiv:2412.19109
CE00052,facet:adjacent_method,paper:arxiv:2412.19109,0.95,facet_to_paper,arxiv:2412.19109
CE00053,paper:arxiv:2412.19109,facet:lineage,0.8,paper_to_facet,arxiv:2412.19109
CE00054,facet:lineage,paper:arxiv:2412.19109,0.95,facet_to_paper,arxiv:2412.19109
CE00055,paper:arxiv:2210.03139,author:michele_caselle,0.55,paper_to_author,arxiv:2210.03139
CE00056,author:michele_caselle,paper:arxiv:2210.03139,0.7,author_to_paper,arxiv:2210.03139
CE00057,paper:arxiv:2210.03139,author:elia_cellini,0.55,paper_to_author,arxiv:2210.03139
CE00058,author:elia_cellini,paper:arxiv:2210.03139,0.7,author_to_paper,arxiv:2210.03139
CE00059,paper:arxiv:2210.03139,author:alessandro_nada,0.55,paper_to_author,arxiv:2210.03139
CE00060,author:alessandro_nada,paper:arxiv:2210.03139,0.7,author_to_paper,arxiv:2210.03139
CE00061,paper:arxiv:2210.03139,author:marco_panero,0.55,paper_to_author,arxiv:2210.03139
CE00062,author:marco_panero,paper:arxiv:2210.03139,0.7,author_to_paper,arxiv:2210.03139
CE00063,paper:arxiv:2210.03139,facet:adjacent_method,0.8,paper_to_facet,arxiv:2210.03139
CE00064,facet:adjacent_method,paper:arxiv:2210.03139,0.95,facet_to_paper,arxiv:2210.03139
CE00065,paper:arxiv:2210.03139,facet:lineage,0.8,paper_to_facet,arxiv:2210.03139
CE00066,facet:lineage,paper:arxiv:2210.03139,0.95,facet_to_paper,arxiv:2210.03139
CE00067,paper:arxiv:2201.08862,author:michele_caselle,0.55,paper_to_author,arxiv:2201.08862
CE00068,author:michele_caselle,paper:arxiv:2201.08862,0.7,author_to_paper,arxiv:2201.08862
CE00069,paper:arxiv:2201.08862,author:elia_cellini,0.55,paper_to_author,arxiv:2201.08862
CE00070,author:elia_cellini,paper:arxiv:2201.08862,0.7,author_to_paper,arxiv:2201.08862
CE00071,paper:arxiv:2201.08862,author:alessandro_nada,0.55,paper_to_author,arxiv:2201.08862
CE00072,author:alessandro_nada,paper:arxiv:2201.08862,0.7,author_to_paper,arxiv:2201.08862
CE00073,paper:arxiv:2201.08862,author:marco_panero,0.55,paper_to_author,arxiv:2201.08862
CE00074,author:marco_panero,paper:arxiv:2201.08862,0.7,author_to_paper,arxiv:2201.08862
CE00075,paper:arxiv:2201.08862,facet:adjacent_method,0.8,paper_to_facet,arxiv:2201.08862
CE00076,facet:adjacent_method,paper:arxiv:2201.08862,0.95,facet_to_paper,arxiv:2201.08862
CE00077,paper:arxiv:2201.08862,facet:lineage,0.8,paper_to_facet,arxiv:2201.08862
CE00078,facet:lineage,paper:arxiv:2201.08862,0.95,facet_to_paper,arxiv:2201.08862
CE00079,paper:doi:10.1007/jhep05(2024)060,author:lili_wang,0.55,paper_to_author,doi:10.1007/jhep05(2024)060
CE00080,author:lili_wang,paper:doi:10.1007/jhep05(2024)060,0.7,author_to_paper,doi:10.1007/jhep05(2024)060
CE00081,paper:doi:10.1007/jhep05(2024)060,author:gert_aarts,0.55,paper_to_author,doi:10.1007/jhep05(2024)060
CE00082,author:gert_aarts,paper:doi:10.1007/jhep05(2024)060,0.7,author_to_paper,doi:10.1007/jhep05(2024)060
CE00083,paper:doi:10.1007/jhep05(2024)060,author:kai_zhou,0.55,paper_to_author,doi:10.1007/jhep05(2024)060
CE00084,author:kai_zhou,paper:doi:10.1007/jhep05(2024)060,0.7,author_to_paper,doi:10.1007/jhep05(2024)060
CE00085,paper:doi:10.1007/jhep05(2024)060,facet:failure,0.8,paper_to_facet,doi:10.1007/jhep05(2024)060
CE00086,facet:failure,paper:doi:10.1007/jhep05(2024)060,0.95,facet_to_paper,doi:10.1007/jhep05(2024)060
CE00087,paper:doi:10.1007/jhep05(2024)060,facet:identity,0.8,paper_to_facet,doi:10.1007/jhep05(2024)060
CE00088,facet:identity,paper:doi:10.1007/jhep05(2024)060,0.95,facet_to_paper,doi:10.1007/jhep05(2024)060
CE00089,paper:arxiv:2311.03578,author:lingxiao_wang,0.55,paper_to_author,arxiv:2311.03578
CE00090,author:lingxiao_wang,paper:arxiv:2311.03578,0.7,author_to_paper,arxiv:2311.03578
CE00091,paper:arxiv:2311.03578,author:gert_aarts,0.55,paper_to_author,arxiv:2311.03578
CE00092,author:gert_aarts,paper:arxiv:2311.03578,0.7,author_to_paper,arxiv:2311.03578
CE00093,paper:arxiv:2311.03578,author:kai_zhou,0.55,paper_to_author,arxiv:2311.03578
CE00094,author:kai_zhou,paper:arxiv:2311.03578,0.7,author_to_paper,arxiv:2311.03578
CE00095,paper:arxiv:2311.03578,facet:author,0.8,paper_to_facet,arxiv:2311.03578
CE00096,facet:author,paper:arxiv:2311.03578,0.95,facet_to_paper,arxiv:2311.03578
CE00097,paper:arxiv:2605.06134,author:javad_komijani,0.55,paper_to_author,arxiv:2605.06134
CE00098,author:javad_komijani,paper:arxiv:2605.06134,0.7,author_to_paper,arxiv:2605.06134
CE00099,paper:arxiv:2605.06134,author:marina_k_marinkovic,0.55,paper_to_author,arxiv:2605.06134
CE00100,author:marina_k_marinkovic,paper:arxiv:2605.06134,0.7,author_to_paper,arxiv:2605.06134
CE00101,paper:arxiv:2605.06134,author:lara_turgut,0.55,paper_to_author,arxiv:2605.06134
CE00102,author:lara_turgut,paper:arxiv:2605.06134,0.7,author_to_paper,arxiv:2605.06134
CE00103,paper:arxiv:2605.06134,facet:author,0.8,paper_to_facet,arxiv:2605.06134
CE00104,facet:author,paper:arxiv:2605.06134,0.95,facet_to_paper,arxiv:2605.06134
CE00105,paper:arxiv:2605.06134,facet:lineage,0.8,paper_to_facet,arxiv:2605.06134
CE00106,facet:lineage,paper:arxiv:2605.06134,0.95,facet_to_paper,arxiv:2605.06134
CE00107,paper:arxiv:2106.05934,author:michael_s_albergo,0.55,paper_to_author,arxiv:2106.05934
CE00108,author:michael_s_albergo,paper:arxiv:2106.05934,0.7,author_to_paper,arxiv:2106.05934
CE00109,paper:arxiv:2106.05934,author:gurtej_kanwar,0.55,paper_to_author,arxiv:2106.05934
CE00110,author:gurtej_kanwar,paper:arxiv:2106.05934,0.7,author_to_paper,arxiv:2106.05934
CE00111,paper:arxiv:2106.05934,author:s_bastien_racani_re,0.55,paper_to_author,arxiv:2106.05934
CE00112,author:s_bastien_racani_re,paper:arxiv:2106.05934,0.7,author_to_paper,arxiv:2106.05934
CE00113,paper:arxiv:2106.05934,author:danilo_j_rezende,0.55,paper_to_author,arxiv:2106.05934
CE00114,author:danilo_j_rezende,paper:arxiv:2106.05934,0.7,author_to_paper,arxiv:2106.05934
CE00115,paper:arxiv:2106.05934,author:julian_m_urban,0.55,paper_to_author,arxiv:2106.05934
CE00116,author:julian_m_urban,paper:arxiv:2106.05934,0.7,author_to_paper,arxiv:2106.05934
CE00117,paper:arxiv:2106.05934,author:denis_boyda,0.55,paper_to_author,arxiv:2106.05934
CE00118,author:denis_boyda,paper:arxiv:2106.05934,0.7,author_to_paper,arxiv:2106.05934
CE00119,paper:arxiv:2106.05934,author:kyle_cranmer,0.55,paper_to_author,arxiv:2106.05934
CE00120,author:kyle_cranmer,paper:arxiv:2106.05934,0.7,author_to_paper,arxiv:2106.05934
CE00121,paper:arxiv:2106.05934,author:daniel_c_hackett,0.55,paper_to_author,arxiv:2106.05934
CE00122,author:daniel_c_hackett,paper:arxiv:2106.05934,0.7,author_to_paper,arxiv:2106.05934
CE00123,paper:arxiv:2106.05934,author:phiala_e_shanahan,0.55,paper_to_author,arxiv:2106.05934
CE00124,author:phiala_e_shanahan,paper:arxiv:2106.05934,0.7,author_to_paper,arxiv:2106.05934
CE00125,paper:arxiv:2106.05934,facet:adjacent_method,0.8,paper_to_facet,arxiv:2106.05934
CE00126,facet:adjacent_method,paper:arxiv:2106.05934,0.95,facet_to_paper,arxiv:2106.05934
CE00127,paper:arxiv:2106.05934,facet:lineage,0.8,paper_to_facet,arxiv:2106.05934
CE00128,facet:lineage,paper:arxiv:2106.05934,0.95,facet_to_paper,arxiv:2106.05934
CE00129,paper:arxiv:2409.18861,author:andrea_bulgarelli,0.55,paper_to_author,arxiv:2409.18861
CE00130,author:andrea_bulgarelli,paper:arxiv:2409.18861,0.7,author_to_paper,arxiv:2409.18861
CE00131,paper:arxiv:2409.18861,author:elia_cellini,0.55,paper_to_author,arxiv:2409.18861
CE00132,author:elia_cellini,paper:arxiv:2409.18861,0.7,author_to_paper,arxiv:2409.18861
CE00133,paper:arxiv:2409.18861,author:alessandro_nada,0.55,paper_to_author,arxiv:2409.18861
CE00134,author:alessandro_nada,paper:arxiv:2409.18861,0.7,author_to_paper,arxiv:2409.18861
CE00135,paper:arxiv:2409.18861,facet:adjacent_method,0.8,paper_to_facet,arxiv:2409.18861
CE00136,facet:adjacent_method,paper:arxiv:2409.18861,0.95,facet_to_paper,arxiv:2409.18861
CE00137,paper:arxiv:2409.18861,facet:extension,0.8,paper_to_facet,arxiv:2409.18861
CE00138,facet:extension,paper:arxiv:2409.18861,0.95,facet_to_paper,arxiv:2409.18861
CE00139,paper:arxiv:2211.01364,author:julius_berner,0.55,paper_to_author,arxiv:2211.01364
CE00140,author:julius_berner,paper:arxiv:2211.01364,0.7,author_to_paper,arxiv:2211.01364
CE00141,paper:arxiv:2211.01364,author:lorenz_richter,0.55,paper_to_author,arxiv:2211.01364
CE00142,author:lorenz_richter,paper:arxiv:2211.01364,0.7,author_to_paper,arxiv:2211.01364
CE00143,paper:arxiv:2211.01364,author:karen_ullrich,0.55,paper_to_author,arxiv:2211.01364
CE00144,author:karen_ullrich,paper:arxiv:2211.01364,0.7,author_to_paper,arxiv:2211.01364
CE00145,paper:arxiv:2211.01364,facet:lineage,0.8,paper_to_facet,arxiv:2211.01364
CE00146,facet:lineage,paper:arxiv:2211.01364,0.95,facet_to_paper,arxiv:2211.01364
CE00147,paper:doi:10.1007/jhep03(2026)111,author:qianteng_zhu,0.55,paper_to_author,doi:10.1007/jhep03(2026)111
CE00148,author:qianteng_zhu,paper:doi:10.1007/jhep03(2026)111,0.7,author_to_paper,doi:10.1007/jhep03(2026)111
CE00149,paper:doi:10.1007/jhep03(2026)111,author:gert_aarts,0.55,paper_to_author,doi:10.1007/jhep03(2026)111
CE00150,author:gert_aarts,paper:doi:10.1007/jhep03(2026)111,0.7,author_to_paper,doi:10.1007/jhep03(2026)111
CE00151,paper:doi:10.1007/jhep03(2026)111,author:wei_wang,0.55,paper_to_author,doi:10.1007/jhep03(2026)111
CE00152,author:wei_wang,paper:doi:10.1007/jhep03(2026)111,0.7,author_to_paper,doi:10.1007/jhep03(2026)111
CE00153,paper:doi:10.1007/jhep03(2026)111,author:kai_zhou,0.55,paper_to_author,doi:10.1007/jhep03(2026)111
CE00154,author:kai_zhou,paper:doi:10.1007/jhep03(2026)111,0.7,author_to_paper,doi:10.1007/jhep03(2026)111
CE00155,paper:doi:10.1007/jhep03(2026)111,author:lingxiao_wang,0.55,paper_to_author,doi:10.1007/jhep03(2026)111
CE00156,author:lingxiao_wang,paper:doi:10.1007/jhep03(2026)111,0.7,author_to_paper,doi:10.1007/jhep03(2026)111
CE00157,paper:doi:10.1007/jhep03(2026)111,facet:author,0.8,paper_to_facet,doi:10.1007/jhep03(2026)111
CE00158,facet:author,paper:doi:10.1007/jhep03(2026)111,0.95,facet_to_paper,doi:10.1007/jhep03(2026)111
CE00159,paper:doi:10.1007/jhep03(2026)111,facet:extension,0.8,paper_to_facet,doi:10.1007/jhep03(2026)111
CE00160,facet:extension,paper:doi:10.1007/jhep03(2026)111,0.95,facet_to_paper,doi:10.1007/jhep03(2026)111
CE00161,paper:arxiv:2211.07541,author:ryan_abbott,0.55,paper_to_author,arxiv:2211.07541
CE00162,author:ryan_abbott,paper:arxiv:2211.07541,0.7,author_to_paper,arxiv:2211.07541
CE00163,paper:arxiv:2211.07541,author:michael_s_albergo,0.55,paper_to_author,arxiv:2211.07541
CE00164,author:michael_s_albergo,paper:arxiv:2211.07541,0.7,author_to_paper,arxiv:2211.07541
CE00165,paper:arxiv:2211.07541,author:aleksandar_botev,0.55,paper_to_author,arxiv:2211.07541
CE00166,author:aleksandar_botev,paper:arxiv:2211.07541,0.7,author_to_paper,arxiv:2211.07541
CE00167,paper:arxiv:2211.07541,author:denis_boyda,0.55,paper_to_author,arxiv:2211.07541
CE00168,author:denis_boyda,paper:arxiv:2211.07541,0.7,author_to_paper,arxiv:2211.07541
CE00169,paper:arxiv:2211.07541,author:k_cranmer,0.55,paper_to_author,arxiv:2211.07541
CE00170,author:k_cranmer,paper:arxiv:2211.07541,0.7,author_to_paper,arxiv:2211.07541
CE00171,paper:arxiv:2211.07541,author:daniel_c_hackett,0.55,paper_to_author,arxiv:2211.07541
CE00172,author:daniel_c_hackett,paper:arxiv:2211.07541,0.7,author_to_paper,arxiv:2211.07541
CE00173,paper:arxiv:2211.07541,author:alexander_matthews,0.55,paper_to_author,arxiv:2211.07541
CE00174,author:alexander_matthews,paper:arxiv:2211.07541,0.7,author_to_paper,arxiv:2211.07541
CE00175,paper:arxiv:2211.07541,author:s_bastien_racani_re,0.55,paper_to_author,arxiv:2211.07541
CE00176,author:s_bastien_racani_re,paper:arxiv:2211.07541,0.7,author_to_paper,arxiv:2211.07541
CE00177,paper:arxiv:2211.07541,author:ali_razavi,0.55,paper_to_author,arxiv:2211.07541
CE00178,author:ali_razavi,paper:arxiv:2211.07541,0.7,author_to_paper,arxiv:2211.07541
CE00179,paper:arxiv:2211.07541,author:danilo_jimenez_rezende,0.55,paper_to_author,arxiv:2211.07541
CE00180,author:danilo_jimenez_rezende,paper:arxiv:2211.07541,0.7,author_to_paper,arxiv:2211.07541
CE00181,paper:arxiv:2211.07541,author:fernando_romero_l_pez,0.55,paper_to_author,arxiv:2211.07541
CE00182,author:fernando_romero_l_pez,paper:arxiv:2211.07541,0.7,author_to_paper,arxiv:2211.07541
CE00183,paper:arxiv:2211.07541,author:phiala_e_shanahan,0.55,paper_to_author,arxiv:2211.07541
CE00184,author:phiala_e_shanahan,paper:arxiv:2211.07541,0.7,author_to_paper,arxiv:2211.07541
CE00185,paper:arxiv:2211.07541,author:julian_m_urban,0.55,paper_to_author,arxiv:2211.07541
CE00186,author:julian_m_urban,paper:arxiv:2211.07541,0.7,author_to_paper,arxiv:2211.07541
CE00187,paper:arxiv:2211.07541,facet:extension,0.8,paper_to_facet,arxiv:2211.07541
CE00188,facet:extension,paper:arxiv:2211.07541,0.95,facet_to_paper,arxiv:2211.07541
CE00189,paper:arxiv:2309.17082,author:wang_lingxiao,0.55,paper_to_author,arxiv:2309.17082
CE00190,author:wang_lingxiao,paper:arxiv:2309.17082,0.7,author_to_paper,arxiv:2309.17082
CE00191,paper:arxiv:2309.17082,author:aarts_gert,0.55,paper_to_author,arxiv:2309.17082
CE00192,author:aarts_gert,paper:arxiv:2309.17082,0.7,author_to_paper,arxiv:2309.17082
CE00193,paper:arxiv:2309.17082,author:zhou_kai,0.55,paper_to_author,arxiv:2309.17082
CE00194,author:zhou_kai,paper:arxiv:2309.17082,0.7,author_to_paper,arxiv:2309.17082
CE00195,paper:arxiv:2309.17082,facet:lineage,0.8,paper_to_facet,arxiv:2309.17082
CE00196,facet:lineage,paper:arxiv:2309.17082,0.95,facet_to_paper,arxiv:2309.17082
CE00197,paper:arxiv:1904.12072,author:albergo_m_s,0.55,paper_to_author,arxiv:1904.12072
CE00198,author:albergo_m_s,paper:arxiv:1904.12072,0.7,author_to_paper,arxiv:1904.12072
CE00199,paper:arxiv:1904.12072,author:kanwar_g,0.55,paper_to_author,arxiv:1904.12072
CE00200,author:kanwar_g,paper:arxiv:1904.12072,0.7,author_to_paper,arxiv:1904.12072
CE00201,paper:arxiv:1904.12072,author:shanahan_p_e,0.55,paper_to_author,arxiv:1904.12072
CE00202,author:shanahan_p_e,paper:arxiv:1904.12072,0.7,author_to_paper,arxiv:1904.12072
CE00203,paper:arxiv:1904.12072,facet:lineage,0.8,paper_to_facet,arxiv:1904.12072
CE00204,facet:lineage,paper:arxiv:1904.12072,0.95,facet_to_paper,arxiv:1904.12072
CE00205,paper:arxiv:2111.15141,author:zhang_qinsheng,0.55,paper_to_author,arxiv:2111.15141
CE00206,author:zhang_qinsheng,paper:arxiv:2111.15141,0.7,author_to_paper,arxiv:2111.15141
CE00207,paper:arxiv:2111.15141,author:chen_yongxin,0.55,paper_to_author,arxiv:2111.15141
CE00208,author:chen_yongxin,paper:arxiv:2111.15141,0.7,author_to_paper,arxiv:2111.15141
CE00209,paper:arxiv:2111.15141,facet:lineage,0.8,paper_to_facet,arxiv:2111.15141
CE00210,facet:lineage,paper:arxiv:2111.15141,0.95,facet_to_paper,arxiv:2111.15141
CE00211,paper:doi:10.22323/1.466.0037,author:gert_aarts,0.55,paper_to_author,doi:10.22323/1.466.0037
CE00212,author:gert_aarts,paper:doi:10.22323/1.466.0037,0.7,author_to_paper,doi:10.22323/1.466.0037
CE00213,paper:doi:10.22323/1.466.0037,author:lingxiao_wang,0.55,paper_to_author,doi:10.22323/1.466.0037
CE00214,author:lingxiao_wang,paper:doi:10.22323/1.466.0037,0.7,author_to_paper,doi:10.22323/1.466.0037
CE00215,paper:doi:10.22323/1.466.0037,author:kai_zhou,0.55,paper_to_author,doi:10.22323/1.466.0037
CE00216,author:kai_zhou,paper:doi:10.22323/1.466.0037,0.7,author_to_paper,doi:10.22323/1.466.0037
CE00217,paper:doi:10.22323/1.466.0037,facet:author,0.8,paper_to_facet,doi:10.22323/1.466.0037
CE00218,facet:author,paper:doi:10.22323/1.466.0037,0.95,facet_to_paper,doi:10.22323/1.466.0037
CE00219,paper:doi:10.22323/1.466.0037,facet:identity,0.8,paper_to_facet,doi:10.22323/1.466.0037
CE00220,facet:identity,paper:doi:10.22323/1.466.0037,0.95,facet_to_paper,doi:10.22323/1.466.0037
CE00221,paper:arxiv:2003.06413,author:gurtej_kanwar,0.55,paper_to_author,arxiv:2003.06413
CE00222,author:gurtej_kanwar,paper:arxiv:2003.06413,0.7,author_to_paper,arxiv:2003.06413
CE00223,paper:arxiv:2003.06413,author:michael_s_albergo,0.55,paper_to_author,arxiv:2003.06413
CE00224,author:michael_s_albergo,paper:arxiv:2003.06413,0.7,author_to_paper,arxiv:2003.06413
CE00225,paper:arxiv:2003.06413,author:denis_boyda,0.55,paper_to_author,arxiv:2003.06413
CE00226,author:denis_boyda,paper:arxiv:2003.06413,0.7,author_to_paper,arxiv:2003.06413
CE00227,paper:arxiv:2003.06413,author:k_cranmer,0.55,paper_to_author,arxiv:2003.06413
CE00228,author:k_cranmer,paper:arxiv:2003.06413,0.7,author_to_paper,arxiv:2003.06413
CE00229,paper:arxiv:2003.06413,author:daniel_c_hackett,0.55,paper_to_author,arxiv:2003.06413
CE00230,author:daniel_c_hackett,paper:arxiv:2003.06413,0.7,author_to_paper,arxiv:2003.06413
CE00231,paper:arxiv:2003.06413,author:s_bastien_racani_re,0.55,paper_to_author,arxiv:2003.06413
CE00232,author:s_bastien_racani_re,paper:arxiv:2003.06413,0.7,author_to_paper,arxiv:2003.06413
CE00233,paper:arxiv:2003.06413,author:danilo_jimenez_rezende,0.55,paper_to_author,arxiv:2003.06413
CE00234,author:danilo_jimenez_rezende,paper:arxiv:2003.06413,0.7,author_to_paper,arxiv:2003.06413
