node_id,node_type,label,decision,facets,source
paper:arxiv:2606.13790,paper,Stochastic Path Sampler For Lattice Field Theory,include,correction;extension;identity;objective,http://arxiv.org/abs/2606.13790v1
author:shiyang_chen,author,Shiyang Chen,,,
author:moxian_qian,author,Moxian Qian,,,
author:gert_aarts,author,Gert Aarts,,,
author:biagio_lucini,author,Biagio Lucini,,,
author:kai_zhou,author,Kai Zhou,,,
facet:correction,facet,correction,,,
facet:extension,facet,extension,,,
facet:identity,facet,identity,,,
facet:objective,facet,objective,,,
paper:arxiv:2502.05504,paper,Physics-Conditioned Diffusion Models for Lattice Gauge Theory,include,author;extension;lineage,http://arxiv.org/abs/2502.05504
author:qianteng_zhu,author,Qianteng Zhu,,,
author:wei_wang,author,Wei Wang,,,
author:lingxiao_wang,author,Lingxiao Wang,,,
facet:author,facet,author,,,
facet:lineage,facet,lineage,,,
paper:arxiv:2409.15937,paper,Numerical determination of the width and shape of the effective string using Stochastic Normalizing Flows,include,extension;lineage,http://arxiv.org/abs/2409.15937
author:michele_caselle,author,Michele Caselle,,,
author:elia_cellini,author,Elia Cellini,,,
author:alessandro_nada,author,Alessandro Nada,,,
paper:arxiv:2412.19109,paper,Stochastic normalizing flows for Effective String Theory,include,adjacent_method;lineage,http://arxiv.org/abs/2412.19109v2
facet:adjacent_method,facet,adjacent_method,,,
paper:arxiv:2210.03139,paper,Stochastic normalizing flows for lattice field theory,include,adjacent_method;lineage,http://arxiv.org/abs/2210.03139v1
author:marco_panero,author,Marco Panero,,,
paper:arxiv:2201.08862,paper,Stochastic normalizing flows as non-equilibrium transformations,include,adjacent_method;lineage,http://arxiv.org/abs/2201.08862v3
paper:doi:10.1007/jhep05(2024)060,paper,Diffusion models as stochastic quantization in lattice field theory,include,failure;identity,https://doi.org/10.1007/jhep05(2024)060
author:lili_wang,author,Lili Wang,,,
facet:failure,facet,failure,,,
paper:arxiv:2311.03578,paper,Generative Diffusion Models for Lattice Field Theory,include,author,http://arxiv.org/abs/2311.03578
paper:arxiv:2605.06134,paper,Diffusion model for SU(N) gauge theories,include,author;lineage,https://arxiv.org/abs/2605.06134
author:javad_komijani,author,Javad Komijani,,,
author:marina_k_marinkovic,author,Marina K. Marinkovic,,,
author:lara_turgut,author,Lara Turgut,,,
paper:arxiv:2106.05934,paper,Flow-based sampling for fermionic lattice field theories,include,adjacent_method;lineage,http://arxiv.org/abs/2106.05934v2
author:michael_s_albergo,author,Michael S. Albergo,,,
author:gurtej_kanwar,author,Gurtej Kanwar,,,
author:s_bastien_racani_re,author,Sébastien Racanière,,,
author:danilo_j_rezende,author,Danilo J. Rezende,,,
author:julian_m_urban,author,Julian M. Urban,,,
author:denis_boyda,author,Denis Boyda,,,
author:kyle_cranmer,author,Kyle Cranmer,,,
author:daniel_c_hackett,author,Daniel C. Hackett,,,
author:phiala_e_shanahan,author,Phiala E. Shanahan,,,
paper:arxiv:2409.18861,paper,Sampling SU(3) pure gauge theory with Stochastic Normalizing Flows,include,adjacent_method;extension,http://arxiv.org/abs/2409.18861v2
author:andrea_bulgarelli,author,Andrea Bulgarelli,,,
paper:arxiv:2211.01364,paper,An optimal control perspective on diffusion-based generative modeling,include,lineage,http://arxiv.org/abs/2211.01364
author:julius_berner,author,Julius Berner,,,
author:lorenz_richter,author,Lorenz Richter,,,
author:karen_ullrich,author,Karen Ullrich,,,
paper:doi:10.1007/jhep03(2026)111,paper,Physics-conditioned diffusion models for lattice gauge theory,include,author;extension,https://doi.org/10.1007/jhep03(2026)111
paper:arxiv:2211.07541,paper,Aspects of scaling and scalability for flow-based sampling of lattice QCD,include,extension,http://arxiv.org/abs/2211.07541
author:ryan_abbott,author,Ryan Abbott,,,
author:aleksandar_botev,author,Aleksandar Botev,,,
author:k_cranmer,author,K. Cranmer,,,
author:alexander_matthews,author,Alexander Matthews,,,
author:ali_razavi,author,Ali Razavi,,,
author:danilo_jimenez_rezende,author,Danilo Jimenez Rezende,,,
author:fernando_romero_l_pez,author,Fernando Romero-López,,,
paper:arxiv:2309.17082,paper,Diffusion models as stochastic quantization in lattice field theory,include,lineage,https://link.springer.com/article/10.1007/JHEP05(2024)060
author:wang_lingxiao,author,"Wang, Lingxiao",,,
author:aarts_gert,author,"Aarts, Gert",,,
author:zhou_kai,author,"Zhou, Kai",,,
