dijkstra_rank,candidate_id,title,decision,screen_score,route_occurrences,dijkstra_distance,priority_score,reachable,path_nodes,path_relations,path_edge_weights
1,arxiv:2606.13790,Stochastic Path Sampler For Lattice Field Theory,include,121,7,0.0,1.235,yes,paper:arxiv:2606.13790,,
2,doi:10.1137/1113026,The Description of a Random Field by Means of Conditional Probabilities and Conditions of Its Regularity,exclude,5,1,0.657259,0.858252,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.1137/1113026,root_to_query -> query_hit,0.05 + 0.607259
3,doi:10.22323/1.066.0200,Stochastic quantization of a finite temperature lattice field theory in the real time formula,exclude,5,1,0.697259,0.847613,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.22323/1.066.0200,root_to_query -> query_hit,0.05 + 0.647259
4,title:variational inference with normalizing flows,Variational Inference with Normalizing Flows,monitor,7,1,0.727259,0.859727,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:title:variational inference with normalizing flows,root_to_query -> query_hit,0.2 + 0.527259
5,doi:10.1038/scientificamerican07161892-13790asupp,Growth of the Thomson-Houston Electric Company,exclude,-14,1,0.797259,0.771628,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.1038/scientificamerican07161892-13790asupp,root_to_query -> query_hit,0.15 + 0.647259
6,doi:10.1103/physrevd.100.034515,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,monitor,8,1,0.819445,0.84598,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.1103/physrevd.100.034515,root_to_query -> query_hit,0.05 + 0.769445
7,doi:10.1007/978-3-540-87851-3_2,Path Integral Representation of Quantum Field Theory,exclude,-6,1,0.859445,0.755901,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.1007/978-3-540-87851-3_2,root_to_query -> query_hit,0.05 + 0.809445
8,title:neural ordinary differential equations,Neural Ordinary Differential Equations,exclude,-1,1,0.889445,0.748429,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:title:neural ordinary differential equations,root_to_query -> query_hit,0.2 + 0.689445
9,doi:10.1214/aoap/1019487508,Analysis of a nonreversible Markov chain sampler,exclude,-6,1,0.934518,0.737343,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.1214/aoap/1019487508,root_to_query -> query_hit,0.05 + 0.884518
10,doi:10.1163/2210-7886_asc-13790,"13790, 1834-11-10",exclude,-14,1,0.959445,0.731283,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.1163/2210-7886_asc-13790,root_to_query -> query_hit,0.15 + 0.809445
