node_id,node_type,label,arxiv_id,evidence_level,cluster
paper:2606.13790,paper,Stochastic Path Sampler For Lattice Field Theory,2606.13790,full_text_rechecked,SPS
author:shiyang_chen,author,Shiyang Chen,,,
author:moxian_qian,author,Moxian Qian,,,
author:gert_aarts,author,Gert Aarts,,,
author:biagio_lucini,author,Biagio Lucini,,,
author:kai_zhou,author,Kai Zhou,,,
method:failure,method,failure,,,SPS
paper:2111.15141,paper,Path Integral Sampler: a stochastic control approach for sampling,2111.15141,full_text_rechecked,Path-space control
author:zhang_qinsheng,author,"Zhang, Qinsheng",,,
author:chen_yongxin,author,"Chen, Yongxin",,,
method:path_space,method,path_space,,,Path-space control
paper:2302.13834,paper,Denoising Diffusion Samplers,2302.13834,full_text_rechecked,Path-space control
author:vargas_francisco,author,"Vargas, Francisco",,,
author:grathwohl_will,author,"Grathwohl, Will",,,
author:doucet_arnaud,author,"Doucet, Arnaud",,,
method:diffusion,method,diffusion,,,Path-space control
paper:2307.01050,paper,Transport meets Variational Inference: Controlled Monte Carlo Diffusions,2307.01050,full_text_rechecked,Path-space control
author:padhy_shreyas,author,"Padhy, Shreyas",,,
author:blessing_denis,author,"Blessing, Denis",,,
author:n_u_sken_nikolas,author,"N \""u sken, Nikolas",,,
paper:2410.02711,paper,NETS: A Non-Equilibrium Transport Sampler,2410.02711,full_text_rechecked,Path-space control
author:albergo_michael_s,author,"Albergo, Michael S.",,,
author:vanden_eijnden_eric,author,"Vanden-Eijnden, Eric",,,
paper:2210.03139,paper,Stochastic normalizing flows for lattice field theory,2210.03139,full_text_rechecked,Stochastic flows
author:michele_caselle,author,Michele Caselle,,,
author:elia_cellini,author,Elia Cellini,,,
author:alessandro_nada,author,Alessandro Nada,,,
author:marco_panero,author,Marco Panero,,,
method:flow,method,flow,,,Stochastic flows
method:stochastic_flow,method,stochastic_flow,,,Stochastic flows
paper:2201.08862,paper,Stochastic normalizing flows as non-equilibrium transformations,2201.08862,full_text_rechecked,Stochastic flows
method:gauge,method,gauge,,,Stochastic flows
paper:2309.14983,paper,Sampling Nambu-Goto theory using Normalizing Flows,2309.14983,full_text_rechecked,Stochastic flows
paper:1904.12072,paper,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,1904.12072,full_text_rechecked,Normalizing flows
author:albergo_m_s,author,"Albergo, M. S.",,,
author:kanwar_g,author,"Kanwar, G.",,,
author:shanahan_p_e,author,"Shanahan, P. E.",,,
paper:2604.10209,paper,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,2604.10209,full_text_rechecked,Scaling / multiscale
author:a_singha,author,A. Singha,,,
author:j_kauffmann,author,J. Kauffmann,,,
author:e_cellini,author,E. Cellini,,,
author:k_jansen,author,K. Jansen,,,
author:s_nakajima,author,S. Nakajima,,,
method:scaling,method,scaling,,,Scaling / multiscale
paper:2106.05934,paper,Flow-based sampling for fermionic lattice field theories,2106.05934,full_text_rechecked,Normalizing flows
author:michael_s_albergo,author,Michael S. Albergo,,,
author:gurtej_kanwar,author,Gurtej Kanwar,,,
author:s_bastien_racani_re,author,Sébastien Racanière,,,
author:danilo_j_rezende,author,Danilo J. Rezende,,,
author:julian_m_urban,author,Julian M. Urban,,,
author:denis_boyda,author,Denis Boyda,,,
author:kyle_cranmer,author,Kyle Cranmer,,,
author:daniel_c_hackett,author,Daniel C. Hackett,,,
author:phiala_e_shanahan,author,Phiala E. Shanahan,,,
method:fermion,method,fermion,,,Normalizing flows
paper:2311.03578,paper,Generative Diffusion Models for Lattice Field Theory,2311.03578,full_text_rechecked,Diffusion
author:lingxiao_wang,author,Lingxiao Wang,,,
paper:2502.05504,paper,Physics-Conditioned Diffusion Models for Lattice Gauge Theory,2502.05504,full_text_rechecked,Diffusion
author:qianteng_zhu,author,Qianteng Zhu,,,
author:wei_wang,author,Wei Wang,,,
paper:2510.21330,paper,SCORENF: Score-based Normalizing Flows for Sampling Unnormalized distributions,2510.21330,full_text_rechecked,Normalizing flows
author:vikas_kanaujia,author,Vikas Kanaujia,,,
author:vipul_arora,author,Vipul Arora,,,
