edge_id,source_arxiv_id,target_arxiv_id,relation_type,relation_basis,evidence_id,confidence,review_status
R0005,1904.12072,2106.05934,direct_citation,"Exact arXiv identifier in 2106.05934 current text line 1648: [51] M. S. Albergo, G. Kanwar, and P. E. Shanahan Phys. [76] M. A. Clark and A. D. Kennedy Phys. Rev. Lett. 98 Rev. D 100 no. 3, (2019) 034515, arXiv:1904.12072 (2007) 051601, arXiv:hep-lat/0608015. [hep-lat]. [77] T. A. DeGrand and P. Rossi Comput. Phys. Commun.",CIT-210605934-190412072,high,exact_identifier_context_verified
R0041,2003.06413,2208.03832,direct_citation,"Exact arXiv identifier in 2208.03832 current text line 577: Rezende, and P. E. Shanahan Phys. Rev. Lett. 125 no. 12, (2020) 121601, arXiv:2003.06413 [hep-lat].",CIT-220803832-200306413,high,exact_identifier_context_verified
R0044,2106.05934,2208.03832,direct_citation,"Exact arXiv identifier in 2208.03832 current text line 585: K. Cranmer, D. C. Hackett, and P. E. Shanahan Phys. Rev. D 104 no. 11, (2021) 114507, arXiv:2106.05934 [hep-lat].",CIT-220803832-210605934,high,exact_identifier_context_verified
R0097,2201.08862,2409.18861,direct_citation,"Exact arXiv identifier in 2409.18861 current text line 504: [12] M. Caselle, E. Cellini, A. Nada and M. Panero, Stochastic normalizing flows as non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",CIT-240918861-220108862,high,exact_identifier_context_verified
R0116,2309.17082,2502.05504,direct_citation,"Exact arXiv identifier in 2502.05504 current text line 1393: [43] L. Wang, G. Aarts and K. Zhou, Diffusion models as stochastic quantization in lattice field theory, JHEP 05 (2024) 060 [2309.17082]. [44] L. Wang, G. Aarts and K. Zhou, Generative Diffusion Models for Lattice Field Theory, in",CIT-250205504-230917082,high,exact_identifier_context_verified
R0125,2309.17082,2510.26081,direct_citation,"Exact arXiv identifier in 2510.26081 current text line 2489: [68] L. Wang, G. Aarts, and K. Zhou, Diffusion Models as Stochastic Quantization in Lattice Field Theory. J. High Energ. Phys. 5 (2024) 60 [2309.17082].",CIT-251026081-230917082,high,exact_identifier_context_verified
R0136,2201.08862,2601.20708,direct_citation,"Exact arXiv identifier in 2601.20708 current text line 452: [19] M. Caselle, E. Cellini, A. Nada and M. Panero, Stochastic normalizing flows as non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",CIT-260120708-220108862,high,exact_identifier_context_verified
R0142,2003.06413,2604.10209,direct_citation,"Exact arXiv identifier in 2604.10209 current text line 686: P. E. Shanahan, Phys. Rev. Lett. 125, 121601 (2020), M. C. N. Cheng, Phys. Rev. D 112, 094516 (2025), arXiv:2003.06413 [hep-lat]. arXiv:2410.13161 [hep-lat]. [16] M. S. Albergo, G. Kanwar, S. Racanière, D. J. Rezende, [33] M. Caselle, E. Cellini, A. Nada, and M. Panero, JHEP",CIT-260410209-200306413,high,exact_identifier_context_verified
R0153,2211.07541,2604.12416,direct_citation,"Exact arXiv identifier in 2604.12416 current text line 800: [15] R. Abbott et al., Aspects of scaling and scalability for flow-based sampling of lattice QCD, Eur. Phys. J. A 59 (2023) 257, [2211.07541].",CIT-260412416-221107541,high,exact_identifier_context_verified
R0164,1810.12879,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1725: [23] K. Zhou, G. Endrődi, L.-G. Pang and H. Stöcker, Regressive and generative neural networks for scalar field theory, Phys. Rev. D 100 (2019) 011501 [1810.12879]. [24] Y. Song and S. Ermon, Generative modeling by estimating gradients of the data distribution,",CIT-260613790-181012879,high,exact_identifier_context_verified
R0165,1904.12072,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1674: [5] M.S. Albergo, G. Kanwar and P.E. Shanahan, Flow-based generative models for Markov chain Monte Carlo in lattice field theory, Phys. Rev. D 100 (2019) 034515 [1904.12072]. [6] K.A. Nicoli, C.J. Anders, L. Funcke, T. Hartung, K. Jansen, P. Kessel et al., Estimation of",CIT-260613790-190412072,high,exact_identifier_context_verified
R0166,2003.06413,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1689: Equivariant flow-based sampling for lattice gauge theory, Phys. Rev. Lett. 125 (2020) 121601 [2003.06413]. [9] D. Boyda, G. Kanwar, S. Racanière, D.J. Rezende, M.S. Albergo, K. Cranmer et al.,",CIT-260613790-200306413,high,exact_identifier_context_verified
R0167,2007.07115,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1677: Thermodynamic Observables in Lattice Field Theories with Deep Generative Models, Phys. Rev. Lett. 126 (2021) 032001 [2007.07115]. [7] M.S. Albergo, G. Kanwar, S. Racanière, D.J. Rezende, J.M. Urban, D. Boyda et al.,",CIT-260613790-200707115,high,exact_identifier_context_verified
R0168,2106.05934,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1680: Flow-based sampling for fermionic lattice field theories, Phys. Rev. D 104 (2021) 114507 [2106.05934].",CIT-260613790-210605934,high,exact_identifier_context_verified
R0169,2107.00734,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1706: Flow-based sampling for multimodal and extended-mode distributions in lattice field theory, 2107.00734. [16] S. Chen, O. Savchuk, S. Zheng, B. Chen, H. Stoecker, L. Wang et al., Fourier-flow model",CIT-260613790-210700734,high,exact_identifier_context_verified
R0170,2110.02673,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1701: [13] P. de Haan, C. Rainone, M.C.N. Cheng and R. Bondesan, Scaling up machine learning for quantum field theory with equivariant continuous flows, 2110.02673. [14] S.-Y. Chen, G. Aarts and B. Lucini, Exploring Generative Networks for Manifolds with",CIT-260613790-211002673,high,exact_identifier_context_verified
R0171,2111.15141,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1751: [33] Q. Zhang and Y. Chen, Path Integral Sampler: a stochastic control approach for sampling, in International Conference on Learning Representations (ICLR), 2022 [2111.15141]. [34] F. Vargas, W. Grathwohl and A. Doucet, Denoising Diffusion Samplers, in International",CIT-260613790-211115141,high,exact_identifier_context_verified
R0172,2201.08862,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1717: [19] M. Caselle, E. Cellini, A. Nada and M. Panero, Stochastic normalizing flows as non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862]. [20] M. Caselle, E. Cellini, A. Nada and M. Panero, Stochastic normalizing flows for lattice field",CIT-260613790-220108862,high,exact_identifier_context_verified
R0173,2202.11712,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1694: Flow-based sampling in the lattice Schwinger model at criticality, Phys. Rev. D 106 (2022) 014514 [2202.11712]. [11] M. Qian and S. Chen, Variational Autoregressive Networks Applied to ϕ4 Field Theory",CIT-260613790-220211712,high,exact_identifier_context_verified
R0174,2207.00283,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1699: quantum field theories with equivariant continuous flows, SciPost Phys. 15 (2023) 238 [2207.00283]. [13] P. de Haan, C. Rainone, M.C.N. Cheng and R. Bondesan, Scaling up machine learning for",CIT-260613790-220700283,high,exact_identifier_context_verified
R0175,2210.03139,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1719: [20] M. Caselle, E. Cellini, A. Nada and M. Panero, Stochastic normalizing flows for lattice field theory, PoS LATTICE2022 (2023) 005 [2210.03139]. [21] M. Caselle, E. Cellini and A. Nada, Stochastic normalizing flows for effective string theory,",CIT-260613790-221003139,high,exact_identifier_context_verified
R0176,2211.03470,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1708: [16] S. Chen, O. Savchuk, S. Zheng, B. Chen, H. Stoecker, L. Wang et al., Fourier-flow model generating Feynman paths, Phys. Rev. D 107 (2023) 056001 [2211.03470]. [17] K. Zhou, L. Wang, L.-G. Pang and S. Shi, Exploring QCD matter in extreme conditions with",CIT-260613790-221103470,high,exact_identifier_context_verified
R0177,2302.13834,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1753: [34] F. Vargas, W. Grathwohl and A. Doucet, Denoising Diffusion Samplers, in International Conference on Learning Representations (ICLR), 2023 [2302.13834]. [35] J. Berner, L. Richter and K. Ullrich, An optimal control perspective on diffusion-based",CIT-260613790-230213834,high,exact_identifier_context_verified
R0178,2307.01050,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1760: Controlled Monte Carlo Diffusions, in International Conference on Learning Representations (ICLR), 2024 [2307.01050]. [38] M.S. Albergo and E. Vanden-Eijnden, NETS: A Non-Equilibrium Transport Sampler,",CIT-260613790-230701050,high,exact_identifier_context_verified
R0179,2309.17082,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1736: [25] L. Wang, G. Aarts and K. Zhou, Diffusion models as stochastic quantization in lattice field theory, Journal of High Energy Physics 2024 (2024) 60 [2309.17082]. [26] Q. Zhu, G. Aarts, W. Wang, K. Zhou and L. Wang, Physics-conditioned diffusion models for",CIT-260613790-230917082,high,exact_identifier_context_verified
R0180,2409.15937,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1723: [22] M. Caselle, E. Cellini and A. Nada, Numerical determination of the width and shape of the effective string using Stochastic Normalizing Flows, JHEP 02 (2025) 090 [2409.15937]. [23] K. Zhou, G. Endrődi, L.-G. Pang and H. Stöcker, Regressive and generative neural networks",CIT-260613790-240915937,high,exact_identifier_context_verified
R0181,2410.02711,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1762: [38] M.S. Albergo and E. Vanden-Eijnden, NETS: A Non-Equilibrium Transport Sampler, 2410.02711. [39] B.D. Coleman and W. Noll, The thermodynamics of elastic materials with heat conduction",CIT-260613790-241002711,high,exact_identifier_context_verified
R0182,2412.19109,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1721: [21] M. Caselle, E. Cellini and A. Nada, Stochastic normalizing flows for effective string theory, 2412.19109. [22] M. Caselle, E. Cellini and A. Nada, Numerical determination of the width and shape of the",CIT-260613790-241219109,high,exact_identifier_context_verified
R0183,2502.05504,2606.13790,direct_citation,"Exact arXiv identifier in 2606.13790 current text line 1738: [26] Q. Zhu, G. Aarts, W. Wang, K. Zhou and L. Wang, Physics-conditioned diffusion models for lattice gauge theory, JHEP 03 (2026) 111 [2502.05504]. [27] O. Vega, J. Komijani, A. El-Khadra and M. Marinkovic, Group-Equivariant Diffusion Models",CIT-260613790-250205504,high,exact_identifier_context_verified
