operation_id,epoch,channel,method,query_or_url,outcome,result_count,bytes,artifact,note
N001,1783916561,arXiv,GET,https://arxiv.org/abs/2606.13790,success,1,42877,sources/root/2606.13790_abs.html,current abstract page
N002,1783916561,arXiv,GET,https://arxiv.org/pdf/2606.13790,success,1,2263775,sources/root/2606.13790.pdf,33-page PDF
N003,1783916561,arXiv,GET,https://arxiv.org/src/2606.13790,success,1,1446160,sources/root/2606.13790_source.tar,current source package
D001,1783918012,arXiv,GET,reuse current-run verified PDF,success,1,2263775,sources/pdfs/2606.13790.pdf,2606.13790
D002,1783918013,arXiv,GET,reuse current-run verified PDF,success,1,2713763,sources/pdfs/2111.15141.pdf,2111.15141
D003,1783918014,arXiv,GET,reuse current-run verified PDF,success,1,4179526,sources/pdfs/2302.13834.pdf,2302.13834
D004,1783918015,arXiv,GET,reuse current-run verified PDF,success,1,3598216,sources/pdfs/2307.01050.pdf,2307.01050
D005,1783918016,arXiv,GET,reuse current-run verified PDF,success,1,2113233,sources/pdfs/2410.02711.pdf,2410.02711
D006,1783918016,arXiv,GET,reuse current-run verified PDF,success,1,622586,sources/pdfs/2210.03139.pdf,2210.03139
D007,1783918017,arXiv,GET,reuse current-run verified PDF,success,1,899741,sources/pdfs/2201.08862.pdf,2201.08862
D008,1783918018,arXiv,GET,reuse current-run verified PDF,success,1,525815,sources/pdfs/2309.14983.pdf,2309.14983
D009,1783918019,arXiv,GET,reuse current-run verified PDF,success,1,884944,sources/pdfs/1904.12072.pdf,1904.12072
D010,1783918020,arXiv,GET,reuse current-run verified PDF,success,1,1246772,sources/pdfs/2604.10209.pdf,2604.10209
D011,1783918021,arXiv,GET,reuse current-run verified PDF,success,1,1323300,sources/pdfs/2106.05934.pdf,2106.05934
D012,1783918021,arXiv,GET,reuse current-run verified PDF,success,1,2275916,sources/pdfs/2311.03578.pdf,2311.03578
D013,1783918022,arXiv,GET,reuse current-run verified PDF,success,1,3038787,sources/pdfs/2502.05504.pdf,2502.05504
D014,1783918023,arXiv,GET,reuse current-run verified PDF,success,1,411656,sources/pdfs/2510.21330.pdf,2510.21330
D015,1783918024,arXiv,GET,reuse current-run verified PDF,success,1,2425612,sources/pdfs/2605.06134.pdf,2605.06134
