paper_id,arxiv_id,title,C0_candidate,C1_metadata,C2_abstract,C3_full_text,C4_claim_anchor,source_url,pdf_sha256,review_status
P001,2606.13790,Stochastic Path Sampler For Lattice Field Theory,pass,pass,pass,pass,pass,https://arxiv.org/abs/2606.13790,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17,rechecked_current_text_same_pdf_sha256
P002,2111.15141,Path Integral Sampler: a stochastic control approach for sampling,pass,pass,pass,pass,pass,https://arxiv.org/abs/2111.15141,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8,rechecked_current_text_same_pdf_sha256
P003,2302.13834,Denoising Diffusion Samplers,pass,pass,pass,pass,pass,https://arxiv.org/abs/2302.13834,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321,rechecked_current_text_same_pdf_sha256
P004,2307.01050,Transport meets Variational Inference: Controlled Monte Carlo Diffusions,pass,pass,pass,pass,pass,https://arxiv.org/abs/2307.01050,53ccf9eacc9476d81b885750959fb9792bc68f37d1f468c2d8d3f0013645f1a1,rechecked_current_text_same_pdf_sha256
P005,2410.02711,NETS: A Non-Equilibrium Transport Sampler,pass,pass,pass,pass,pass,https://arxiv.org/abs/2410.02711,3f115239f2ca5de2d7c560e21ae84e33f20a0979e515c875fb6ceb3406af3a55,rechecked_current_text_same_pdf_sha256
P006,2210.03139,Stochastic normalizing flows for lattice field theory,pass,pass,pass,pass,pass,https://arxiv.org/abs/2210.03139,6e55973206bb8030e21bdd951bc005c64dbabf2698a4491f1d21e5ca29909cc8,rechecked_current_text_same_pdf_sha256
P007,2201.08862,Stochastic normalizing flows as non-equilibrium transformations,pass,pass,pass,pass,pass,https://arxiv.org/abs/2201.08862,798759d54c5256ac75eb188fac679c96d0af51979894b85d0c72c7db03817858,rechecked_current_text_same_pdf_sha256
P008,2309.14983,Sampling Nambu-Goto theory using Normalizing Flows,pass,pass,pass,pass,pass,https://arxiv.org/abs/2309.14983,7b29ef81547ae08c382dce6572648f42abba443201aca2ffbf8d855cb5143644,new_full_text_review_current_run
P009,1904.12072,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,pass,pass,pass,pass,pass,https://arxiv.org/abs/1904.12072,61749019a775a8141842ce23b4dce5678a3f712f311dfcc379747b943ccbe07d,rechecked_current_text_same_pdf_sha256
P010,2604.10209,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,pass,pass,pass,pass,pass,https://arxiv.org/abs/2604.10209,f63310ecd3fc85390956cdbd6dac9f8676cfbc5c7060411e2fb24b9d76f7dfe1,rechecked_current_text_same_pdf_sha256
P011,2106.05934,Flow-based sampling for fermionic lattice field theories,pass,pass,pass,pass,pass,https://arxiv.org/abs/2106.05934,ea75b10a32baf6510c3b1d3696759c6e1c4be346d1e257e5b43282ca64c909ac,rechecked_current_text_same_pdf_sha256
P012,2311.03578,Generative Diffusion Models for Lattice Field Theory,pass,pass,pass,pass,pass,https://arxiv.org/abs/2311.03578,bf6e772c236bcaec0901f01be734f24914bf66d9380cd2ed7ddf9c3635c4b3df,rechecked_current_text_same_pdf_sha256
P013,2502.05504,Physics-Conditioned Diffusion Models for Lattice Gauge Theory,pass,pass,pass,pass,pass,https://arxiv.org/abs/2502.05504,0b9548d039926d29e6e89f60fa806d22681f4079c78936f901fdb5aca12b87fa,rechecked_current_text_same_pdf_sha256
P014,2510.21330,SCORENF: Score-based Normalizing Flows for Sampling Unnormalized distributions,pass,pass,pass,pass,pass,https://arxiv.org/abs/2510.21330,7ac19accf5bdd3497d3ee8af910518a0bec1194629d9c18368896e2956dd8689,rechecked_current_text_same_pdf_sha256
P015,2605.06134,Diffusion model for SU(N) gauge theories,pass,pass,pass,pass,pass,https://arxiv.org/abs/2605.06134,7b2695ebaa774b7eeb7cada771068461248361495975bd440ff5a2ceee97a4de,rechecked_current_text_same_pdf_sha256
P016,2003.06413,Equivariant flow-based sampling for lattice gauge theory,pass,pass,pass,pass,pass,https://arxiv.org/abs/2003.06413,6f5d0bb1effda44b3fcb55d40ba679495428944a8988c71c61e7ccf19258d1f4,rechecked_current_text_same_pdf_sha256
P017,2202.11712,Flow-based sampling in the lattice Schwinger model at criticality,pass,pass,pass,pass,pass,https://arxiv.org/abs/2202.11712,8586e34ea00b8a83522e6b83b55e05404df7129ed95bda97a218b12fcfb44fe8,new_full_text_review_current_run
