edge_id,source_arxiv_id,target_arxiv_id,relation_type,relation_basis,evidence_id,confidence,review_status
R0001,1810.12879,1904.12072,direct_citation,"Exact arXiv identifier in 1904.12072 current text line 964: [7] R. H. Swendsen and J.-S. Wang, Phys. Rev. Lett. 58, [35] K. Zhou, G. Endrdi, L.-G. Pang, and H. Stcker, Phys. 86 (1987), URL https://link.aps.org/doi/10.1103/ Rev. D100, 011501 (2019), 1810.12879. PhysRevLett.58.86. [36] L. Tierney, Ann. Statist. 22, 1701 (1994), URL https:",CIT-190412072-181012879,high,exact_identifier_context_verified
R0002,1904.12072,2101.08176,direct_citation,"Exact arXiv identifier in 2101.08176 current text line 26: approaches proposed in arXiv:1904.12072, arXiv:2002.02428, and arXiv:2003.06413 are reviewed and a concrete implementation of the framework is presented. We apply this framework to a lattice",CIT-210108176-190412072,high,exact_identifier_context_verified
R0003,2003.06413,2101.08176,direct_citation,"Exact arXiv identifier in 2101.08176 current text line 26: approaches proposed in arXiv:1904.12072, arXiv:2002.02428, and arXiv:2003.06413 are reviewed and a concrete implementation of the framework is presented. We apply this framework to a lattice",CIT-210108176-200306413,high,exact_identifier_context_verified
R0004,1810.12879,2106.05934,direct_citation,"Exact arXiv identifier in 2106.05934 current text line 1602: no. 11, (2019) 197, arXiv:1904.09704 [hep-lat]. Phys. Rev. D 100 (Jul, 2019) 011501(R), [6] USQCD Collaboration, W. Detmold, R. G. Edwards, arXiv:1810.12879 [hep-lat]. J. J. Dudek, M. Engelhardt, H.-W. Lin, S. Meinel, [35] D. Wu, L. Wang, and P. Zhang Phys. Rev. Lett. 122",CIT-210605934-181012879,high,exact_identifier_context_verified
R0005,1904.12072,2106.05934,direct_citation,"Exact arXiv identifier in 2106.05934 current text line 1648: [51] M. S. Albergo, G. Kanwar, and P. E. Shanahan Phys. [76] M. A. Clark and A. D. Kennedy Phys. Rev. Lett. 98 Rev. D 100 no. 3, (2019) 034515, arXiv:1904.12072 (2007) 051601, arXiv:hep-lat/0608015. [hep-lat]. [77] T. A. DeGrand and P. Rossi Comput. Phys. Commun.",CIT-210605934-190412072,high,exact_identifier_context_verified
R0006,2003.06413,2106.05934,direct_citation,"Exact arXiv identifier in 2106.05934 current text line 1658: Shanahan Phys. Rev. Lett. 125 no. 12, (2020) 121601, [math.ST]. arXiv:2003.06413 [hep-lat]. [81] G. Bhanot, U. M. Heller, and I. O. Stamatescu Phys. [55] D. Boyda, G. Kanwar, S. Racanière, D. J. Rezende, Lett. B 129 (1983) 440–444.",CIT-210605934-200306413,high,exact_identifier_context_verified
R0007,2007.07115,2106.05934,direct_citation,"Exact arXiv identifier in 2106.05934 current text line 1652: K. Jansen, P. Kessel, S. Nakajima, and P. Stornati [78] J. Kogut and L. Susskind Phys. Rev. D 11 (Jan, 1975) arXiv:2007.07115 [hep-lat]. 395–408. [53] L. Del Debbio, J. M. Rossney, and M. Wilson [79] A. S. Kronfeld PoS LATTICE2007 (2007) 016,",CIT-210605934-200707115,high,exact_identifier_context_verified
R0008,2101.08176,2106.05934,direct_citation,"Exact arXiv identifier in 2106.05934 current text line 1671: B. Kulchytskyy arXiv:2012.01442 K. Cranmer, S. Racanière, D. J. Rezende, and P. E. [cond-mat.dis-nn]. Shanahan arXiv:2101.08176 [hep-lat]. [60] S. Foreman, X.-Y. Jin, and J. C. Osborn in 9th [87] P. Mehta, M. Bukov, C.-H. Wang, A. G. Day,",CIT-210605934-210108176,high,exact_identifier_context_verified
R0009,1904.12072,2107.00734,direct_citation,"Exact arXiv identifier in 2107.00734 current text line 2768: [20] M. Albergo, G. Kanwar, and P. Shanahan, Phys. Rev. M. C. N. Cheng, (2022), arXiv:2207.00283 [hep-lat]. D 100, 034515 (2019), arXiv:1904.12072 [hep-lat]. [43] J. Finkenrath, (2022), arXiv:2201.02216 [hep-lat]. [21] G. Kanwar, M. S. Albergo, D. Boyda, K. Cranmer, [44] A. Singha, D. Chakrabarti, and V. Arora, (2022),",CIT-210700734-190412072,high,exact_identifier_context_verified
R0010,2003.06413,2107.00734,direct_citation,"Exact arXiv identifier in 2107.00734 current text line 2772: P. E. Shanahan, Phys. Rev. Lett. 125, 121601 (2020), [45] S. Chen, O. Savchuk, S. Zheng, B. Chen, H. Stoecker, arXiv:2003.06413 [hep-lat]. L. Wang, and K. Zhou, Phys. Rev. D 107, 056001 [22] D. Boyda, G. Kanwar, S. Racanière, D. J. Rezende, (2023), arXiv:2211.03470 [hep-lat].",CIT-210700734-200306413,high,exact_identifier_context_verified
R0011,2007.07115,2107.00734,direct_citation,"Exact arXiv identifier in 2107.00734 current text line 2785: K. Jansen, P. Kessel, S. Nakajima, and P. Stornati, [49] A. Tomiya and S. Terasaki, (2022), arXiv:2208.08903 Phys. Rev. Lett. 126, 032001 (2021), arXiv:2007.07115 [hep-lat]. [hep-lat]. [50] X.-Y. Jin, 38th International Symposium on Lattice",CIT-210700734-200707115,high,exact_identifier_context_verified
R0012,2101.08176,2107.00734,direct_citation,"Exact arXiv identifier in 2107.00734 current text line 2797: K. Cranmer, S. Racanière, D. J. Rezende, and P. E. way, J. M. Rossney, and A. Ramos, in 40th Inter- Shanahan, (2021), arXiv:2101.08176 [hep-lat]. national Symposium on Lattice Field Theory (2023) [30] L. Del Debbio, J. M. Rossney, and M. Wilson, Phys. arXiv:2310.03381 [hep-lat].",CIT-210700734-210108176,high,exact_identifier_context_verified
R0013,2106.05934,2107.00734,direct_citation,"Exact arXiv identifier in 2107.00734 current text line 2794: and P. E. Shanahan, Phys. Rev. D 104, 114507 (2021), N. Matsumoto, and A. Tomiya, PoS LATTICE2022, arXiv:2106.05934 [hep-lat]. 229 (2023), arXiv:2212.11387 [hep-lat]. [29] M. S. Albergo, D. Boyda, D. C. Hackett, G. Kanwar, [54] D. Albandea, L. Del Debbio, P. Hernández, R. Ken-",CIT-210700734-210605934,high,exact_identifier_context_verified
R0014,2110.02673,2107.00734,direct_citation,"Exact arXiv identifier in 2107.00734 current text line 2814: [36] P. de Haan, C. Rainone, M. C. N. Cheng, and R. Bon- TICE2022, 019 (2023), arXiv:2301.01504 [hep-lat]. desan, (2021), arXiv:2110.02673 [cs.LG]. [63] A. Singha, D. Chakrabarti, and V. Arora, (2023), [37] S. Foreman, T. Izubuchi, L. Jin, X.-Y. Jin, J. C. arXiv:2306.00581 [hep-lat].",CIT-210700734-211002673,high,exact_identifier_context_verified
