candidate_id,title,authors,year,doi,arxiv_id,primary_url,facets,families,method_groups,query_ids,route_occurrences,score,decision,screen_reason,provenance,selection_reason,pdf_url,dijkstra_rank,dijkstra_distance,dijkstra_path
arxiv:2606.13790,Stochastic Path Sampler For Lattice Field Theory,Shiyang Chen; Moxian Qian; Gert Aarts; Biagio Lucini; Kai Zhou,2026,,2606.13790,http://arxiv.org/abs/2606.13790v1,correction;extension;identity;objective,extension;keyword;root,failure,Q01;Q03;Q25;Q26;Q27;Q33,7,121,include,score=121; phrase_hits=11; strong_domain=lattice field;markov chain monte carlo;phi 4;unnormalized target; root_methods=; domain=field;lattice;markov;monte;path;phi;sampl;stochastic; routes=extension;keyword;root,current OpenAlex response;current arXiv API response,root,https://arxiv.org/pdf/2606.13790,1,0.0,paper:arxiv:2606.13790
arxiv:2111.15141,Path Integral Sampler: a stochastic control approach for sampling,"Zhang, Qinsheng and Chen, Yongxin",2022,,2111.15141,https://arxiv.org/abs/2111.15141,lineage,backward,path_space,Q04,1,13,include,score=13; phrase_hits=0; strong_domain=path integral sampler; root_methods=path integral sampler; domain=path;sampl;stochastic; routes=backward,current root bibliography ref 33,dijkstra_method_quota:path_space,https://arxiv.org/pdf/2111.15141,353,1.860544,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2111.15141
arxiv:2302.13834,Denoising Diffusion Samplers,"Vargas, Francisco and Grathwohl, Will and Doucet, Arnaud",2023,,2302.13834,https://arxiv.org/abs/2302.13834,lineage,backward,diffusion;path_space,Q04,1,12,include,score=12; phrase_hits=0; strong_domain=; root_methods=denoising diffusion sampler; domain=diffusion;sampl; routes=backward,current root bibliography ref 34,dijkstra_method_quota:path_space,https://arxiv.org/pdf/2302.13834,356,1.872139,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2302.13834
arxiv:2307.01050,Transport meets Variational Inference: Controlled Monte Carlo Diffusions,"Vargas, Francisco and Padhy, Shreyas and Blessing, Denis and N \""u sken, Nikolas",2024,,2307.01050,https://arxiv.org/abs/2307.01050,lineage,backward,diffusion;path_space,Q04,1,12,include,score=12; phrase_hits=0; strong_domain=; root_methods=controlled monte carlo diffusion; domain=diffusion;monte; routes=backward,current root bibliography ref 37,dijkstra_method_quota:path_space,https://arxiv.org/pdf/2307.01050,369,1.905034,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2307.01050
arxiv:2410.02711,NETS: A Non-Equilibrium Transport Sampler,"Albergo, Michael S. and Vanden-Eijnden, Eric",2024,,2410.02711,https://arxiv.org/abs/2410.02711,lineage,backward,path_space,Q04,1,11,include,score=11; phrase_hits=0; strong_domain=; root_methods=non equilibrium transport sampler; domain=sampl; routes=backward,current root bibliography ref 38,dijkstra_method_quota:path_space,https://arxiv.org/pdf/2410.02711,371,1.915425,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2410.02711
arxiv:2210.03139,Stochastic normalizing flows for lattice field theory,Michele Caselle; Elia Cellini; Alessandro Nada; Marco Panero,2022,,2210.03139,http://arxiv.org/abs/2210.03139v1,adjacent_method;lineage,backward;keyword,flow;stochastic_flow,Q04;Q28,2,18,include,score=18; phrase_hits=3; strong_domain=boltzmann distribution;lattice field;phi 4;stochastic normalizing flow; root_methods=stochastic normalizing flow; domain=boltzmann;field;flow;lattice;monte;phi;sampl;stochastic; routes=backward;keyword,current arXiv API response;current root bibliography ref 20,dijkstra_method_quota:stochastic_flow,https://arxiv.org/pdf/2210.03139,25,1.177259,paper:arxiv:2606.13790 -> query:Q28 -> paper:arxiv:2210.03139
arxiv:2201.08862,Stochastic normalizing flows as non-equilibrium transformations,Michele Caselle; Elia Cellini; Alessandro Nada; Marco Panero,2022,,2201.08862,http://arxiv.org/abs/2201.08862v3,adjacent_method;lineage,backward;keyword,flow;gauge;stochastic_flow,Q04;Q28,2,17,include,score=17; phrase_hits=2; strong_domain=lattice field;lattice gauge;stochastic normalizing flow; root_methods=stochastic normalizing flow; domain=field;flow;gauge;lattice;monte;sampl;stochastic; routes=backward;keyword,current arXiv API response;current root bibliography ref 19,dijkstra_method_quota:stochastic_flow,https://arxiv.org/pdf/2201.08862,165,1.648293,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2201.08862
arxiv:2309.14983,Sampling Nambu-Goto theory using Normalizing Flows,Michele Caselle; Elia Cellini; Alessandro Nada,2023,,2309.14983,http://arxiv.org/abs/2309.14983v1,adjacent_method,keyword,flow;stochastic_flow,Q28,1,9,include,score=9; phrase_hits=2; strong_domain=lattice field;stochastic normalizing flow; root_methods=stochastic normalizing flow; domain=field;flow;lattice;monte;sampl;stochastic; routes=keyword,current arXiv API response,dijkstra_method_quota:stochastic_flow,https://arxiv.org/pdf/2309.14983,171,1.678364,paper:arxiv:2606.13790 -> query:Q28 -> paper:arxiv:2309.14983
arxiv:1904.12072,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,"Albergo, M. S. and Kanwar, G. and Shanahan, P. E.",2019,10.1103/PhysRevD.100.034515,1904.12072,https://arxiv.org/abs/1904.12072,lineage,backward,flow,Q04,1,13,include,score=13; phrase_hits=1; strong_domain=lattice field;markov chain monte carlo; root_methods=; domain=field;flow;lattice;markov;monte; routes=backward,current root bibliography ref 5,dijkstra_method_quota:flow,https://arxiv.org/pdf/1904.12072,24,1.166704,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:1904.12072
arxiv:2604.10209,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,A. Singha; J. Kauffmann; E. Cellini; K. Jansen; S. Nakajima,2026,,2604.10209,http://arxiv.org/abs/2604.10209v1,adjacent_method,keyword,failure;flow;scaling,Q29,1,9,include,score=9; phrase_hits=2; strong_domain=boltzmann distribution;lattice field;phi 4; root_methods=continuous normalizing flow; domain=boltzmann;field;flow;lattice;markov;monte;phi;sampl; routes=keyword,current arXiv API response,dijkstra_method_quota:flow,https://arxiv.org/pdf/2604.10209,26,1.177259,paper:arxiv:2606.13790 -> query:Q29 -> paper:arxiv:2604.10209
