paper_id,arxiv_id,title,source_url,pdf_path,pdf_sha256,metadata_title_match,full_text_integrity,visual_evidence,status
P001,2606.13790,Stochastic Path Sampler For Lattice Field Theory,https://arxiv.org/abs/2606.13790,sources/pdfs/2606.13790.pdf,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17,PASS,PASS,screenshots/2606.13790_p1_root_identity.png;screenshots/2606.13790_p13_root_correction_result.png,VERIFIED
P002,2111.15141,Path Integral Sampler: a stochastic control approach for sampling,https://arxiv.org/abs/2111.15141,sources/pdfs/2111.15141.pdf,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8,PASS,PASS,KEY_ONLY_NOT_SELECTED,VERIFIED
P003,2302.13834,Denoising Diffusion Samplers,https://arxiv.org/abs/2302.13834,sources/pdfs/2302.13834.pdf,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321,PASS,PASS,KEY_ONLY_NOT_SELECTED,VERIFIED
P004,2307.01050,Transport meets Variational Inference: Controlled Monte Carlo Diffusions,https://arxiv.org/abs/2307.01050,sources/pdfs/2307.01050.pdf,53ccf9eacc9476d81b885750959fb9792bc68f37d1f468c2d8d3f0013645f1a1,PASS,PASS,KEY_ONLY_NOT_SELECTED,VERIFIED
P005,2410.02711,NETS: A Non-Equilibrium Transport Sampler,https://arxiv.org/abs/2410.02711,sources/pdfs/2410.02711.pdf,3f115239f2ca5de2d7c560e21ae84e33f20a0979e515c875fb6ceb3406af3a55,PASS,PASS,KEY_ONLY_NOT_SELECTED,VERIFIED
P006,2210.03139,Stochastic normalizing flows for lattice field theory,https://arxiv.org/abs/2210.03139,sources/pdfs/2210.03139.pdf,6e55973206bb8030e21bdd951bc005c64dbabf2698a4491f1d21e5ca29909cc8,PASS,PASS,KEY_ONLY_NOT_SELECTED,VERIFIED
P007,2201.08862,Stochastic normalizing flows as non-equilibrium transformations,https://arxiv.org/abs/2201.08862,sources/pdfs/2201.08862.pdf,798759d54c5256ac75eb188fac679c96d0af51979894b85d0c72c7db03817858,PASS,PASS,KEY_ONLY_NOT_SELECTED,VERIFIED
P008,2309.14983,Sampling Nambu-Goto theory using Normalizing Flows,https://arxiv.org/abs/2309.14983,sources/pdfs/2309.14983.pdf,7b29ef81547ae08c382dce6572648f42abba443201aca2ffbf8d855cb5143644,PASS,PASS,KEY_ONLY_NOT_SELECTED,VERIFIED
P009,1904.12072,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,https://arxiv.org/abs/1904.12072,sources/pdfs/1904.12072.pdf,61749019a775a8141842ce23b4dce5678a3f712f311dfcc379747b943ccbe07d,PASS,PASS,KEY_ONLY_NOT_SELECTED,VERIFIED
P010,2604.10209,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,https://arxiv.org/abs/2604.10209,sources/pdfs/2604.10209.pdf,f63310ecd3fc85390956cdbd6dac9f8676cfbc5c7060411e2fb24b9d76f7dfe1,PASS,PASS,screenshots/2604.10209_p8_multiscale_cost_result.png,VERIFIED
P011,2106.05934,Flow-based sampling for fermionic lattice field theories,https://arxiv.org/abs/2106.05934,sources/pdfs/2106.05934.pdf,ea75b10a32baf6510c3b1d3696759c6e1c4be346d1e257e5b43282ca64c909ac,PASS,PASS,KEY_ONLY_NOT_SELECTED,VERIFIED
P012,2311.03578,Generative Diffusion Models for Lattice Field Theory,https://arxiv.org/abs/2311.03578,sources/pdfs/2311.03578.pdf,bf6e772c236bcaec0901f01be734f24914bf66d9380cd2ed7ddf9c3635c4b3df,PASS,PASS,KEY_ONLY_NOT_SELECTED,VERIFIED
P013,2502.05504,Physics-Conditioned Diffusion Models for Lattice Gauge Theory,https://arxiv.org/abs/2502.05504,sources/pdfs/2502.05504.pdf,0b9548d039926d29e6e89f60fa806d22681f4079c78936f901fdb5aca12b87fa,PASS,PASS,KEY_ONLY_NOT_SELECTED,VERIFIED
P014,2510.21330,SCORENF: Score-based Normalizing Flows for Sampling Unnormalized distributions,https://arxiv.org/abs/2510.21330,sources/pdfs/2510.21330.pdf,7ac19accf5bdd3497d3ee8af910518a0bec1194629d9c18368896e2956dd8689,PASS,PASS,KEY_ONLY_NOT_SELECTED,VERIFIED
