paper_id,arxiv_id,title,authors,year,family,source_relation,source_url,pdf_path,pdf_pages,pdf_sha256,metadata_title_match,full_text_read,evidence_level
P001,2606.13790,Stochastic Path Sampler For Lattice Field Theory,Shiyang Chen; Moxian Qian; Gert Aarts; Biagio Lucini; Kai Zhou,2026,SPS,root,https://arxiv.org/abs/2606.13790,sources/pdfs/2606.13790.pdf,33,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17,yes,yes,C4_claim_anchored
P002,2111.15141,Path Integral Sampler: a stochastic control approach for sampling,"Zhang, Qinsheng and Chen, Yongxin",2022,Path-space control,direct_bibliography,https://arxiv.org/abs/2111.15141,sources/pdfs/2111.15141.pdf,26,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8,yes,yes,C4_claim_anchored
P003,2302.13834,Denoising Diffusion Samplers,"Vargas, Francisco and Grathwohl, Will and Doucet, Arnaud",2023,Path-space control,direct_bibliography,https://arxiv.org/abs/2302.13834,sources/pdfs/2302.13834.pdf,30,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321,yes,yes,C4_claim_anchored
P004,2307.01050,Transport meets Variational Inference: Controlled Monte Carlo Diffusions,"Vargas, Francisco and Padhy, Shreyas and Blessing, Denis and N \""u sken, Nikolas",2024,Path-space control,direct_bibliography,https://arxiv.org/abs/2307.01050,sources/pdfs/2307.01050.pdf,43,53ccf9eacc9476d81b885750959fb9792bc68f37d1f468c2d8d3f0013645f1a1,yes,yes,C4_claim_anchored
P005,2410.02711,NETS: A Non-Equilibrium Transport Sampler,"Albergo, Michael S. and Vanden-Eijnden, Eric",2024,Path-space control,direct_bibliography,https://arxiv.org/abs/2410.02711,sources/pdfs/2410.02711.pdf,31,3f115239f2ca5de2d7c560e21ae84e33f20a0979e515c875fb6ceb3406af3a55,yes,yes,C4_claim_anchored
P006,2210.03139,Stochastic normalizing flows for lattice field theory,Michele Caselle; Elia Cellini; Alessandro Nada; Marco Panero,2022,Stochastic flows,direct_bibliography,https://arxiv.org/abs/2210.03139,sources/pdfs/2210.03139.pdf,9,6e55973206bb8030e21bdd951bc005c64dbabf2698a4491f1d21e5ca29909cc8,yes,yes,C4_claim_anchored
P007,2201.08862,Stochastic normalizing flows as non-equilibrium transformations,Michele Caselle; Elia Cellini; Alessandro Nada; Marco Panero,2022,Stochastic flows,direct_bibliography,https://arxiv.org/abs/2201.08862,sources/pdfs/2201.08862.pdf,32,798759d54c5256ac75eb188fac679c96d0af51979894b85d0c72c7db03817858,yes,yes,C4_claim_anchored
P008,2309.14983,Sampling Nambu-Goto theory using Normalizing Flows,Michele Caselle; Elia Cellini; Alessandro Nada,2023,Stochastic flows,adjacent_method,https://arxiv.org/abs/2309.14983,sources/pdfs/2309.14983.pdf,7,7b29ef81547ae08c382dce6572648f42abba443201aca2ffbf8d855cb5143644,yes,yes,C4_claim_anchored
P009,1904.12072,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,"Albergo, M. S. and Kanwar, G. and Shanahan, P. E.",2019,Normalizing flows,direct_bibliography,https://arxiv.org/abs/1904.12072,sources/pdfs/1904.12072.pdf,13,61749019a775a8141842ce23b4dce5678a3f712f311dfcc379747b943ccbe07d,yes,yes,C4_claim_anchored
P010,2604.10209,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,A. Singha; J. Kauffmann; E. Cellini; K. Jansen; S. Nakajima,2026,Scaling / multiscale,closure,https://arxiv.org/abs/2604.10209,sources/pdfs/2604.10209.pdf,15,f63310ecd3fc85390956cdbd6dac9f8676cfbc5c7060411e2fb24b9d76f7dfe1,yes,yes,C4_claim_anchored
P011,2106.05934,Flow-based sampling for fermionic lattice field theories,Michael S. Albergo; Gurtej Kanwar; Sébastien Racanière; Danilo J. Rezende; Julian M. Urban; Denis Boyda; Kyle Cranmer; Daniel C. Hackett; Phiala E. Shanahan,2021,Normalizing flows,direct_bibliography,https://arxiv.org/abs/2106.05934,sources/pdfs/2106.05934.pdf,25,ea75b10a32baf6510c3b1d3696759c6e1c4be346d1e257e5b43282ca64c909ac,yes,yes,C4_claim_anchored
P012,2311.03578,Generative Diffusion Models for Lattice Field Theory,Lingxiao Wang; Gert Aarts; Kai Zhou,2023,Diffusion,author_context,https://arxiv.org/abs/2311.03578,sources/pdfs/2311.03578.pdf,6,bf6e772c236bcaec0901f01be734f24914bf66d9380cd2ed7ddf9c3635c4b3df,yes,yes,C4_claim_anchored
P013,2502.05504,Physics-Conditioned Diffusion Models for Lattice Gauge Theory,Qianteng Zhu; Gert Aarts; Wei Wang; Kai Zhou; Lingxiao Wang,2025,Diffusion,direct_bibliography,https://arxiv.org/abs/2502.05504,sources/pdfs/2502.05504.pdf,28,0b9548d039926d29e6e89f60fa806d22681f4079c78936f901fdb5aca12b87fa,yes,yes,C4_claim_anchored
P014,2510.21330,SCORENF: Score-based Normalizing Flows for Sampling Unnormalized distributions,Vikas Kanaujia; Vipul Arora,2025,Normalizing flows,external_extension,https://arxiv.org/abs/2510.21330,sources/pdfs/2510.21330.pdf,5,7ac19accf5bdd3497d3ee8af910518a0bec1194629d9c18368896e2956dd8689,yes,yes,C4_claim_anchored
P015,2605.06134,Diffusion model for SU(N) gauge theories,Javad Komijani; Marina K. Marinkovic; Lara Turgut,2026,Diffusion,direct_bibliography,https://arxiv.org/abs/2605.06134,sources/pdfs/2605.06134.pdf,23,7b2695ebaa774b7eeb7cada771068461248361495975bd440ff5a2ceee97a4de,yes,yes,C4_claim_anchored
P016,2003.06413,Equivariant flow-based sampling for lattice gauge theory,Gurtej Kanwar; Michael S. Albergo; Denis Boyda; K. Cranmer; Daniel C. Hackett; Sébastien Racanière; Danilo Jimenez Rezende; Phiala E. Shanahan,2020,Normalizing flows,direct_bibliography,https://arxiv.org/abs/2003.06413,sources/pdfs/2003.06413.pdf,6,6f5d0bb1effda44b3fcb55d40ba679495428944a8988c71c61e7ccf19258d1f4,yes,yes,C4_claim_anchored
P017,2202.11712,Flow-based sampling in the lattice Schwinger model at criticality,"Albergo, Michael S. and Boyda, Denis and Cranmer, Kyle and Hackett, Daniel C. and Kanwar, Gurtej and Racani \`e re, S \'e bastien and Rezende, Danilo J. and Romero-L \'o pez, Fernando and Shanahan, Phiala E. and Urban, Julian M.",2022,Fermion and gauge applications,direct_bibliography,https://arxiv.org/abs/2202.11712,sources/pdfs/2202.11712.pdf,8,8586e34ea00b8a83522e6b83b55e05404df7129ed95bda97a218b12fcfb44fe8,yes,yes,C4_claim_anchored
P018,2110.02673,Scaling Up Machine Learning For Quantum Field Theory with Equivariant Continuous Flows,Pim de Haan and Corrado Rainone and Miranda C. N. Cheng and Roberto Bondesan,2021,Scaling and architecture,direct_bibliography,https://arxiv.org/abs/2110.02673,sources/pdfs/2110.02673.pdf,8,8cc983701e0b464b438e03457414b6d05545c7805f605865f8dd3f586755754c,yes,yes,C4_claim_anchored
