candidate_id,arxiv_id,route_id,round,family,facet,rank,title,canonical_url,raw_file
arxiv:0508269,0508269,Q13,L3,author,author_lineage,18,Half metallic digital ferromagnetic heterostructure composed of a $δ$-doped layer of Mn in Si,https://arxiv.org/abs/0508269,raw/arxiv/Q13.xml
arxiv:0509115,0509115,Q14,L3,author,author_lineage,20,Charmonium spectral functions in Nf=2 QCD,https://arxiv.org/abs/0509115,raw/arxiv/Q14.xml
arxiv:0509134,0509134,Q21,L7,stochastic_quantization,mechanism,6,The Gluon Propagator in Lattice Landau Gauge with twisted boundary conditions,https://arxiv.org/abs/0509134,expansion/raw/arxiv/Q21.xml
arxiv:0608009,0608009,Q14,L3,author,author_lineage,19,Charmonium spectral functions in two-flavour QCD,https://arxiv.org/abs/0608009,raw/arxiv/Q14.xml
arxiv:0610065,0610065,Q14,L3,author,author_lineage,18,Charmonium spectral functions in N_f=2 QCD at high temperature,https://arxiv.org/abs/0610065,raw/arxiv/Q14.xml
arxiv:0701047,0701047,Q12,L3,jarzynski,method_precedent,30,A selection of nonequilibrium issues,https://arxiv.org/abs/0701047,raw/arxiv/Q12.xml
arxiv:0702044,0702044,Q12,L3,jarzynski,method_precedent,29,Temperature-extended Jarzynski relation: Application to the numerical calculation of the surface tension,https://arxiv.org/abs/0702044,raw/arxiv/Q12.xml
arxiv:0705.3256,0705.3256,Q12,L3,jarzynski,method_precedent,28,Reconstructing the free energy landscape of a mechanically unfolded model protein,https://arxiv.org/abs/0705.3256,raw/arxiv/Q12.xml
arxiv:0706.1261,0706.1261,Q10,L2,diffusion,adjacent,30,Partitioning of a polymer chain between a confining cavity and a gel,https://arxiv.org/abs/0706.1261,raw/arxiv/Q10.xml
arxiv:0706.2818,0706.2818,Q12,L3,jarzynski,method_precedent,27,Protein mechanical unfolding: a model with binary variables,https://arxiv.org/abs/0706.2818,raw/arxiv/Q12.xml
arxiv:0710.2795,0710.2795,Q14,L3,author,author_lineage,17,Charmonium properties in the quark-gluon plasma,https://arxiv.org/abs/0710.2795,raw/arxiv/Q14.xml
arxiv:0801.1864,0801.1864,Q17,L4,correction,exactness,30,Adaptive Independent Metropolis-Hastings by Fast Estimation of Mixtures of Normals,https://arxiv.org/abs/0801.1864,raw/arxiv/Q17.xml
arxiv:0803.1811,0803.1811,Q12,L3,jarzynski,method_precedent,26,Free energy landscape of mechanically unfolded model proteins: extended Jarzinsky versus inherent structure reconstruction,https://arxiv.org/abs/0803.1811,raw/arxiv/Q12.xml
arxiv:0809.5227,0809.5227,Q21,L7,stochastic_quantization,mechanism,5,Stochastic quantization at nonzero chemical potential,https://arxiv.org/abs/0809.5227,expansion/raw/arxiv/Q21.xml
arxiv:0903.0483,0903.0483,Q17,L4,correction,exactness,29,Adaptive independent Metropolis--Hastings,https://arxiv.org/abs/0903.0483,raw/arxiv/Q17.xml
arxiv:0903.1385,0903.1385,Q13,L3,author,author_lineage,17,Gutzwiller density functional calculations of the electronic structure of FeAs-based superconductors: Evidence for a three-dimensional Fermi surface,https://arxiv.org/abs/0903.1385,raw/arxiv/Q13.xml
arxiv:0911.0230,0911.0230,Q17,L4,correction,exactness,28,Particle filtering within adaptive Metropolis Hastings sampling,https://arxiv.org/abs/0911.0230,raw/arxiv/Q17.xml
arxiv:0911.3204,0911.3204,Q23,L9,multiscale,scaling,17,Scaling study of the relativistic corrections to the static potential,https://arxiv.org/abs/0911.3204,expansion/raw/arxiv/Q23.xml
arxiv:1007.4897,1007.4897,Q14,L3,author,author_lineage,16,Polarised correlators at finite temperature,https://arxiv.org/abs/1007.4897,raw/arxiv/Q14.xml
arxiv:1010.3725,1010.3725,Q14,L3,author,author_lineage,15,Bottomonium above deconfinement in lattice nonrelativistic QCD,https://arxiv.org/abs/1010.3725,raw/arxiv/Q14.xml
arxiv:1109.3941,1109.3941,Q10,L2,diffusion,adjacent,29,Towards a non-perturbative measurement of the heavy quark momentum diffusion coefficient,https://arxiv.org/abs/1109.3941,raw/arxiv/Q10.xml
arxiv:1109.3941,1109.3941,Q23,L9,multiscale,scaling,16,Towards a non-perturbative measurement of the heavy quark momentum diffusion coefficient,https://arxiv.org/abs/1109.3941,expansion/raw/arxiv/Q23.xml
arxiv:1111.5421,1111.5421,Q17,L4,correction,exactness,27,Markovian stochastic approximation with expanding projections,https://arxiv.org/abs/1111.5421,raw/arxiv/Q17.xml
arxiv:1202.2462,1202.2462,Q23,L9,multiscale,scaling,15,Aggregation-based Multilevel Methods for Lattice QCD,https://arxiv.org/abs/1202.2462,expansion/raw/arxiv/Q23.xml
arxiv:1203.3332,1203.3332,Q12,L3,jarzynski,method_precedent,25,Exact Results for the Jarzynski Equality in Ising Spin Glass Models Derived by Using a Gauge Symmetry,https://arxiv.org/abs/1203.3332,raw/arxiv/Q12.xml
arxiv:1206.6156,1206.6156,Q13,L3,author,author_lineage,16,Radiation properties of extreme nulling pulsar J1502-5653,https://arxiv.org/abs/1206.6156,raw/arxiv/Q13.xml
arxiv:1211.2418,1211.2418,Q10,L2,diffusion,adjacent,28,An estimate of heavy quark momentum diffusion coefficient in gluon plasma,https://arxiv.org/abs/1211.2418,raw/arxiv/Q10.xml
