screen_rank,candidate_id,arxiv_id,title,authors,published,primary_category,route_ids,route_families,route_ranks,C0_candidate,C1_metadata,C2_abstract,domain_hits,method_hits,mechanism_hits,evaluation_hits,screen_score,decision,screen_reason,canonical_url,pdf_url,raw_files
1,arxiv:2606.13790,2606.13790,Stochastic Path Sampler For Lattice Field Theory,Shiyang Chen; Moxian Qian; Gert Aarts; Biagio Lucini; Kai Zhou,2026-06-11T18:01:31Z,hep-lat,P01;Q01;Q02;Q03;Q04;Q07;Q08;Q09;Q11;Q16;Q17;Q19;Q20;Q21,correction;critical_slowing;domain;entropy_production;evaluation;nonequilibrium;path_lattice;path_space;root;root_terms;stochastic_quantization,P01:1;Q01:1;Q02:1;Q03:1;Q04:1;Q07:1;Q08:6;Q09:2;Q11:2;Q16:2;Q17:1;Q19:1;Q20:1;Q21:1,pass,pass,pass,lattice field theory;hep-lat,sampling;sampler;monte carlo;metropolis,path-space;nonequilibrium;trajectory,critical slowing;autocorrelation;hmc,132,include,root identity passed by identifier and exact-title routes,https://arxiv.org/abs/2606.13790,https://arxiv.org/pdf/2606.13790v1,expansion/raw/arxiv/Q19.xml;expansion/raw/arxiv/Q20.xml;expansion/raw/arxiv/Q21.xml;raw/arxiv/P01.xml;raw/arxiv/Q01.xml;raw/arxiv/Q02.xml;raw/arxiv/Q03.xml;raw/arxiv/Q04.xml;raw/arxiv/Q07.xml;raw/arxiv/Q08.xml;raw/arxiv/Q09.xml;raw/arxiv/Q11.xml;raw/arxiv/Q16.xml;raw/arxiv/Q17.xml
2,arxiv:2604.10209,2604.10209,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,A. Singha; J. Kauffmann; E. Cellini; K. Jansen; S. Nakajima,2026-04-11T13:35:19Z,hep-lat,Q05;Q11;Q16;Q23,critical_slowing;evaluation;multiscale;normalizing_flow,Q05:4;Q11:8;Q16:4;Q23:1,pass,pass,pass,boltzmann distribution;hep-lat,sampling;sampler;monte carlo;normalizing flow;generative,,critical slowing;autocorrelation;exact;bias;variance;hmc;hybrid monte carlo,33,include,domain and sampling-method gates passed,https://arxiv.org/abs/2604.10209,https://arxiv.org/pdf/2604.10209v1,expansion/raw/arxiv/Q23.xml;raw/arxiv/Q05.xml;raw/arxiv/Q11.xml;raw/arxiv/Q16.xml
3,arxiv:2412.00200,2412.00200,Scaling of Stochastic Normalizing Flows in $\mathrm{SU}(3)$ lattice gauge theory,Andrea Bulgarelli; Elia Cellini; Alessandro Nada,2024-11-29T19:01:05Z,hep-lat,Q06;Q12;Q16,evaluation;jarzynski;stochastic_flow,Q06:6;Q12:3;Q16:16,pass,pass,pass,lattice gauge;hep-lat,sampling;monte carlo;mcmc;normalizing flow,non-equilibrium;jarzynski,critical slowing;autocorrelation,29,include,domain and sampling-method gates passed,https://arxiv.org/abs/2412.00200,https://arxiv.org/pdf/2412.00200v3,raw/arxiv/Q06.xml;raw/arxiv/Q12.xml;raw/arxiv/Q16.xml
4,arxiv:2510.21330,2510.21330,SCORENF: Score-based Normalizing Flows for Sampling Unnormalized distributions,Vikas Kanaujia; Vipul Arora,2025-10-24T10:43:19Z,cs.LG,Q05;Q11;Q16;Q17;Q19,correction;critical_slowing;evaluation;normalizing_flow,Q05:10;Q11:19;Q16:10;Q17:8;Q19:2,pass,pass,pass,lattice field theory;hep-lat,sampling;monte carlo;mcmc;normalizing flow;metropolis,,critical slowing;autocorrelation;bias,29,include,domain and sampling-method gates passed,https://arxiv.org/abs/2510.21330,https://arxiv.org/pdf/2510.21330v1,expansion/raw/arxiv/Q19.xml;raw/arxiv/Q05.xml;raw/arxiv/Q11.xml;raw/arxiv/Q16.xml;raw/arxiv/Q17.xml
5,arxiv:2607.08505,2607.08505,Diffusion Models for Sampling Near Criticality in Lattice Field Theories,Yang-yang Tan; Gert Aarts; Diaa E. Habibi; Biagio Lucini; Lingxiao Wang,2026-07-09T14:00:29Z,hep-lat,P10;Q10,diffusion;forward_neighbor,P10:1;Q10:1,pass,pass,pass,hep-lat,sampling;sampler;generative;diffusion;metropolis;langevin,,acceptance;effective sample;bias;variance;hmc,29,include,domain and sampling-method gates passed,https://arxiv.org/abs/2607.08505,https://arxiv.org/pdf/2607.08505v1,raw/arxiv/P10.xml;raw/arxiv/Q10.xml
6,arxiv:1904.12072,1904.12072,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,M. S. Albergo; G. Kanwar; P. E. Shanahan,2019-04-26T23:30:09Z,hep-lat,P05,root_reference_hypothesis,P05:1,pass,pass,pass,lattice field theory;boltzmann distribution;hep-lat,sampling;monte carlo;generative;metropolis,,critical slowing;autocorrelation;hmc,28,include,domain and sampling-method gates passed,https://arxiv.org/abs/1904.12072,https://arxiv.org/pdf/1904.12072v3,raw/arxiv/P05.xml
7,arxiv:2210.03139,2210.03139,Stochastic normalizing flows for lattice field theory,Michele Caselle; Elia Cellini; Alessandro Nada; Marco Panero,2022-10-06T18:01:14Z,hep-lat,P04;Q06;Q12,jarzynski;root_reference_hypothesis;stochastic_flow,P04:1;Q06:12;Q12:13,pass,pass,pass,lattice field theory;boltzmann distribution;hep-lat,monte carlo;normalizing flow;generative,non-equilibrium;jarzynski,,28,include,domain and sampling-method gates passed,https://arxiv.org/abs/2210.03139,https://arxiv.org/pdf/2210.03139v1,raw/arxiv/P04.xml;raw/arxiv/Q06.xml;raw/arxiv/Q12.xml
8,arxiv:2309.17082,2309.17082,Diffusion Models as Stochastic Quantization in Lattice Field Theory,Lingxiao Wang; Gert Aarts; Kai Zhou,2023-09-29T09:26:59Z,hep-lat,Q10;Q16;Q21,diffusion;evaluation;stochastic_quantization,Q10:14;Q16:22;Q21:3,pass,pass,pass,lattice field theory;hep-lat,sampler;mcmc;generative;diffusion;langevin,,critical slowing;autocorrelation,28,include,domain and sampling-method gates passed,https://arxiv.org/abs/2309.17082,https://arxiv.org/pdf/2309.17082v2,expansion/raw/arxiv/Q21.xml;raw/arxiv/Q10.xml;raw/arxiv/Q16.xml
9,arxiv:2310.11979,2310.11979,Out-of-equilibrium simulations to fight topological freezing,Claudio Bonanno; Alessandro Nada; Davide Vadacchino,2023-10-18T14:07:43Z,hep-lat,Q05;Q06;Q12;Q16;Q22,evaluation;jarzynski;normalizing_flow;stochastic_flow;topology,Q05:25;Q06:10;Q12:10;Q16:21;Q22:4,pass,pass,pass,lattice gauge;hep-lat,sampling;monte carlo;normalizing flow;reweight,non-equilibrium;jarzynski,autocorrelation,28,include,domain and sampling-method gates passed,https://arxiv.org/abs/2310.11979,https://arxiv.org/pdf/2310.11979v1,expansion/raw/arxiv/Q22.xml;raw/arxiv/Q05.xml;raw/arxiv/Q06.xml;raw/arxiv/Q12.xml;raw/arxiv/Q16.xml
10,arxiv:2410.02711,2410.02711,NETS: A Non-Equilibrium Transport Sampler,Michael S. Albergo; Eric Vanden-Eijnden,2024-10-03T17:35:38Z,cs.LG,Q10;Q12,diffusion;jarzynski,Q10:9;Q12:5,pass,pass,pass,lattice field theory;hep-lat,sampling;sampler;diffusion;importance sampling,non-equilibrium;jarzynski,effective sample;bias,28,include,domain and sampling-method gates passed,https://arxiv.org/abs/2410.02711,https://arxiv.org/pdf/2410.02711v3,raw/arxiv/Q10.xml;raw/arxiv/Q12.xml
11,arxiv:2501.07371,2501.07371,Simulating the Hubbard Model with Equivariant Normalizing Flows,Dominic Schuh; Janik Kreit; Evan Berkowitz; Lena Funcke; Thomas Luu; Kim A. Nicoli; Marcel Rodekamp,2025-01-13T14:40:42Z,cond-mat.str-el,Q05,normalizing_flow,Q05:18,pass,pass,pass,lattice field theory;boltzmann distribution;hep-lat,sampling;monte carlo;normalizing flow;generative,,bias;hmc;hybrid monte carlo,28,include,domain and sampling-method gates passed,https://arxiv.org/abs/2501.07371,https://arxiv.org/pdf/2501.07371v1,raw/arxiv/Q05.xml
