edge_id,source,target,weight,relation,evidence
G0001,paper:2606.13790,query:Q01,0.05,root_to_query,search_protocol.csv:Q01
G0002,paper:2606.13790,query:Q02,0.05,root_to_query,search_protocol.csv:Q02
G0003,paper:2606.13790,query:Q03,0.2,root_to_query,search_protocol.csv:Q03
G0004,paper:2606.13790,query:Q04,0.2,root_to_query,search_protocol.csv:Q04
G0005,paper:2606.13790,query:Q05,0.2,root_to_query,search_protocol.csv:Q05
G0006,paper:2606.13790,query:Q06,0.4,root_to_query,search_protocol.csv:Q06
G0007,paper:2606.13790,query:Q07,0.4,root_to_query,search_protocol.csv:Q07
G0008,paper:2606.13790,query:Q08,0.4,root_to_query,search_protocol.csv:Q08
G0009,paper:2606.13790,query:Q09,0.4,root_to_query,search_protocol.csv:Q09
G0010,paper:2606.13790,query:Q10,0.4,root_to_query,search_protocol.csv:Q10
G0011,paper:2606.13790,query:Q11,0.4,root_to_query,search_protocol.csv:Q11
G0012,paper:2606.13790,query:Q12,0.5,root_to_query,search_protocol.csv:Q12
G0013,paper:2606.13790,query:Q13,0.5,root_to_query,search_protocol.csv:Q13
G0014,paper:2606.13790,query:Q14,0.5,root_to_query,search_protocol.csv:Q14
G0015,paper:2606.13790,query:Q15,0.5,root_to_query,search_protocol.csv:Q15
G0016,paper:2606.13790,query:Q16,0.6,root_to_query,search_protocol.csv:Q16
G0017,paper:2606.13790,query:Q17,0.6,root_to_query,search_protocol.csv:Q17
G0018,paper:2606.13790,query:Q18,0.6,root_to_query,search_protocol.csv:Q18
G0019,paper:2606.13790,query:Q19,0.65,root_to_query,search_protocol.csv:Q19
G0020,paper:2606.13790,query:Q20,0.7,root_to_query,search_protocol.csv:Q20
G0021,paper:2606.13790,query:Q21,0.7,root_to_query,search_protocol.csv:Q21
G0022,paper:2606.13790,query:Q22,0.75,root_to_query,search_protocol.csv:Q22
G0023,paper:2606.13790,query:Q23,0.75,root_to_query,search_protocol.csv:Q23
G0024,paper:2606.13790,query:Q24,0.8,root_to_query,search_protocol.csv:Q24
G0025,paper:2606.13790,query:P01,0.1,root_to_identifier_probe,raw/arxiv/P01.xml:P01
G0026,paper:2606.13790,query:P02,0.3,root_to_identifier_probe,raw/arxiv/P02.xml:P02
G0027,paper:2606.13790,query:P03,0.3,root_to_identifier_probe,raw/arxiv/P03.xml:P03
G0028,paper:2606.13790,query:P04,0.3,root_to_identifier_probe,raw/arxiv/P04.xml:P04
G0029,paper:2606.13790,query:P05,0.3,root_to_identifier_probe,raw/arxiv/P05.xml:P05
G0030,paper:2606.13790,query:P06,0.3,root_to_identifier_probe,raw/arxiv/P06.xml:P06
G0031,paper:2606.13790,query:P07,0.3,root_to_identifier_probe,raw/arxiv/P07.xml:P07
G0032,paper:2606.13790,query:P08,0.3,root_to_identifier_probe,raw/arxiv/P08.xml:P08
G0033,paper:2606.13790,query:P09,0.3,root_to_identifier_probe,raw/arxiv/P09.xml:P09
G0034,paper:2606.13790,query:P10,0.3,root_to_identifier_probe,raw/arxiv/P10.xml:P10
G0035,paper:2606.13790,query:P11,0.3,root_to_identifier_probe,raw/arxiv/P11.xml:P11
G0036,paper:2606.13790,query:P12,0.3,root_to_identifier_probe,raw/arxiv/P12.xml:P12
G0037,query:P01,paper:2606.13790,0.527259,query_hit,raw/arxiv/P01.xml rank=1
G0038,query:P02,paper:2111.15141,0.527259,query_hit,raw/arxiv/P02.xml rank=1
