route_id,round,family,facet,rank,arxiv_id,version,title,authors,published,updated,primary_category,categories,abstract,canonical_url,pdf_url,raw_file
Q19,L5,correction,exactness,1,2606.13790,v1,Stochastic Path Sampler For Lattice Field Theory,Shiyang Chen; Moxian Qian; Gert Aarts; Biagio Lucini; Kai Zhou,2026-06-11T18:01:31Z,2026-06-11T18:01:31Z,hep-lat,hep-lat,"In lattice field theory, target distributions are known only up to normalization, (\tildeπ(φ)\propto e^{-S(φ)}), while the partition function is intractable. Markov chain Monte Carlo simulations often become inefficient near phase transitions or the continuum limit due to critical slowing down. In this work, we propose a novel sampler based on nonequilibrium thermodynamics, called Stochastic Path Sampler (SPS), which can generate configurations for the unnormalized target distribution without requiring training data. The central idea of SPS is to establish a trajectory-level balance for learnable forward and backward stochastic dynamics between two equilibrium states, namely the prior and target distributions. This is achieved by minimizing the path-space variational free energy, equivalently an entropy-production upper bound, defined by the log-ratio of forward and auxiliary backward trajectory measures, thereby enhancing the reversibility of the forward and backward processes. The learned forward process provides independent proposals, which are subsequently corrected by an extended-space Independence Metropolis--Hastings step. In two-dimensional (φ^4) theory, we demonstrate that our neural sampler can achieve the same sampling quality as HMC but with a much shorter autocorrelation time in the critical region. This sampler offers a stochastic-quantization-inspired route to data-free proposal construction for lattice field theory by leveraging a variational free-energy principle derived from path-space irreversibility.",https://arxiv.org/abs/2606.13790,https://arxiv.org/pdf/2606.13790v1,raw/arxiv/Q19.xml
Q19,L5,correction,exactness,2,2510.21330,v1,SCORENF: Score-based Normalizing Flows for Sampling Unnormalized distributions,Vikas Kanaujia; Vipul Arora,2025-10-24T10:43:19Z,2025-10-24T10:43:19Z,cs.LG,cs.LG;hep-lat;quant-ph,"Unnormalized probability distributions are central to modeling complex physical systems across various scientific domains. Traditional sampling methods, such as Markov Chain Monte Carlo (MCMC), often suffer from slow convergence, critical slowing down, poor mode mixing, and high autocorrelation. In contrast, likelihood-based and adversarial machine learning models, though effective, are heavily data-driven, requiring large datasets and often encountering mode covering and mode collapse. In this work, we propose ScoreNF, a score-based learning framework built on the Normalizing Flow (NF) architecture, integrated with an Independent Metropolis-Hastings (IMH) module, enabling efficient and unbiased sampling from unnormalized target distributions. We show that ScoreNF maintains high performance even with small training ensembles, thereby reducing reliance on computationally expensive MCMC-generated training data. We also present a method for assessing mode-covering and mode-collapse behaviours. We validate our method on synthetic 2D distributions (MOG-4 and MOG-8) and the high-dimensional $φ^4$ lattice field theory distribution, demonstrating its effectiveness for sampling tasks.",https://arxiv.org/abs/2510.21330,https://arxiv.org/pdf/2510.21330v1,raw/arxiv/Q19.xml
Q19,L5,correction,exactness,3,1704.02673,v2,Lattice Gaussian Sampling by Markov Chain Monte Carlo: Bounded Distance Decoding and Trapdoor Sampling,Zheng Wang; Cong Ling,2017-04-09T23:42:33Z,2018-07-28T12:20:04Z,cs.IT,cs.IT,"Sampling from the lattice Gaussian distribution plays an important role in various research fields. In this paper, the Markov chain Monte Carlo (MCMC)-based sampling technique is advanced in several fronts. Firstly, the spectral gap for the independent Metropolis-Hastings-Klein (MHK) algorithm is derived, which is then extended to Peikert's algorithm and rejection sampling; we show that independent MHK exhibits faster convergence. Then, the performance of bounded distance decoding using MCMC is analyzed, revealing a flexible trade-off between the decoding radius and complexity. MCMC is further applied to trapdoor sampling, again offering a trade-off between security and complexity. Finally, the independent multiple-try Metropolis-Klein (MTMK) algorithm is proposed to enhance the convergence rate. The proposed algorithms allow parallel implementation, which is beneficial for practical applications.",https://arxiv.org/abs/1704.02673,https://arxiv.org/pdf/1704.02673v2,raw/arxiv/Q19.xml
Q19,L5,correction,exactness,4,1501.05757,v5,On the Geometric Ergodicity of Metropolis-Hastings Algorithms for Lattice Gaussian Sampling,Zheng Wang; Cong Ling,2015-01-23T09:58:20Z,2017-02-06T13:11:09Z,cs.IT,cs.IT,"Sampling from the lattice Gaussian distribution is emerging as an important problem in coding and cryptography. In this paper, the classic Metropolis-Hastings (MH) algorithm from Markov chain Monte Carlo (MCMC) methods is adapted for lattice Gaussian sampling. Two MH-based algorithms are proposed, which overcome the restriction suffered by the default Klein's algorithm. The first one, referred to as the independent Metropolis-Hastings-Klein (MHK) algorithm, tries to establish a Markov chain through an independent proposal distribution. We show that the Markov chain arising from the independent MHK algorithm is uniformly ergodic, namely, it converges to the stationary distribution exponentially fast regardless of the initial state. Moreover, the rate of convergence is explicitly calculated in terms of the theta series, leading to a predictable mixing time. In order to further exploit the convergence potential, a symmetric Metropolis-Klein (SMK) algorithm is proposed. It is proven that the Markov chain induced by the SMK algorithm is geometrically ergodic, where a reasonable selection of the initial state is capable to enhance the convergence performance.",https://arxiv.org/abs/1501.05757,https://arxiv.org/pdf/1501.05757v5,raw/arxiv/Q19.xml
Q20,L6,path_lattice,mechanism,1,2606.13790,v1,Stochastic Path Sampler For Lattice Field Theory,Shiyang Chen; Moxian Qian; Gert Aarts; Biagio Lucini; Kai Zhou,2026-06-11T18:01:31Z,2026-06-11T18:01:31Z,hep-lat,hep-lat,"In lattice field theory, target distributions are known only up to normalization, (\tildeπ(φ)\propto e^{-S(φ)}), while the partition function is intractable. Markov chain Monte Carlo simulations often become inefficient near phase transitions or the continuum limit due to critical slowing down. In this work, we propose a novel sampler based on nonequilibrium thermodynamics, called Stochastic Path Sampler (SPS), which can generate configurations for the unnormalized target distribution without requiring training data. The central idea of SPS is to establish a trajectory-level balance for learnable forward and backward stochastic dynamics between two equilibrium states, namely the prior and target distributions. This is achieved by minimizing the path-space variational free energy, equivalently an entropy-production upper bound, defined by the log-ratio of forward and auxiliary backward trajectory measures, thereby enhancing the reversibility of the forward and backward processes. The learned forward process provides independent proposals, which are subsequently corrected by an extended-space Independence Metropolis--Hastings step. In two-dimensional (φ^4) theory, we demonstrate that our neural sampler can achieve the same sampling quality as HMC but with a much shorter autocorrelation time in the critical region. This sampler offers a stochastic-quantization-inspired route to data-free proposal construction for lattice field theory by leveraging a variational free-energy principle derived from path-space irreversibility.",https://arxiv.org/abs/2606.13790,https://arxiv.org/pdf/2606.13790v1,raw/arxiv/Q20.xml
Q21,L7,stochastic_quantization,mechanism,1,2606.13790,v1,Stochastic Path Sampler For Lattice Field Theory,Shiyang Chen; Moxian Qian; Gert Aarts; Biagio Lucini; Kai Zhou,2026-06-11T18:01:31Z,2026-06-11T18:01:31Z,hep-lat,hep-lat,"In lattice field theory, target distributions are known only up to normalization, (\tildeπ(φ)\propto e^{-S(φ)}), while the partition function is intractable. Markov chain Monte Carlo simulations often become inefficient near phase transitions or the continuum limit due to critical slowing down. In this work, we propose a novel sampler based on nonequilibrium thermodynamics, called Stochastic Path Sampler (SPS), which can generate configurations for the unnormalized target distribution without requiring training data. The central idea of SPS is to establish a trajectory-level balance for learnable forward and backward stochastic dynamics between two equilibrium states, namely the prior and target distributions. This is achieved by minimizing the path-space variational free energy, equivalently an entropy-production upper bound, defined by the log-ratio of forward and auxiliary backward trajectory measures, thereby enhancing the reversibility of the forward and backward processes. The learned forward process provides independent proposals, which are subsequently corrected by an extended-space Independence Metropolis--Hastings step. In two-dimensional (φ^4) theory, we demonstrate that our neural sampler can achieve the same sampling quality as HMC but with a much shorter autocorrelation time in the critical region. This sampler offers a stochastic-quantization-inspired route to data-free proposal construction for lattice field theory by leveraging a variational free-energy principle derived from path-space irreversibility.",https://arxiv.org/abs/2606.13790,https://arxiv.org/pdf/2606.13790v1,raw/arxiv/Q21.xml
Q21,L7,stochastic_quantization,mechanism,2,2311.03578,v1,Generative Diffusion Models for Lattice Field Theory,Lingxiao Wang; Gert Aarts; Kai Zhou,2023-11-06T22:24:28Z,2023-11-06T22:24:28Z,hep-lat,hep-lat;cs.LG,"This study delves into the connection between machine learning and lattice field theory by linking generative diffusion models (DMs) with stochastic quantization, from a stochastic differential equation perspective. We show that DMs can be conceptualized by reversing a stochastic process driven by the Langevin equation, which then produces samples from an initial distribution to approximate the target distribution. In a toy model, we highlight the capability of DMs to learn effective actions. Furthermore, we demonstrate its feasibility to act as a global sampler for generating configurations in the two-dimensional $φ^4$ quantum lattice field theory.",https://arxiv.org/abs/2311.03578,https://arxiv.org/pdf/2311.03578v1,raw/arxiv/Q21.xml
Q21,L7,stochastic_quantization,mechanism,3,2309.17082,v2,Diffusion Models as Stochastic Quantization in Lattice Field Theory,Lingxiao Wang; Gert Aarts; Kai Zhou,2023-09-29T09:26:59Z,2024-05-09T00:56:24Z,hep-lat,hep-lat;cs.LG,"In this work, we establish a direct connection between generative diffusion models (DMs) and stochastic quantization (SQ). The DM is realized by approximating the reversal of a stochastic process dictated by the Langevin equation, generating samples from a prior distribution to effectively mimic the target distribution. Using numerical simulations, we demonstrate that the DM can serve as a global sampler for generating quantum lattice field configurations in two-dimensional $φ^4$ theory. We demonstrate that DMs can notably reduce autocorrelation times in the Markov chain, especially in the critical region where standard Markov Chain Monte-Carlo (MCMC) algorithms experience critical slowing down. The findings can potentially inspire further advancements in lattice field theory simulations, in particular in cases where it is expensive to generate large ensembles.",https://arxiv.org/abs/2309.17082,https://arxiv.org/pdf/2309.17082v2,raw/arxiv/Q21.xml
Q21,L7,stochastic_quantization,mechanism,4,2201.12001,v1,Complex Langevin simulations for $PT$-symmetric models,Arpith Kumar; Anosh Joseph,2022-01-28T09:26:28Z,2022-01-28T09:26:28Z,hep-lat,hep-lat;hep-th,"Self-interacting scalar quantum field theories possessing $PT$-symmetry are physically admissible since their energy spectrum is real and bounded below. However, models with $PT$-invariant potentials can have complex actions in general and a non-perturbative study of such systems using methods based on traditional Monte Carlo is hindered due to numerical sign problem. In this work we employ complex Langevin based on stochastic quantization to study two-dimensional scalar field theories, including the ones exhibiting $PT$-symmetry. We also study the simplest supersymmetric version of these systems and address the question on dynamical supersymmetry breaking.",https://arxiv.org/abs/2201.12001,https://arxiv.org/pdf/2201.12001v1,raw/arxiv/Q21.xml
Q21,L7,stochastic_quantization,mechanism,5,0809.5227,v1,Stochastic quantization at nonzero chemical potential,Gert Aarts; Ion-Olimpiu Stamatescu,2008-09-30T15:26:28Z,2008-09-30T15:26:28Z,hep-lat,hep-lat;hep-ph;nucl-th,Lattice QCD at finite chemical potential is difficult due to the sign problem. We use stochastic quantization and complex Langevin dynamics to study this issue. First results for QCD in the hopping expansion are encouraging. U(1) and SU(3) one link models are used to gain further insight into why the method appears to be successful.,https://arxiv.org/abs/0809.5227,https://arxiv.org/pdf/0809.5227v1,raw/arxiv/Q21.xml
