arxiv_id,version,title,authors,published,updated,primary_category,categories,abstract,canonical_url,pdf_url,route_ids,families,rounds,raw_files
0508269,v2,Half metallic digital ferromagnetic heterostructure composed of a $δ$-doped layer of Mn in Si,M. C. Qian; C. Y. Fong; Kai Liu; Warren E. Pickett; J. E. Pask; L. H. Yang,2005-08-10T18:51:44Z,2005-11-28T21:36:39Z,cond-mat.mtrl-sci,cond-mat.mtrl-sci,"We propose and investigate the properties of a digital ferromagnetic heterostructure (DFH) consisting of a $δ$-doped layer of Mn in Si, using \textit{ab initio} electronic-structure methods. We find that (i) ferromagnetic order of the Mn layer is energetically favorable relative to antiferromagnetic, and (ii) the heterostructure is a two-dimensional half metallic system. The metallic behavior is contributed by three majority-spin bands originating from hybridized Mn-$d$ and nearest-neighbor Si-$p$ states, and the corresponding carriers are responsible for the ferromagnetic order in the Mn layer. The minority-spin channel has a calculated semiconducting gap of 0.25 eV. Analysis of the total and partial densities of states, band structure, Fermi surfaces and associated charge density reveals the marked two-dimensional nature of the half metallicity. The band lineup is found to be favorable for retaining the half metal character to near the Curie temperature ($T_{C}$). Being Si based and possibly having a high $T_{C}$ as suggested by an experiment on dilutely doped Mn in Si, the heterostructure may be of special interest for integration into mature Si technologies for spintronic applications.",https://arxiv.org/abs/0508269,https://arxiv.org/pdf/0508269v2,Q13,author,L3,raw/arxiv/Q13.xml
0509115,v1,Charmonium spectral functions in Nf=2 QCD,R. Morrin; A. P. O Cais; M. B. Oktay; M. J. Peardon; J. I. Skullerud; G. Aarts; C. R. Allton,2005-09-23T18:05:16Z,2005-09-23T18:05:16Z,hep-lat,hep-lat;hep-ph,"We report on a study of charmonium at high temperature in 2-flavour QCD. This is the first such study with dynamical fermions. Using an improved anisotropic lattice action, spectral functions are extracted from correlators in the vector and pseudoscalar channels. No signs of medium-induced suppression of the ground states are seen for temperatures up to 1.5T_c, while at T~2T_c there are clear signs of modifications. The current systematic and statistical uncertainties in our data, in particular the relatively coarse lattice and small volume, do not allow us to draw a firm conclusion at this stage.",https://arxiv.org/abs/0509115,https://arxiv.org/pdf/0509115v1,Q14,author,L3,raw/arxiv/Q14.xml
0509134,v1,The Gluon Propagator in Lattice Landau Gauge with twisted boundary conditions,Torsten Tok; Kurt Langfeld; Hugo Reinhardt; Lorenz von Smekal,2005-09-26T17:04:08Z,2005-09-26T17:04:08Z,hep-lat,hep-lat,"We investigate the infrared behaviour of the gluon propagator in Landau gauge on a lattice with twisted boundary conditions. Analytic calculations using Dyson-Schwinger equations, exact renormalization group and stochastic quantization show that the gluon propagator in Landau gauge approaches zero for small momentum. On the other hand lattice calculations and calculations on a four-torus seem to give rise to a non-zero limit. One possible reason for this difference is the existence of zero-momentum fluctuation modes which potentially give a massive contribution to the gluon propagator. Our simulations show that with twisted boundary conditions these zero-momentum modes are suppressed and the gluon propagator becomes smaller than in a periodic ensemble.",https://arxiv.org/abs/0509134,https://arxiv.org/pdf/0509134v1,Q21,stochastic_quantization,L7,expansion/raw/arxiv/Q21.xml
0608009,v1,Charmonium spectral functions in two-flavour QCD,G. Aarts; C. R. Allton; R. Morrin; A. O. Cais; M. B. Oktay; M. J. Peardon; J. I. Skullerud,2006-08-15T13:18:01Z,2006-08-15T13:18:01Z,hep-lat,hep-lat;hep-ph;nucl-th,"We compute charmonium spectral functions in 2-flavour QCD using the maximum entropy method and anisotropic lattices. We find that the S-waves (J/psi and eta_c) survive up to temperatures close to 2T_c, while the P-waves (chi_c0 and chi_c1) melt away below 1.3T_c.",https://arxiv.org/abs/0608009,https://arxiv.org/pdf/0608009v1,Q14,author,L3,raw/arxiv/Q14.xml
0610065,v1,Charmonium spectral functions in N_f=2 QCD at high temperature,G. Aarts; C. R. Allton; R. Morrin; A. P. O Cais; M. B. Oktay; M. J. Peardon; J. I. Skullerud,2006-10-10T10:54:04Z,2006-10-10T10:54:04Z,hep-lat,hep-lat,"Charmonium systems in two-flavour QCD at non-zero temperature are studied at, and above the deconfining transition. Using anisotropic lattices the MEM approach is used to extract spectral functions for these channels. By carefully varying some of the irrelevant parameters in the MEM procedure, we confirm that our systematic effects are under control. The eta_c and J/psi states are found to persist at temperatures >~ 1.3 T_c in agreement with our previous dynamical studies.",https://arxiv.org/abs/0610065,https://arxiv.org/pdf/0610065v1,Q14,author,L3,raw/arxiv/Q14.xml
0701047,v1,A selection of nonequilibrium issues,C. Maes; K. Netocny; B. Shergelashvili,2007-01-16T11:29:38Z,2007-01-16T11:29:38Z,math-ph,math-ph;cond-mat.stat-mech,"We give a pedagogical introduction to a selection of recently discussed topics in nonequilibrium statistical mechanics, concentrating mostly on formal structures and on general principles. Part I contains an overview of the formalism of lattice gases that we use to explain various symmetries and inequalities generally valid for nonequilibrium systems, including the fluctuation symmetry, Jarzynski equality, and the direction of currents. In Part II we concentrate on the macroscopic state and how entropy provides a bridge between microscopic dynamics and macroscopic irreversibility; included is a construction of quantum macroscopic states and a result on the equivalence of ensembles.",https://arxiv.org/abs/0701047,https://arxiv.org/pdf/0701047v1,Q12,jarzynski,L3,raw/arxiv/Q12.xml
0702044,v2,Temperature-extended Jarzynski relation: Application to the numerical calculation of the surface tension,Christophe Chatelain,2007-02-02T11:06:31Z,2007-04-05T06:53:57Z,cond-mat.stat-mech,cond-mat.stat-mech;hep-lat,"We consider a generalization of the Jarzynski relation to the case where the system interacts with a bath for which the temperature is not kept constant but can vary during the transformation. We suggest to use this relation as a replacement to the thermodynamic perturbation method or the Bennett method for the estimation of the order-order surface tension by Monte Carlo simulations. To demonstrate the feasibility of the method, we present some numerical data for the 3D Ising model.",https://arxiv.org/abs/0702044,https://arxiv.org/pdf/0702044v2,Q12,jarzynski,L3,raw/arxiv/Q12.xml
0705.3256,v1,Reconstructing the free energy landscape of a mechanically unfolded model protein,Alberto Imparato; Stefano Luccioli; Alessandro Torcini,2007-05-22T21:13:52Z,2007-05-22T21:13:52Z,cond-mat.stat-mech,cond-mat.stat-mech;q-bio.BM,"The equilibrium free energy landscape of an off-lattice model protein as a function of an internal (reaction) coordinate is reconstructed from out-of-equilibrium mechanical unfolding manipulations. This task is accomplished via two independent methods: by employing an extended version of the Jarzynski equality (EJE) and the protein inherent structures (ISs). In a range of temperatures around the ``folding transition'' we find a good quantitative agreement between the free energies obtained via EJE and IS approaches. This indicates that the two methodologies are consistent and able to reproduce equilibrium properties of the examined system. Moreover, for the studied model the structural transitions induced by pulling can be related to thermodynamical aspects of folding.",https://arxiv.org/abs/0705.3256,https://arxiv.org/pdf/0705.3256v1,Q12,jarzynski,L3,raw/arxiv/Q12.xml
0706.1261,v1,Partitioning of a polymer chain between a confining cavity and a gel,Stefan Tsonchev; Rob D. Coalson; Anthony Duncan,2007-06-08T21:34:20Z,2007-06-08T21:34:20Z,cond-mat.stat-mech,cond-mat.stat-mech;cond-mat.soft,"A lattice field theory approach to the statistical mechanics of charged polymers in electrolyte solutions [S. Tsonchev, R. D. Coalson, and A. Duncan, Phys. Rev. E 60, 4257, (1999)] is applied to the study of a polymer chain contained in a spherical cavity but able to diffuse into a surrounding gel. The distribution of the polymer chain between the cavity and the gel is described by its partition coefficient, which is computed as a function of the number of monomers in the chain, the monomer charge, and the ion concentrations in the solution.",https://arxiv.org/abs/0706.1261,https://arxiv.org/pdf/0706.1261v1,Q10,diffusion,L2,raw/arxiv/Q10.xml
0706.2818,v1,Protein mechanical unfolding: a model with binary variables,A. Imparato; A. Pelizzola; M. Zamparo,2007-06-19T15:32:21Z,2007-06-19T15:32:21Z,cond-mat.soft,cond-mat.soft;q-bio.BM,"A simple lattice model, recently introduced as a generalization of the Wako--Saitô model of protein folding, is used to investigate the properties of widely studied molecules under external forces. The equilibrium properties of the model proteins, together with their energy landscape, are studied on the basis of the exact solution of the model. Afterwards, the kinetic response of the molecules to a force is considered, discussing both force clamp and dynamic loading protocols and showing that theoretical expectations are verified. The kinetic parameters characterizing the protein unfolding are evaluated by using computer simulations and agree nicely with experimental results, when these are available. Finally, the extended Jarzynski equality is exploited to investigate the possibility of reconstructing the free energy landscape of proteins with pulling experiments.",https://arxiv.org/abs/0706.2818,https://arxiv.org/pdf/0706.2818v1,Q12,jarzynski,L3,raw/arxiv/Q12.xml
