paper_id	arxiv_id	pdf_url	retrieved_at_utc	http_status	status	bytes	sha256	page_count	pdf_file	text_file	error_file
P001	2606.13790	https://arxiv.org/pdf/2606.13790v1	2026-07-16T09:59:02Z	200	OK	 2263775	cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17	33	sources/pdfs/2606.13790.pdf	sources/text/2606.13790.txt	sps/runs/codex-goal-mode-full-dijkstra-rerun-20260716/sources/pdfs/2606.13790.pdf.curl.stderr.txt
P002	1904.12072	https://arxiv.org/pdf/1904.12072v3	2026-07-16T09:59:05Z	200	OK	  884944	61749019a775a8141842ce23b4dce5678a3f712f311dfcc379747b943ccbe07d	13	sources/pdfs/1904.12072.pdf	sources/text/1904.12072.txt	sps/runs/codex-goal-mode-full-dijkstra-rerun-20260716/sources/pdfs/1904.12072.pdf.curl.stderr.txt
P003	2003.06413	https://arxiv.org/pdf/2003.06413v1	2026-07-16T09:59:07Z	200	OK	 1017965	6f5d0bb1effda44b3fcb55d40ba679495428944a8988c71c61e7ccf19258d1f4	6	sources/pdfs/2003.06413.pdf	sources/text/2003.06413.txt	sps/runs/codex-goal-mode-full-dijkstra-rerun-20260716/sources/pdfs/2003.06413.pdf.curl.stderr.txt
P004	2101.08176	https://arxiv.org/pdf/2101.08176v3	2026-07-16T09:59:10Z	200	OK	 1193260	1b0caf63db00d605563de7cf56b5905c2572ee02dbdca7aaaf187231fa1a7822	39	sources/pdfs/2101.08176.pdf	sources/text/2101.08176.txt	sps/runs/codex-goal-mode-full-dijkstra-rerun-20260716/sources/pdfs/2101.08176.pdf.curl.stderr.txt
P005	2111.15141	https://arxiv.org/pdf/2111.15141v2	2026-07-16T09:59:13Z	200	OK	 2713763	e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8	26	sources/pdfs/2111.15141.pdf	sources/text/2111.15141.txt	sps/runs/codex-goal-mode-full-dijkstra-rerun-20260716/sources/pdfs/2111.15141.pdf.curl.stderr.txt
P006	2201.08862	https://arxiv.org/pdf/2201.08862v3	2026-07-16T09:59:17Z	200	OK	  899741	798759d54c5256ac75eb188fac679c96d0af51979894b85d0c72c7db03817858	32	sources/pdfs/2201.08862.pdf	sources/text/2201.08862.txt	sps/runs/codex-goal-mode-full-dijkstra-rerun-20260716/sources/pdfs/2201.08862.pdf.curl.stderr.txt
P007	2201.13117	https://arxiv.org/pdf/2201.13117v3	2026-07-16T09:59:19Z	200	OK	  718041	f989f22f14f77017c8e8ca487b21b5f94e1a2775c47827dc8ff50d05ea53cdf1	24	sources/pdfs/2201.13117.pdf	sources/text/2201.13117.txt	sps/runs/codex-goal-mode-full-dijkstra-rerun-20260716/sources/pdfs/2201.13117.pdf.curl.stderr.txt
P008	2210.03139	https://arxiv.org/pdf/2210.03139v1	2026-07-16T09:59:22Z	200	OK	  622586	6e55973206bb8030e21bdd951bc005c64dbabf2698a4491f1d21e5ca29909cc8	9	sources/pdfs/2210.03139.pdf	sources/text/2210.03139.txt	sps/runs/codex-goal-mode-full-dijkstra-rerun-20260716/sources/pdfs/2210.03139.pdf.curl.stderr.txt
P009	2211.01364	https://arxiv.org/pdf/2211.01364v3	2026-07-16T09:59:24Z	200	OK	 4965779	acc14bcda73d11c0a46913696e81622d5add9b147b042754a6b5c1486949e5ba	42	sources/pdfs/2211.01364.pdf	sources/text/2211.01364.txt	sps/runs/codex-goal-mode-full-dijkstra-rerun-20260716/sources/pdfs/2211.01364.pdf.curl.stderr.txt
P010	2302.13834	https://arxiv.org/pdf/2302.13834v2	2026-07-16T09:59:27Z	200	OK	 4179526	a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321	30	sources/pdfs/2302.13834.pdf	sources/text/2302.13834.txt	sps/runs/codex-goal-mode-full-dijkstra-rerun-20260716/sources/pdfs/2302.13834.pdf.curl.stderr.txt
P011	2302.14082	https://arxiv.org/pdf/2302.14082v2	2026-07-16T09:59:31Z	200	OK	 3608657	f9407626519a0d4eeb4237e35bb4e20d9e4c5495233ef047f3becac439ef4ec6	19	sources/pdfs/2302.14082.pdf	sources/text/2302.14082.txt	sps/runs/codex-goal-mode-full-dijkstra-rerun-20260716/sources/pdfs/2302.14082.pdf.curl.stderr.txt
P012	2309.17082	https://arxiv.org/pdf/2309.17082v2	2026-07-16T09:59:35Z	200	OK	 2486741	3c6e52dcbf2a73118d59cb87490bb843ddbebce1e46c73b93f68caa144f242bc	31	sources/pdfs/2309.17082.pdf	sources/text/2309.17082.txt	sps/runs/codex-goal-mode-full-dijkstra-rerun-20260716/sources/pdfs/2309.17082.pdf.curl.stderr.txt
