paper_id,identity_status,title,authors,version_date,arxiv_id,canonical_url,pdf_pages,reading_level,problem,problem_anchor,method,method_anchor,result,result_anchor,scope_boundary,scope_anchor,relation_to_root,relation_anchor,safe_sentence,prohibited_sentence,evidence_ids,next_search
P001,verified,Stochastic Path Sampler For Lattice Field Theory,Shiyang Chen; Moxian Qian; Gert Aarts; Biagio Lucini; Kai Zhou,2026-06-11T18:01:31Z,2606.13790v1,https://arxiv.org/abs/2606.13790,33,C4,Sample an unnormalized lattice target near criticality without target training data while ordinary Markov chains have long autocorrelations.,PDF p. 1 abstract.,"Learn forward and auxiliary backward Langevin paths by a path-space variational free-energy or entropy-production objective, then correct independent trajectory proposals with extended-space IMH.","PDF pp. 1 and 3-8, abstract and Sec. 2.","For the reported 2D phi4 tests, corrected SPS agrees with HMC observables and reports a shorter autocorrelation in the critical region.",PDF p. 1 abstract and Sec. 3.,"The autocorrelation units differ between IMH steps and HMC trajectories, so the paper does not establish a cost-matched total-efficiency comparison.","PDF p. 21, Sec. 4.",root,Current root PDF p. 1.,"In the reported 2D phi4 benchmark, SPS plus IMH reproduces the reported HMC observables; a cost-matched comparison remains open.",SPS is universally faster than HMC.,E-P001-I;E-P001-P;E-P001-M;E-P001-R;E-P001-B,"Observable-level errors, autocorrelation, and GPU-hour comparison."
P002,verified,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,M. S. Albergo; G. Kanwar; P. E. Shanahan,2019-04-26T23:30:09Z,1904.12072v3,https://arxiv.org/abs/1904.12072,13,C4,Reduce critical slowing in lattice-field Markov-chain sampling.,PDF p. 1 abstract and Sec. I.,Train a normalizing-flow proposal and use an independence Metropolis-Hastings chain to correct it to the target distribution.,"PDF p. 1, Secs. I-II.",Training improves the reported autocorrelation behavior and the paper compares with HMC and local Metropolis for 2D phi4.,PDF p. 1 abstract and Sec. III.,The concrete numerical demonstration is 2D phi4; higher-dimensional and QCD scaling are explicitly future-development questions.,"PDF p. 1, end of Sec. I.",direct_root_citation,"SPS reference [5], printed p. 29 (PDF page 30).",Flow proposals can be coupled to an independence MH correction to retain an exact target chain under the paper's stated conditions.,A learned flow removes critical slowing down in all lattice field theories.,E-P002-I;E-P002-P;E-P002-M;E-P002-R;E-P002-B,Compare correction cost and proposal quality across volumes.
P003,verified,Equivariant flow-based sampling for lattice gauge theory,Gurtej Kanwar; Michael S. Albergo; Denis Boyda; Kyle Cranmer; Daniel C. Hackett; Sébastien Racanière; Danilo Jimenez Rezende; Phiala E. Shanahan,2020-03-13T17:54:05Z,2003.06413v1,https://arxiv.org/abs/2003.06413,6,C4,Construct learned samplers that respect lattice-gauge symmetry and improve topological sampling near criticality.,PDF p. 1 abstract.,"Use gauge-invariant-by-construction, invertible flow-based sampling algorithms.",PDF pp. 1-2.,"In 2D U(1), the reported approach is orders of magnitude more efficient for topological quantities near critical points than HMC and Heat Bath.",PDF p. 1 abstract.,"The stated demonstration is 2D U(1), so it does not by itself prove performance for general gauge groups or QCD.",PDF p. 1 abstract.,direct_root_citation,"SPS reference [8], printed p. 30 (PDF page 31).",Gauge equivariance can be built into flow proposals rather than learned only from data.,This result proves the same efficiency gain for all gauge theories.,E-P003-I;E-P003-P;E-P003-M;E-P003-R;E-P003-B,Check modern non-Abelian and volume-scaling results.
P005,verified,Path Integral Sampler: a stochastic control approach for sampling,Qinsheng Zhang; Yongxin Chen,2021-11-30T05:50:12Z,2111.15141v2,https://arxiv.org/abs/2111.15141,26,C4,Sample unnormalized densities through a controlled stochastic path rather than an explicit terminal density model.,PDF p. 1 abstract.,Cast a Schrodinger bridge as stochastic optimal control and use Girsanov-based importance weights to compensate suboptimal control and time discretization.,PDF p. 1 abstract and p. 2 Sec. 1.,The paper gives a Wasserstein-distance justification for suboptimal control and reports comparative experiments on several sampling tasks.,PDF p. 1 abstract.,"This is a general-sampling paper rather than a lattice-field benchmark, so its relation to SPS is methodological rather than empirical equivalence.",PDF p. 1 abstract and p. 2 Sec. 1.,direct_root_citation,"SPS reference [33], printed p. 31 (PDF page 32).",PIS is a path-space control neighbor that preserves an importance-weight correction route for an unnormalized target.,PIS and SPS are the same algorithm.,E-P005-I;E-P005-P;E-P005-M;E-P005-R;E-P005-B,Compare their objectives and correction mechanisms on a common lattice benchmark.
P006,verified,Stochastic normalizing flows as non-equilibrium transformations,Michele Caselle; Elia Cellini; Alessandro Nada; Marco Panero,2022-01-21T19:00:18Z,2201.08862v3,https://arxiv.org/abs/2201.08862,32,C4,Connect generative sampling with nonequilibrium free-energy estimation in lattice field theory.,PDF p. 1 abstract.,Combine neural normalizing-flow layers with Monte Carlo updates and identify the framework with Jarzynski-based nonequilibrium transformations.,PDF p. 1 abstract and Sec. 1.,The article lays out an efficiency-optimization strategy and applications for this extended generative-model class.,PDF p. 1 abstract.,"It establishes a conceptual and algorithmic bridge, not a direct SPS-versus-baseline performance comparison.",PDF p. 1 abstract.,direct_root_citation,"SPS reference [19], printed p. 30 (PDF page 31).",Stochastic normalizing flows provide a documented Jarzynski and nonequilibrium bridge in the SPS method family.,The paper proves that every nonequilibrium learned sampler has the same performance.,E-P006-I;E-P006-P;E-P006-M;E-P006-R;E-P006-B,"Trace exactness, weights, and numerical costs for each member of the family."
P008,verified,Stochastic normalizing flows for lattice field theory,Michele Caselle; Elia Cellini; Alessandro Nada; Marco Panero,2022-10-06T18:01:14Z,2210.03139v1,https://arxiv.org/abs/2210.03139,9,C4,Describe hybrid stochastic normalizing flows for sampling Boltzmann distributions in lattice field theory.,PDF p. 1 unnumbered abstract.,Combine normalizing flows with Monte Carlo updates in a framework related to Jarzynski equality and nonequilibrium statistical mechanics.,PDF pp. 1-2.,The proceeding presents construction details and 2D phi4 applications.,PDF p. 1 abstract and p. 2 Sec. 2.,"This is a short proceeding and should be used as an implementation account, with detailed claims checked against the underlying article.",PDF pp. 1-2.,direct_root_citation,"SPS reference [20], printed p. 30 (PDF page 31).",The SNF literature explicitly treats deterministic flow layers and stochastic updates as one hybrid sampler family.,This short proceeding establishes a general compute advantage.,E-P008-I;E-P008-P;E-P008-M;E-P008-R;E-P008-B,Read the longer JHEP paper for detailed quantitative claims.
P010,verified,Denoising Diffusion Samplers,Francisco Vargas; Will Grathwohl; Arnaud Doucet,2023-02-27T14:37:16Z,2302.13834v2,https://arxiv.org/abs/2302.13834,30,C4,Sample approximately from unnormalized targets and estimate their normalizing constants through diffusion-style paths.,PDF p. 1 abstract.,Approximate the reverse of a target-to-Gaussian diffusion and optimize an extended KL or ELBO using an auxiliary stationary reference process.,PDF pp. 1-2.,The paper gives theoretical guarantees discussed for DDS and compares sampling methods on challenging non-lattice tasks.,PDF p. 1 abstract and p. 2 Sec. 1.,"DDS is an adjacent unnormalized-target method, not a lattice-field result in this paper.",PDF p. 1 abstract.,direct_root_citation,"SPS reference [34], printed p. 31 (PDF page 32).","DDS is a relevant diffusion and path-measure comparison point for unnormalized targets, not evidence of lattice performance.",DDS validates SPS on lattice phi4.,E-P010-I;E-P010-P;E-P010-M;E-P010-R;E-P010-B,Compare target correction and objective form before transferring a claim to lattice systems.
P012,verified,Diffusion Models as Stochastic Quantization in Lattice Field Theory,Lingxiao Wang; Gert Aarts; Kai Zhou,2023-09-29T09:26:59Z,2309.17082v2,https://arxiv.org/abs/2309.17082,31,C4,Relate generative diffusion models to stochastic quantization and test them as global lattice samplers.,PDF p. 1 abstract.,Approximate reverse Langevin stochastic dynamics to move from a prior toward the lattice target distribution.,"PDF pp. 1 and 6-9, Secs. 2-3.",The reported 2D phi4 diffusion sampler reduces autocorrelation in the critical region.,PDF p. 1 abstract and Sec. 4.,The claim is tied to the tested 2D phi4 setup and the reported model configuration.,PDF p. 1 abstract.,direct_root_citation,"SPS reference [25], printed p. 31 (PDF page 32).",This paper is a lattice diffusion and stochastic-quantization predecessor relevant to SPS's Langevin-path framing.,Diffusion sampling is automatically exact without a correction analysis.,E-P012-I;E-P012-P;E-P012-M;E-P012-R;E-P012-B,Compare the sampler's exactness treatment and independent-proposal structure.
P013,verified,Out-of-equilibrium simulations to fight topological freezing,Claudio Bonanno; Alessandro Nada; Davide Vadacchino,2023-10-18T14:07:43Z,2310.11979v1,https://arxiv.org/abs/2310.11979,9,C4,Mitigate long topological autocorrelations in lattice gauge simulations.,PDF p. 1 abstract and p. 2 Sec. 1.,"Use out-of-equilibrium evolutions with open-boundary starting configurations, gradually restore periodic boundaries, and apply a Jarzynski-inspired reweighting-like correction.",PDF pp. 1-2.,The contribution reports tests in 2D CP(N-1) and a comparison with parallel tempering on boundary conditions.,PDF p. 1 abstract and p. 2 Sec. 1.,"It is a conference contribution on CP(N-1), and its link to SPS is a shared nonequilibrium family rather than a verified direct root citation.",PDF p. 1 abstract.,method_adjacent,Current PDF p. 1; no direct root-reference assertion made.,Out-of-equilibrium boundary protocols are a nearby route for addressing topological freezing with a correction-like estimator.,This is a direct SPS baseline on the same model.,E-P013-I;E-P013-P;E-P013-M;E-P013-R;E-P013-B,Check the later full paper and matched-cost comparisons.
P015,verified,Mitigating topological freezing using out-of-equilibrium simulations,Claudio Bonanno; Alessandro Nada; Davide Vadacchino,2024-02-09T17:21:04Z,2402.06561v2,https://arxiv.org/abs/2402.06561,28,C4,Mitigate topological freezing using out-of-equilibrium lattice Monte Carlo simulations.,PDF p. 1 abstract.,"Use a Jarzynski-motivated out-of-equilibrium protocol and assess its ESS, KL, topological susceptibility, autocorrelation, and efficiency.",PDF p. 1 contents and Secs. 2-3.,"For 2D CP(N-1), the reported performance is comparable to the cited parallel-tempering-on-boundary-conditions baseline.",PDF p. 1 abstract.,The article presents a non-ML protocol and says machine-learning combinations are future work; it is not evidence that an SNF or SPS has been tested there.,PDF p. 1 abstract.,method_adjacent,Current PDF p. 1; no direct root-reference assertion made.,This work supplies a concrete nonequilibrium evaluation template beyond ESS alone.,SPS has already been shown to solve topological freezing by this paper.,E-P015-I;E-P015-P;E-P015-M;E-P015-R;E-P015-B,Use its observable and cost diagnostics as a comparison template.
