paper_id,arxiv_id,title,C0_candidate,C1_metadata,C2_abstract,C3_full_text,C4_claim_anchor,source_url,pdf_sha256,review_status
P001,2606.13790,Stochastic Path Sampler For Lattice Field Theory,pass,pass,pass,pass,pass,https://arxiv.org/abs/2606.13790,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17,C4_anchored_manual_reading
P002,1904.12072,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,pass,pass,pass,pass,pass,https://arxiv.org/abs/1904.12072,61749019a775a8141842ce23b4dce5678a3f712f311dfcc379747b943ccbe07d,C4_anchored_manual_reading
P003,2003.06413,Equivariant flow-based sampling for lattice gauge theory,pass,pass,pass,pass,pass,https://arxiv.org/abs/2003.06413,6f5d0bb1effda44b3fcb55d40ba679495428944a8988c71c61e7ccf19258d1f4,C4_anchored_manual_reading
P004,2101.08176,Introduction to Normalizing Flows for Lattice Field Theory,pass,pass,pass,pass,not_planned,https://arxiv.org/abs/2101.08176,1b0caf63db00d605563de7cf56b5905c2572ee02dbdca7aaaf187231fa1a7822,full_text_downloaded_and_extracted
P005,2111.15141,Path Integral Sampler: a stochastic control approach for sampling,pass,pass,pass,pass,pass,https://arxiv.org/abs/2111.15141,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8,C4_anchored_manual_reading
P006,2201.08862,Stochastic normalizing flows as non-equilibrium transformations,pass,pass,pass,pass,pass,https://arxiv.org/abs/2201.08862,798759d54c5256ac75eb188fac679c96d0af51979894b85d0c72c7db03817858,C4_anchored_manual_reading
P007,2201.13117,Continual Repeated Annealed Flow Transport Monte Carlo,pass,pass,pass,pass,not_planned,https://arxiv.org/abs/2201.13117,f989f22f14f77017c8e8ca487b21b5f94e1a2775c47827dc8ff50d05ea53cdf1,full_text_downloaded_and_extracted
P008,2210.03139,Stochastic normalizing flows for lattice field theory,pass,pass,pass,pass,pass,https://arxiv.org/abs/2210.03139,6e55973206bb8030e21bdd951bc005c64dbabf2698a4491f1d21e5ca29909cc8,C4_anchored_manual_reading
P009,2211.01364,An optimal control perspective on diffusion-based generative modeling,pass,pass,pass,pass,not_planned,https://arxiv.org/abs/2211.01364,acc14bcda73d11c0a46913696e81622d5add9b147b042754a6b5c1486949e5ba,full_text_downloaded_and_extracted
P010,2302.13834,Denoising Diffusion Samplers,pass,pass,pass,pass,pass,https://arxiv.org/abs/2302.13834,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321,C4_anchored_manual_reading
P011,2302.14082,Detecting and Mitigating Mode-Collapse for Flow-based Sampling of Lattice Field Theories,pass,pass,pass,pass,not_planned,https://arxiv.org/abs/2302.14082,f9407626519a0d4eeb4237e35bb4e20d9e4c5495233ef047f3becac439ef4ec6,full_text_downloaded_and_extracted
P012,2309.17082,Diffusion Models as Stochastic Quantization in Lattice Field Theory,pass,pass,pass,pass,pass,https://arxiv.org/abs/2309.17082,3c6e52dcbf2a73118d59cb87490bb843ddbebce1e46c73b93f68caa144f242bc,C4_anchored_manual_reading
P013,2310.11979,Out-of-equilibrium simulations to fight topological freezing,pass,pass,pass,pass,pass,https://arxiv.org/abs/2310.11979,e6025298d818d5071c1cdcd1c9c5761f963ab5e230208c31de55963c6fcdd90a,C4_anchored_manual_reading
P014,2311.03578,Generative Diffusion Models for Lattice Field Theory,pass,pass,pass,pass,not_planned,https://arxiv.org/abs/2311.03578,bf6e772c236bcaec0901f01be734f24914bf66d9380cd2ed7ddf9c3635c4b3df,full_text_downloaded_and_extracted
P015,2402.06561,Mitigating topological freezing using out-of-equilibrium simulations,pass,pass,pass,pass,pass,https://arxiv.org/abs/2402.06561,f7441e1c1daf7a6f053e027ed49095e5c2df916600070b7cbe0b26877b3e7816,C4_anchored_manual_reading
P016,2404.09723,Minimal Autocorrelation in Hybrid Monte Carlo simulations using Exact Fourier Acceleration,pass,pass,pass,pass,not_planned,https://arxiv.org/abs/2404.09723,cbce966d82bba76c90c7963fa18b8fa2b6b74b192bc4e043fb8bcc8ae5968eac,full_text_downloaded_and_extracted
P017,2412.00200,Scaling of Stochastic Normalizing Flows in $\mathrm{SU}(3)$ lattice gauge theory,pass,pass,pass,pass,not_planned,https://arxiv.org/abs/2412.00200,6c672c0a654ced72f71c7adaf195cb0e6218460d6c0a3cfa687b45c9eae79730,full_text_downloaded_and_extracted
P018,2512.19575,Variational Autoregressive Networks Applied to $φ^4$ Field Theory Systems,pass,pass,pass,pass,pass,https://arxiv.org/abs/2512.19575,7572feab34168a4a32c01d6d2f9f00b5dd7bac62603476104e4d488363da9b96,C4_anchored_manual_reading
P019,2604.10209,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,pass,pass,pass,pass,pass,https://arxiv.org/abs/2604.10209,f63310ecd3fc85390956cdbd6dac9f8676cfbc5c7060411e2fb24b9d76f7dfe1,C4_anchored_manual_reading
P020,2605.11199,Operator Spectroscopy of Trained Lattice Samplers,pass,pass,pass,pass,pass,https://arxiv.org/abs/2605.11199,5cd87c3a8a6ed6c2a6d8bc7a3e414e0c6fc92f3d42ac6b122270c2d643e49a96,C4_anchored_manual_reading
P021,2607.08505,Diffusion Models for Sampling Near Criticality in Lattice Field Theories,pass,pass,pass,pass,pass,https://arxiv.org/abs/2607.08505,29e9de724ae484a7998d3044fc9e34cb8edb16e812918f71c2d57359e4d73572,C4_anchored_manual_reading
