route_id,round,family,facet,raw_hits,unique_hits,status
P01,L0,root,identifier_probe,1,1,OK
P02,L1,root_reference_hypothesis,identifier_probe,1,1,OK
P03,L1,root_reference_hypothesis,identifier_probe,1,1,OK
P04,L1,root_reference_hypothesis,identifier_probe,1,1,OK
P05,L1,root_reference_hypothesis,identifier_probe,1,1,OK
P06,L1,root_reference_hypothesis,identifier_probe,1,1,OK
P07,L1,root_reference_hypothesis,identifier_probe,1,1,OK
P08,L3,author_context,identifier_probe,1,1,OK
P09,L3,author_context,identifier_probe,1,1,OK
P10,L4,forward_neighbor,identifier_probe,1,1,OK
P11,L2,adjacent_hypothesis,identifier_probe,1,1,OK
P12,L2,adjacent_hypothesis,identifier_probe,1,1,OK
Q01,L0,root,identity,1,1,OK
Q02,L0,root,identity,1,1,OK
Q03,L1,root_terms,method,1,1,OK
Q04,L1,domain,domain,4,4,OK
Q05,L1,normalizing_flow,method,30,30,OK
Q06,L2,stochastic_flow,method,14,14,OK
Q07,L2,nonequilibrium,mechanism,4,4,OK
Q08,L2,path_space,mechanism,30,30,OK
Q09,L2,entropy_production,mechanism,30,30,OK
Q10,L2,diffusion,adjacent,30,30,OK
Q11,L2,critical_slowing,problem,30,30,OK
Q12,L3,jarzynski,method_precedent,30,30,OK
Q13,L3,author,author_lineage,18,18,OK
Q14,L3,author,author_lineage,21,21,OK
Q15,L3,author,author_lineage,10,10,OK
Q16,L4,evaluation,verification,30,30,OK
Q17,L4,correction,exactness,30,30,OK
Q18,L4,adjacent,method,9,9,OK
Q19,L5,correction,exactness,4,4,OK
Q20,L6,path_lattice,mechanism,1,1,OK
Q21,L7,stochastic_quantization,mechanism,6,6,OK
Q22,L8,topology,problem,8,8,OK
Q23,L9,multiscale,scaling,17,17,OK
Q24,L10,author,author_lineage,0,0,OK
