route_id,round,family,facet,query_type,expression,url,retrieved_at_utc,http_status,status,bytes,sha256,raw_file,error_file
Q01,L0,root,identity,id_list,2606.13790,https://export.arxiv.org/api/query?id_list=2606.13790&max_results=1,2026-07-16T09:46:47Z,200,OK,    3142,a89808c6c4217737f61863d5729c310450609d21391571d85341a17e5d88fb52,raw/arxiv/Q01.xml,raw/arxiv/Q01.curl.stderr.txt
Q02,L0,root,identity,search,"ti:""Stochastic Path Sampler For Lattice Field Theory""",https://export.arxiv.org/api/query?search_query=ti%3A%22Stochastic+Path+Sampler+For+Lattice+Field+Theory%22&start=0&max_results=10&sortBy=submittedDate&sortOrder=descending,2026-07-16T09:46:50Z,200,OK,    3235,b2146f6bb447f80cddd579a26a06f594b4d6e6d9808ce09bc40296903dba4d99,raw/arxiv/Q02.xml,raw/arxiv/Q02.curl.stderr.txt
Q03,L1,root_terms,method,search,"all:""stochastic path sampler""",https://export.arxiv.org/api/query?search_query=all%3A%22stochastic+path+sampler%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T09:46:54Z,200,OK,    3187,57fabd576e868027c2e9594768d089857cb5c146f3c5f1e7f5c2ab7d2e966777,raw/arxiv/Q03.xml,raw/arxiv/Q03.curl.stderr.txt
Q04,L1,domain,domain,search,"all:""lattice field theory"" AND all:""neural sampler""",https://export.arxiv.org/api/query?search_query=all%3A%22lattice+field+theory%22+AND+all%3A%22neural+sampler%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T09:46:57Z,200,OK,    9504,acc652a1e39c2dab49f17e72249e3785a7b074502b3c4223a3da48c06293ce1e,raw/arxiv/Q04.xml,raw/arxiv/Q04.curl.stderr.txt
Q05,L1,normalizing_flow,method,search,"all:""lattice field theory"" AND all:""normalizing flow""",https://export.arxiv.org/api/query?search_query=all%3A%22lattice+field+theory%22+AND+all%3A%22normalizing+flow%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T09:47:01Z,200,OK,   64643,e44e0da50e2799d64403bbab588a2c7f4419556a28775da0c605d7259fe31398,raw/arxiv/Q05.xml,raw/arxiv/Q05.curl.stderr.txt
Q06,L2,stochastic_flow,method,search,"all:""stochastic normalizing flow"" AND all:lattice",https://export.arxiv.org/api/query?search_query=all%3A%22stochastic+normalizing+flow%22+AND+all%3Alattice&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T09:47:04Z,200,OK,   31019,c1bfaca54c99bdc1a64c8d5882f92cd642e95595fe9fd4e09052bcfb103ecee1,raw/arxiv/Q06.xml,raw/arxiv/Q06.curl.stderr.txt
Q07,L2,nonequilibrium,mechanism,search,"all:nonequilibrium AND all:""lattice field""",https://export.arxiv.org/api/query?search_query=all%3Anonequilibrium+AND+all%3A%22lattice+field%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T09:47:08Z,200,OK,    9730,93b937e84ccee6fcc4950ee173172dcd08bd4b70f5221211eb33563ebd9501af,raw/arxiv/Q07.xml,raw/arxiv/Q07.curl.stderr.txt
Q08,L2,path_space,mechanism,search,"all:""path space"" AND all:sampling",https://export.arxiv.org/api/query?search_query=all%3A%22path+space%22+AND+all%3Asampling&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T09:47:11Z,200,OK,   72640,a2735f2519e2371bb160e1fb2bf34f3d39310e97f87525c176dce0fccfb4f7df,raw/arxiv/Q08.xml,raw/arxiv/Q08.curl.stderr.txt
Q09,L2,entropy_production,mechanism,search,"all:""entropy production"" AND all:sampling",https://export.arxiv.org/api/query?search_query=all%3A%22entropy+production%22+AND+all%3Asampling&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T09:47:15Z,200,OK,   72918,058f7c84e58631f1239d91dd25bf72328cffcfce0b34901b30add77bbf6b1c5b,raw/arxiv/Q09.xml,raw/arxiv/Q09.curl.stderr.txt
Q10,L2,diffusion,adjacent,search,"all:diffusion AND all:""lattice field theory""",https://export.arxiv.org/api/query?search_query=all%3Adiffusion+AND+all%3A%22lattice+field+theory%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T09:47:18Z,200,OK,   57375,a340c969c5cfe25b855981fd75394cdce33e4cefbca13f83149b0e55d3ce2d34,raw/arxiv/Q10.xml,raw/arxiv/Q10.curl.stderr.txt
Q11,L2,critical_slowing,problem,search,"all:""critical slowing down"" AND all:lattice",https://export.arxiv.org/api/query?search_query=all%3A%22critical+slowing+down%22+AND+all%3Alattice&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T09:47:22Z,200,OK,   68467,555ea0ed84edd7ecb641764acb4e855be818c2363d267eafa419ed518dddd8df,raw/arxiv/Q11.xml,raw/arxiv/Q11.curl.stderr.txt
Q12,L3,jarzynski,method_precedent,search,all:Jarzynski AND all:lattice,https://export.arxiv.org/api/query?search_query=all%3AJarzynski+AND+all%3Alattice&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T09:47:26Z,200,OK,   61261,02666b4690122c5a14334004e8c104a86e2a0d8364205809ef23ee715cb7dcf7,raw/arxiv/Q12.xml,raw/arxiv/Q12.curl.stderr.txt
Q13,L3,author,author_lineage,search,au:Qian_M,https://export.arxiv.org/api/query?search_query=au%3AQian_M&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T09:47:29Z,200,OK,   60115,502522d061c226def44111d0a62f64f34b70745eaeee0a284bda55c3cd4a157f,raw/arxiv/Q13.xml,raw/arxiv/Q13.curl.stderr.txt
Q14,L3,author,author_lineage,search,au:Aarts_G AND all:lattice,https://export.arxiv.org/api/query?search_query=au%3AAarts_G+AND+all%3Alattice&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T09:47:33Z,200,OK,   42904,cd6b15c6fc39710d29b48b9fef84dde881c5a4762f92c7da064de4d021dfb334,raw/arxiv/Q14.xml,raw/arxiv/Q14.curl.stderr.txt
Q15,L3,author,author_lineage,search,"au:Chen_S AND all:""stochastic""",https://export.arxiv.org/api/query?search_query=au%3AChen_S+AND+all%3A%22stochastic%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T09:47:36Z,200,OK,   67589,c6eec48533dca8d1413ad41e4b4d9851ea6ec3e1501d77b52a676d30183047b7,raw/arxiv/Q15.xml,raw/arxiv/Q15.curl.stderr.txt
Q16,L4,evaluation,verification,search,all:autocorrelation AND all:lattice AND all:sampling,https://export.arxiv.org/api/query?search_query=all%3Aautocorrelation+AND+all%3Alattice+AND+all%3Asampling&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T09:47:40Z,200,OK,   68113,b049b6a552cbbd1377b5995cc303704de6c5278391dcd814b6a2a13de945e5da,raw/arxiv/Q16.xml,raw/arxiv/Q16.curl.stderr.txt
Q17,L4,correction,exactness,search,"all:""independence Metropolis"" AND all:sampling",https://export.arxiv.org/api/query?search_query=all%3A%22independence+Metropolis%22+AND+all%3Asampling&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T09:47:43Z,200,OK,   62976,6dfcfbc53da2e753c4868570deb31601c10141243d79e179e1a6b081dac33b64,raw/arxiv/Q17.xml,raw/arxiv/Q17.curl.stderr.txt
Q18,L4,adjacent,method,search,"all:""Schrodinger bridge"" AND all:sampling",https://export.arxiv.org/api/query?search_query=all%3A%22Schrodinger+bridge%22+AND+all%3Asampling&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T09:47:47Z,200,OK,   21716,f58b5ae2e0f8e1b8e3539688d700e286df2a744de04d9c525f4586be02b2d89a,raw/arxiv/Q18.xml,raw/arxiv/Q18.curl.stderr.txt
P01,L0,root,identifier_probe,id_list,2606.13790,https://export.arxiv.org/api/query?id_list=2606.13790&max_results=1,2026-07-16T09:47:50Z,200,OK,    3142,a89808c6c4217737f61863d5729c310450609d21391571d85341a17e5d88fb52,raw/arxiv/P01.xml,raw/arxiv/P01.curl.stderr.txt
