paper_id,arxiv_id,target_level,cluster,selection_reason,title,authors,published,version,canonical_url,pdf_url,screen_rank,screen_score,screen_decision,route_ids
P001,2606.13790,C4,root_sps,Root paper and current method identity.,Stochastic Path Sampler For Lattice Field Theory,Shiyang Chen; Moxian Qian; Gert Aarts; Biagio Lucini; Kai Zhou,2026-06-11T18:01:31Z,v1,https://arxiv.org/abs/2606.13790,https://arxiv.org/pdf/2606.13790v1,1,132,include,P01;Q01;Q02;Q03;Q04;Q07;Q08;Q09;Q11;Q16;Q17;Q19;Q20;Q21
P002,1904.12072,C4,flow_lattice,Early flow-based MCMC lattice-field baseline.,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,M. S. Albergo; G. Kanwar; P. E. Shanahan,2019-04-26T23:30:09Z,v3,https://arxiv.org/abs/1904.12072,https://arxiv.org/pdf/1904.12072v3,6,28,include,P05
P003,2003.06413,C4,gauge_flow,Equivariant lattice-gauge flow branch.,Equivariant flow-based sampling for lattice gauge theory,Gurtej Kanwar; Michael S. Albergo; Denis Boyda; Kyle Cranmer; Daniel C. Hackett; Sébastien Racanière; Danilo Jimenez Rezende; Phiala E. Shanahan,2020-03-13T17:54:05Z,v1,https://arxiv.org/abs/2003.06413,https://arxiv.org/pdf/2003.06413v1,52,16,include,P06
P004,2101.08176,C3,flow_overview,Field-specific normalizing-flow overview and terminology cross-check.,Introduction to Normalizing Flows for Lattice Field Theory,Michael S. Albergo; Denis Boyda; Daniel C. Hackett; Gurtej Kanwar; Kyle Cranmer; Sébastien Racanière; Danilo Jimenez Rezende; Phiala E. Shanahan,2021-01-20T15:16:28Z,v3,https://arxiv.org/abs/2101.08176,https://arxiv.org/pdf/2101.08176v3,20,23,include,P07
P005,2111.15141,C4,path_control,Path-space control and unnormalized-target adjacent method.,Path Integral Sampler: a stochastic control approach for sampling,Qinsheng Zhang; Yongxin Chen,2021-11-30T05:50:12Z,v2,https://arxiv.org/abs/2111.15141,https://arxiv.org/pdf/2111.15141v2,102,15,candidate,P02
P006,2201.08862,C4,stochastic_flow,Nonequilibrium and Jarzynski bridge to stochastic normalizing flows.,Stochastic normalizing flows as non-equilibrium transformations,Michele Caselle; Elia Cellini; Alessandro Nada; Marco Panero,2022-01-21T19:00:18Z,v3,https://arxiv.org/abs/2201.08862,https://arxiv.org/pdf/2201.08862v3,18,24,include,P03;Q06;Q12
P007,2201.13117,C3,annealed_flow,Annealed flow transport bridge and correction context.,Continual Repeated Annealed Flow Transport Monte Carlo,Alexander G. D. G. Matthews; Michael Arbel; Danilo J. Rezende; Arnaud Doucet,2022-01-31T10:58:31Z,v3,https://arxiv.org/abs/2201.13117,https://arxiv.org/pdf/2201.13117v3,12,27,include,Q06
P008,2210.03139,C4,stochastic_flow,Lattice stochastic-normalizing-flow implementation account.,Stochastic normalizing flows for lattice field theory,Michele Caselle; Elia Cellini; Alessandro Nada; Marco Panero,2022-10-06T18:01:14Z,v1,https://arxiv.org/abs/2210.03139,https://arxiv.org/pdf/2210.03139v1,7,28,include,P04;Q06;Q12
P009,2211.01364,C3,optimal_control,General diffusion/control bridge; retained as method-adjacent only.,An optimal control perspective on diffusion-based generative modeling,Julius Berner; Lorenz Richter; Karen Ullrich,2022-11-02T17:59:09Z,v3,https://arxiv.org/abs/2211.01364,https://arxiv.org/pdf/2211.01364v3,103,15,candidate,P11
P010,2302.13834,C4,diffusion,Denoising diffusion sampler for unnormalized targets.,Denoising Diffusion Samplers,Francisco Vargas; Will Grathwohl; Arnaud Doucet,2023-02-27T14:37:16Z,v2,https://arxiv.org/abs/2302.13834,https://arxiv.org/pdf/2302.13834v2,97,18,candidate,P12
P011,2302.14082,C3,failure_mode,Mode-collapse detection and mitigation in lattice flow sampling.,Detecting and Mitigating Mode-Collapse for Flow-based Sampling of Lattice Field Theories,Kim A. Nicoli; Christopher J. Anders; Tobias Hartung; Karl Jansen; Pan Kessel; Shinichi Nakajima,2023-02-27T19:00:22Z,v2,https://arxiv.org/abs/2302.14082,https://arxiv.org/pdf/2302.14082v2,14,25,include,Q05
P012,2309.17082,C4,diffusion_lattice,Diffusion and stochastic-quantization branch in lattice phi4.,Diffusion Models as Stochastic Quantization in Lattice Field Theory,Lingxiao Wang; Gert Aarts; Kai Zhou,2023-09-29T09:26:59Z,v2,https://arxiv.org/abs/2309.17082,https://arxiv.org/pdf/2309.17082v2,8,28,include,Q10;Q16;Q21
P013,2310.11979,C4,nonequilibrium_lattice,Nonequilibrium evaluation branch for topological freezing.,Out-of-equilibrium simulations to fight topological freezing,Claudio Bonanno; Alessandro Nada; Davide Vadacchino,2023-10-18T14:07:43Z,v1,https://arxiv.org/abs/2310.11979,https://arxiv.org/pdf/2310.11979v1,9,28,include,Q05;Q06;Q12;Q16;Q22
P014,2311.03578,C3,diffusion_lattice,Generative diffusion lattice precursor.,Generative Diffusion Models for Lattice Field Theory,Lingxiao Wang; Gert Aarts; Kai Zhou,2023-11-06T22:24:28Z,v1,https://arxiv.org/abs/2311.03578,https://arxiv.org/pdf/2311.03578v1,24,22,include,Q10;Q21
P015,2402.06561,C4,nonequilibrium_lattice,Follow-up topological-freezing evaluation route.,Mitigating topological freezing using out-of-equilibrium simulations,Claudio Bonanno; Alessandro Nada; Davide Vadacchino,2024-02-09T17:21:04Z,v2,https://arxiv.org/abs/2402.06561,https://arxiv.org/pdf/2402.06561v2,59,15,include,Q06;Q12;Q22
P016,2404.09723,C3,evaluation,Autocorrelation baseline and exact Fourier-acceleration context.,Minimal Autocorrelation in Hybrid Monte Carlo simulations using Exact Fourier Acceleration,Johann Ostmeyer; Pavel Buividovich,2024-04-15T12:26:37Z,v3,https://arxiv.org/abs/2404.09723,https://arxiv.org/pdf/2404.09723v3,15,25,include,Q16
P017,2412.00200,C3,stochastic_flow,Scaling evidence in SU3 stochastic normalizing flows.,Scaling of Stochastic Normalizing Flows in $\mathrm{SU}(3)$ lattice gauge theory,Andrea Bulgarelli; Elia Cellini; Alessandro Nada,2024-11-29T19:01:05Z,v3,https://arxiv.org/abs/2412.00200,https://arxiv.org/pdf/2412.00200v3,3,29,include,Q06;Q12;Q16
P018,2512.19575,C4,autoregressive_lattice,Recent variational-autoregressive phi4 comparison family.,Variational Autoregressive Networks Applied to $φ^4$ Field Theory Systems,Moxian Qian; Shiyang Chen,2025-12-22T16:57:06Z,v1,https://arxiv.org/abs/2512.19575,https://arxiv.org/pdf/2512.19575v1,27,22,include,P08;Q11
P019,2604.10209,C4,critical_sampling,Current criticality and scalable generative sampling comparison.,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,A. Singha; J. Kauffmann; E. Cellini; K. Jansen; S. Nakajima,2026-04-11T13:35:19Z,v1,https://arxiv.org/abs/2604.10209,https://arxiv.org/pdf/2604.10209v1,2,33,include,Q05;Q11;Q16;Q23
P020,2605.11199,C4,author_context,Current author-context sampler-mechanism diagnostic.,Operator Spectroscopy of Trained Lattice Samplers,Moxian Qian,2026-05-11T20:06:15Z,v1,https://arxiv.org/abs/2605.11199,https://arxiv.org/pdf/2605.11199v1,71,13,include,P09
P021,2607.08505,C4,forward_neighbor,Current near-critical diffusion benchmark and diagnostics.,Diffusion Models for Sampling Near Criticality in Lattice Field Theories,Yang-yang Tan; Gert Aarts; Diaa E. Habibi; Biagio Lucini; Lingxiao Wang,2026-07-09T14:00:29Z,v1,https://arxiv.org/abs/2607.08505,https://arxiv.org/pdf/2607.08505v1,5,29,include,P10;Q10
