paper_id,arxiv_id,title,authors,published,version,family,target_level,source_relation,source_url,pdf_url,pdf_path,text_path,pdf_pages,pdf_sha256,metadata_title_match,full_text_integrity,full_text_read,evidence_level
P001,2606.13790,Stochastic Path Sampler For Lattice Field Theory,Shiyang Chen; Moxian Qian; Gert Aarts; Biagio Lucini; Kai Zhou,2026-06-11T18:01:31Z,v1,root_sps,C4,Root paper and current method identity.,https://arxiv.org/abs/2606.13790,https://arxiv.org/pdf/2606.13790v1,sources/pdfs/2606.13790.pdf,sources/text/2606.13790.txt,33,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17,PASS,PASS,C3_pass,C4_claim_anchored
P002,1904.12072,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,M. S. Albergo; G. Kanwar; P. E. Shanahan,2019-04-26T23:30:09Z,v3,flow_lattice,C4,Early flow-based MCMC lattice-field baseline.,https://arxiv.org/abs/1904.12072,https://arxiv.org/pdf/1904.12072v3,sources/pdfs/1904.12072.pdf,sources/text/1904.12072.txt,13,61749019a775a8141842ce23b4dce5678a3f712f311dfcc379747b943ccbe07d,PASS,PASS,C3_pass,C4_claim_anchored
P003,2003.06413,Equivariant flow-based sampling for lattice gauge theory,Gurtej Kanwar; Michael S. Albergo; Denis Boyda; Kyle Cranmer; Daniel C. Hackett; Sébastien Racanière; Danilo Jimenez Rezende; Phiala E. Shanahan,2020-03-13T17:54:05Z,v1,gauge_flow,C4,Equivariant lattice-gauge flow branch.,https://arxiv.org/abs/2003.06413,https://arxiv.org/pdf/2003.06413v1,sources/pdfs/2003.06413.pdf,sources/text/2003.06413.txt,6,6f5d0bb1effda44b3fcb55d40ba679495428944a8988c71c61e7ccf19258d1f4,PASS,PASS,C3_pass,C4_claim_anchored
P004,2101.08176,Introduction to Normalizing Flows for Lattice Field Theory,Michael S. Albergo; Denis Boyda; Daniel C. Hackett; Gurtej Kanwar; Kyle Cranmer; Sébastien Racanière; Danilo Jimenez Rezende; Phiala E. Shanahan,2021-01-20T15:16:28Z,v3,flow_overview,C3,Field-specific normalizing-flow overview and terminology cross-check.,https://arxiv.org/abs/2101.08176,https://arxiv.org/pdf/2101.08176v3,sources/pdfs/2101.08176.pdf,sources/text/2101.08176.txt,39,1b0caf63db00d605563de7cf56b5905c2572ee02dbdca7aaaf187231fa1a7822,PASS,PASS,C3_pass,C3_full_text
P005,2111.15141,Path Integral Sampler: a stochastic control approach for sampling,Qinsheng Zhang; Yongxin Chen,2021-11-30T05:50:12Z,v2,path_control,C4,Path-space control and unnormalized-target adjacent method.,https://arxiv.org/abs/2111.15141,https://arxiv.org/pdf/2111.15141v2,sources/pdfs/2111.15141.pdf,sources/text/2111.15141.txt,26,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8,PASS,PASS,C3_pass,C4_claim_anchored
P006,2201.08862,Stochastic normalizing flows as non-equilibrium transformations,Michele Caselle; Elia Cellini; Alessandro Nada; Marco Panero,2022-01-21T19:00:18Z,v3,stochastic_flow,C4,Nonequilibrium and Jarzynski bridge to stochastic normalizing flows.,https://arxiv.org/abs/2201.08862,https://arxiv.org/pdf/2201.08862v3,sources/pdfs/2201.08862.pdf,sources/text/2201.08862.txt,32,798759d54c5256ac75eb188fac679c96d0af51979894b85d0c72c7db03817858,PASS,PASS,C3_pass,C4_claim_anchored
P007,2201.13117,Continual Repeated Annealed Flow Transport Monte Carlo,Alexander G. D. G. Matthews; Michael Arbel; Danilo J. Rezende; Arnaud Doucet,2022-01-31T10:58:31Z,v3,annealed_flow,C3,Annealed flow transport bridge and correction context.,https://arxiv.org/abs/2201.13117,https://arxiv.org/pdf/2201.13117v3,sources/pdfs/2201.13117.pdf,sources/text/2201.13117.txt,24,f989f22f14f77017c8e8ca487b21b5f94e1a2775c47827dc8ff50d05ea53cdf1,PASS,PASS,C3_pass,C3_full_text
P008,2210.03139,Stochastic normalizing flows for lattice field theory,Michele Caselle; Elia Cellini; Alessandro Nada; Marco Panero,2022-10-06T18:01:14Z,v1,stochastic_flow,C4,Lattice stochastic-normalizing-flow implementation account.,https://arxiv.org/abs/2210.03139,https://arxiv.org/pdf/2210.03139v1,sources/pdfs/2210.03139.pdf,sources/text/2210.03139.txt,9,6e55973206bb8030e21bdd951bc005c64dbabf2698a4491f1d21e5ca29909cc8,PASS,PASS,C3_pass,C4_claim_anchored
P009,2211.01364,An optimal control perspective on diffusion-based generative modeling,Julius Berner; Lorenz Richter; Karen Ullrich,2022-11-02T17:59:09Z,v3,optimal_control,C3,General diffusion/control bridge; retained as method-adjacent only.,https://arxiv.org/abs/2211.01364,https://arxiv.org/pdf/2211.01364v3,sources/pdfs/2211.01364.pdf,sources/text/2211.01364.txt,42,acc14bcda73d11c0a46913696e81622d5add9b147b042754a6b5c1486949e5ba,PASS,PASS,C3_pass,C3_full_text
P010,2302.13834,Denoising Diffusion Samplers,Francisco Vargas; Will Grathwohl; Arnaud Doucet,2023-02-27T14:37:16Z,v2,diffusion,C4,Denoising diffusion sampler for unnormalized targets.,https://arxiv.org/abs/2302.13834,https://arxiv.org/pdf/2302.13834v2,sources/pdfs/2302.13834.pdf,sources/text/2302.13834.txt,30,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321,PASS,PASS,C3_pass,C4_claim_anchored
