route_id	round	family	facet	query_type	expression	url	raw_file
Q01	L0	root	identity	id_list	2606.13790	https://export.arxiv.org/api/query?id_list=2606.13790&max_results=1	raw/arxiv/Q01.xml
Q02	L0	root	identity	search	"ti:""Stochastic Path Sampler For Lattice Field Theory"""	https://export.arxiv.org/api/query?search_query=ti%3A%22Stochastic+Path+Sampler+For+Lattice+Field+Theory%22&start=0&max_results=10&sortBy=submittedDate&sortOrder=descending	raw/arxiv/Q02.xml
Q03	L1	root_terms	method	search	"all:""stochastic path sampler"""	https://export.arxiv.org/api/query?search_query=all%3A%22stochastic+path+sampler%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	raw/arxiv/Q03.xml
Q04	L1	domain	domain	search	"all:""lattice field theory"" AND all:""neural sampler"""	https://export.arxiv.org/api/query?search_query=all%3A%22lattice+field+theory%22+AND+all%3A%22neural+sampler%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	raw/arxiv/Q04.xml
Q05	L1	normalizing_flow	method	search	"all:""lattice field theory"" AND all:""normalizing flow"""	https://export.arxiv.org/api/query?search_query=all%3A%22lattice+field+theory%22+AND+all%3A%22normalizing+flow%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	raw/arxiv/Q05.xml
Q06	L2	stochastic_flow	method	search	"all:""stochastic normalizing flow"" AND all:lattice"	https://export.arxiv.org/api/query?search_query=all%3A%22stochastic+normalizing+flow%22+AND+all%3Alattice&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	raw/arxiv/Q06.xml
Q07	L2	nonequilibrium	mechanism	search	"all:nonequilibrium AND all:""lattice field"""	https://export.arxiv.org/api/query?search_query=all%3Anonequilibrium+AND+all%3A%22lattice+field%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	raw/arxiv/Q07.xml
Q08	L2	path_space	mechanism	search	"all:""path space"" AND all:sampling"	https://export.arxiv.org/api/query?search_query=all%3A%22path+space%22+AND+all%3Asampling&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	raw/arxiv/Q08.xml
Q09	L2	entropy_production	mechanism	search	"all:""entropy production"" AND all:sampling"	https://export.arxiv.org/api/query?search_query=all%3A%22entropy+production%22+AND+all%3Asampling&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	raw/arxiv/Q09.xml
Q10	L2	diffusion	adjacent	search	"all:diffusion AND all:""lattice field theory"""	https://export.arxiv.org/api/query?search_query=all%3Adiffusion+AND+all%3A%22lattice+field+theory%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	raw/arxiv/Q10.xml
Q11	L2	critical_slowing	problem	search	"all:""critical slowing down"" AND all:lattice"	https://export.arxiv.org/api/query?search_query=all%3A%22critical+slowing+down%22+AND+all%3Alattice&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	raw/arxiv/Q11.xml
Q12	L3	jarzynski	method_precedent	search	all:Jarzynski AND all:lattice	https://export.arxiv.org/api/query?search_query=all%3AJarzynski+AND+all%3Alattice&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	raw/arxiv/Q12.xml
Q13	L3	author	author_lineage	search	au:Qian_M	https://export.arxiv.org/api/query?search_query=au%3AQian_M&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	raw/arxiv/Q13.xml
Q14	L3	author	author_lineage	search	au:Aarts_G AND all:lattice	https://export.arxiv.org/api/query?search_query=au%3AAarts_G+AND+all%3Alattice&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	raw/arxiv/Q14.xml
Q15	L3	author	author_lineage	search	"au:Chen_S AND all:""stochastic"""	https://export.arxiv.org/api/query?search_query=au%3AChen_S+AND+all%3A%22stochastic%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	raw/arxiv/Q15.xml
Q16	L4	evaluation	verification	search	all:autocorrelation AND all:lattice AND all:sampling	https://export.arxiv.org/api/query?search_query=all%3Aautocorrelation+AND+all%3Alattice+AND+all%3Asampling&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	raw/arxiv/Q16.xml
Q17	L4	correction	exactness	search	"all:""independence Metropolis"" AND all:sampling"	https://export.arxiv.org/api/query?search_query=all%3A%22independence+Metropolis%22+AND+all%3Asampling&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	raw/arxiv/Q17.xml
