ref_no,bibkey,authors,year,title,venue,doi,arxiv_id,url,citation_line,root_context,screening_decision,facet,screening_reason,primary_source_status,full_text_status,notes
1,rezende2015variational,"Rezende, Danilo Jimenez and Mohamed, Shakir",2015,Variational Inference with Normalizing Flows,Proceedings of the 32nd International Conference on Machine Learning,,,http://proceedings.mlr.press/v37/rezende15.html,72,"Variational free‑energy based training models include normalizing flows (NFs) \cite{rezende2015variational}, continuous normalizing flows (CNFs) \cite{chen2018neural} and autoregressive networks~\cite{Wu:2019elz,Wang:2020hji}. NFs have been used to generate lattice field configurations in scalar \cite{Albergo_2019,Nicoli:2020njz}, fermionic \cite{albergo2021flow} and gauge theories \cite{Kanwar_2020,Boyda_2021,Albergo_2022}. Related variational autoregressive approaches have also been explored for scalar $\phi^4$ theory \cite{Qian:2025VANphi4}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
2,chen2018neural,"Chen, Ricky T. Q. and Rubanova, Yulia and Bettencourt, Jesse and Duvenaud, David K",2018,Neural Ordinary Differential Equations,Advances in Neural Information Processing Systems,,,https://proceedings.neurips.cc/paper\_files/paper/2018/file/69386f6bb1dfed68692a24c8686939b9-Paper.pdf,72,"Variational free‑energy based training models include normalizing flows (NFs) \cite{rezende2015variational}, continuous normalizing flows (CNFs) \cite{chen2018neural} and autoregressive networks~\cite{Wu:2019elz,Wang:2020hji}. NFs have been used to generate lattice field configurations in scalar \cite{Albergo_2019,Nicoli:2020njz}, fermionic \cite{albergo2021flow} and gauge theories \cite{Kanwar_2020,Boyda_2021,Albergo_2022}. Related variational autoregressive approaches have also been explored for scalar $\phi^4$ theory \cite{Qian:2025VANphi4}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
3,Wu:2019elz,"Wu, Dian and Wang, Lei and Zhang, Pan",2019,Solving Statistical Mechanics Using Variational Autoregressive Networks,Phys. Rev. Lett.,10.1103/PhysRevLett.122.080602,,,72,"Variational free‑energy based training models include normalizing flows (NFs) \cite{rezende2015variational}, continuous normalizing flows (CNFs) \cite{chen2018neural} and autoregressive networks~\cite{Wu:2019elz,Wang:2020hji}. NFs have been used to generate lattice field configurations in scalar \cite{Albergo_2019,Nicoli:2020njz}, fermionic \cite{albergo2021flow} and gauge theories \cite{Kanwar_2020,Boyda_2021,Albergo_2022}. Related variational autoregressive approaches have also been explored for scalar $\phi^4$ theory \cite{Qian:2025VANphi4}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
4,Wang:2020hji,"Wang, Lingxiao and Jiang, Yin and He, Lianyi and Zhou, Kai",2022,Continuous-Mixture Autoregressive Networks Learning the Kosterlitz-Thouless Transition,Chin. Phys. Lett.,10.1088/0256-307X/39/12/120502,2005.04857,,72,"Variational free‑energy based training models include normalizing flows (NFs) \cite{rezende2015variational}, continuous normalizing flows (CNFs) \cite{chen2018neural} and autoregressive networks~\cite{Wu:2019elz,Wang:2020hji}. NFs have been used to generate lattice field configurations in scalar \cite{Albergo_2019,Nicoli:2020njz}, fermionic \cite{albergo2021flow} and gauge theories \cite{Kanwar_2020,Boyda_2021,Albergo_2022}. Related variational autoregressive approaches have also been explored for scalar $\phi^4$ theory \cite{Qian:2025VANphi4}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
5,Albergo_2019,"Albergo, M. S. and Kanwar, G. and Shanahan, P. E.",2019,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,Phys. Rev. D,10.1103/PhysRevD.100.034515,1904.12072,,72,"Variational free‑energy based training models include normalizing flows (NFs) \cite{rezende2015variational}, continuous normalizing flows (CNFs) \cite{chen2018neural} and autoregressive networks~\cite{Wu:2019elz,Wang:2020hji}. NFs have been used to generate lattice field configurations in scalar \cite{Albergo_2019,Nicoli:2020njz}, fermionic \cite{albergo2021flow} and gauge theories \cite{Kanwar_2020,Boyda_2021,Albergo_2022}. Related variational autoregressive approaches have also been explored for scalar $\phi^4$ theory \cite{Qian:2025VANphi4}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
6,Nicoli:2020njz,"Nicoli, Kim A. and Anders, Christopher J. and Funcke, Lena and Hartung, Tobias and Jansen, Karl and Kessel, Pan and Nakajima, Shinichi and Stornati, Paolo",2021,Estimation of Thermodynamic Observables in Lattice Field Theories with Deep Generative Models,Phys. Rev. Lett.,10.1103/PhysRevLett.126.032001,2007.07115,,72,"Variational free‑energy based training models include normalizing flows (NFs) \cite{rezende2015variational}, continuous normalizing flows (CNFs) \cite{chen2018neural} and autoregressive networks~\cite{Wu:2019elz,Wang:2020hji}. NFs have been used to generate lattice field configurations in scalar \cite{Albergo_2019,Nicoli:2020njz}, fermionic \cite{albergo2021flow} and gauge theories \cite{Kanwar_2020,Boyda_2021,Albergo_2022}. Related variational autoregressive approaches have also been explored for scalar $\phi^4$ theory \cite{Qian:2025VANphi4}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
7,albergo2021flow,"Albergo, Michael S. and Kanwar, Gurtej and Racani\`ere, S\'ebastien and Rezende, Danilo J. and Urban, Julian M. and Boyda, Denis and Cranmer, Kyle and Hackett, Daniel C. and Shanahan, Phiala E.",2021,Flow-based sampling for fermionic lattice field theories,Phys. Rev. D,10.1103/PhysRevD.104.114507,2106.05934,,72,"Variational free‑energy based training models include normalizing flows (NFs) \cite{rezende2015variational}, continuous normalizing flows (CNFs) \cite{chen2018neural} and autoregressive networks~\cite{Wu:2019elz,Wang:2020hji}. NFs have been used to generate lattice field configurations in scalar \cite{Albergo_2019,Nicoli:2020njz}, fermionic \cite{albergo2021flow} and gauge theories \cite{Kanwar_2020,Boyda_2021,Albergo_2022}. Related variational autoregressive approaches have also been explored for scalar $\phi^4$ theory \cite{Qian:2025VANphi4}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
8,Kanwar_2020,"Kanwar, Gurtej and Albergo, Michael S. and Boyda, Denis and Cranmer, Kyle and Hackett, Daniel C. and Racani\`ere, S\'ebastien and Rezende, Danilo Jimenez and Shanahan, Phiala E.",2020,Equivariant flow-based sampling for lattice gauge theory,Phys. Rev. Lett.,10.1103/PhysRevLett.125.121601,2003.06413,,72,"Variational free‑energy based training models include normalizing flows (NFs) \cite{rezende2015variational}, continuous normalizing flows (CNFs) \cite{chen2018neural} and autoregressive networks~\cite{Wu:2019elz,Wang:2020hji}. NFs have been used to generate lattice field configurations in scalar \cite{Albergo_2019,Nicoli:2020njz}, fermionic \cite{albergo2021flow} and gauge theories \cite{Kanwar_2020,Boyda_2021,Albergo_2022}. Related variational autoregressive approaches have also been explored for scalar $\phi^4$ theory \cite{Qian:2025VANphi4}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
9,Boyda_2021,"Boyda, Denis and Kanwar, Gurtej and Racani\`ere, S\'ebastien and Rezende, Danilo Jimenez and Albergo, Michael S. and Cranmer, Kyle and Hackett, Daniel C. and Shanahan, Phiala E.",2021,Sampling using SU(N) gauge equivariant flows,Phys. Rev. D,10.1103/PhysRevD.103.074504,,https://link.aps.org/doi/10.1103/PhysRevD.103.074504,72,"Variational free‑energy based training models include normalizing flows (NFs) \cite{rezende2015variational}, continuous normalizing flows (CNFs) \cite{chen2018neural} and autoregressive networks~\cite{Wu:2019elz,Wang:2020hji}. NFs have been used to generate lattice field configurations in scalar \cite{Albergo_2019,Nicoli:2020njz}, fermionic \cite{albergo2021flow} and gauge theories \cite{Kanwar_2020,Boyda_2021,Albergo_2022}. Related variational autoregressive approaches have also been explored for scalar $\phi^4$ theory \cite{Qian:2025VANphi4}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
10,Albergo_2022,"Albergo, Michael S. and Boyda, Denis and Cranmer, Kyle and Hackett, Daniel C. and Kanwar, Gurtej and Racani\`ere, S\'ebastien and Rezende, Danilo J. and Romero-L\'opez, Fernando and Shanahan, Phiala E. and Urban, Julian M.",2022,Flow-based sampling in the lattice Schwinger model at criticality,Phys. Rev. D,10.1103/PhysRevD.106.014514,2202.11712,,72,"Variational free‑energy based training models include normalizing flows (NFs) \cite{rezende2015variational}, continuous normalizing flows (CNFs) \cite{chen2018neural} and autoregressive networks~\cite{Wu:2019elz,Wang:2020hji}. NFs have been used to generate lattice field configurations in scalar \cite{Albergo_2019,Nicoli:2020njz}, fermionic \cite{albergo2021flow} and gauge theories \cite{Kanwar_2020,Boyda_2021,Albergo_2022}. Related variational autoregressive approaches have also been explored for scalar $\phi^4$ theory \cite{Qian:2025VANphi4}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
