QueryID,ExecutedAt,RawHits,DeduplicatedHits,ScreenedHits,IncludedHits,NewTerms,NewFacets,NoisePatterns,Decision,NextAction
F01,2026-07-12T12:07:40+0200,1670,25,25,16,,root_identity,,executed_screened,merged_into_candidate_pool
F02,2026-07-12T12:07:41+0200,0,0,0,0,,root_identity,,executed_screened,merged_into_candidate_pool
F03,2026-07-12T12:07:41+0200,0,0,0,0,,source_verification,,executed_screened,merged_into_candidate_pool
F04,2026-07-12T12:07:42+0200,1,1,1,0,,backward_lineage,,executed_screened,merged_into_candidate_pool
F05,2026-07-12T12:07:43+0200,712,50,50,3,,forward_lineage,,executed_screened,merged_into_candidate_pool
F06,2026-07-12T12:07:44+0200,0,0,0,0,,author_lineage,,executed_screened,merged_into_candidate_pool
F07,2026-07-12T12:07:44+0200,6,6,6,1,,collaborator_lineage,,executed_screened,merged_into_candidate_pool
F08,2026-07-12T12:07:45+0200,47,25,25,10,,collaborator_lineage,,executed_screened,merged_into_candidate_pool
F09,2026-07-12T12:07:46+0200,21,21,21,6,,collaborator_lineage,,executed_screened,merged_into_candidate_pool
F10,2026-07-12T12:07:47+0200,128,25,25,6,,collaborator_lineage,,executed_screened,merged_into_candidate_pool
F11,2026-07-12T12:07:49+0200,3877,25,25,11,,correctness_mechanism,,executed_screened,merged_into_candidate_pool
F12,2026-07-12T12:07:50+0200,10082,25,25,10,,training_objective,,executed_screened,merged_into_candidate_pool
F13,2026-07-12T12:07:52+0200,628,25,25,12,,training_objective,,executed_screened,merged_into_candidate_pool
F14,2026-07-12T12:07:53+0200,4543,25,25,4,,dynamics,,executed_screened,merged_into_candidate_pool
F15,2026-07-12T12:07:54+0200,206,25,25,5,,physics_lineage,,executed_screened,merged_into_candidate_pool
F16,2026-07-12T12:07:55+0200,224,25,25,9,,exactness,,executed_screened,merged_into_candidate_pool
F17,2026-07-12T12:07:56+0200,16214,25,25,7,,adjacent_method,,executed_screened,merged_into_candidate_pool
F18,2026-07-12T12:07:57+0200,195,25,25,4,,adjacent_method,,executed_screened,merged_into_candidate_pool
F19,2026-07-12T12:07:59+0200,255,25,25,13,,data_free_sampling,,executed_screened,merged_into_candidate_pool
F20,2026-07-12T12:07:59+0200,8,8,8,2,,adjacent_architecture,,executed_screened,merged_into_candidate_pool
F21,2026-07-12T12:08:01+0200,24746,25,25,3,,adjacent_architecture,,executed_screened,merged_into_candidate_pool
F22,2026-07-12T12:08:02+0200,574,25,25,1,,priority_challenge,,executed_screened,merged_into_candidate_pool
F23,2026-07-12T12:08:03+0200,7763,25,25,14,,failure_mode,,executed_screened,merged_into_candidate_pool
F24,2026-07-12T12:08:04+0200,750,25,25,3,,scaling_boundary,,executed_screened,merged_into_candidate_pool
F25,2026-07-12T12:08:05+0200,34379,25,25,1,,alternative_framing,,executed_screened,merged_into_candidate_pool
F26,2026-07-12T12:08:06+0200,2501380,20,20,8,,doi_source_check,,executed_screened,merged_into_candidate_pool
F27,2026-07-12T12:08:06+0200,3,0,0,0,,author_source_check,,executed_screened,merged_into_candidate_pool
F28,2026-07-12T12:08:07+0200,98,25,25,19,,adjacent_balance,,executed_screened,merged_into_candidate_pool
F29,2026-07-12T12:08:10+0200,11,11,11,2,,closure_round_1,,executed_screened,closure_complete
F30,2026-07-12T12:08:11+0200,58,25,25,11,,closure_round_2,,executed_screened,closure_complete
L01,2026-07-12T12:08:12+0200,398,25,25,6,,exactness_MH,,executed_screened,merged_into_candidate_pool
L02,2026-07-12T12:08:13+0200,18,18,18,2,,mode_collapse_tails_composite_MCMC,,executed_screened,merged_into_candidate_pool
L03,2026-07-12T12:08:14+0200,50315,25,25,1,,log_variance_path_space_loss,,executed_screened,merged_into_candidate_pool
L04,2026-07-12T12:08:15+0200,71,25,25,2,,gauge_topology_diffusion,,executed_screened,merged_into_candidate_pool
L05,2026-07-12T12:08:16+0200,12,12,12,3,,pseudofermion_dynamical_fermion_scaling,,executed_screened,merged_into_candidate_pool
L06,2026-07-12T12:08:16+0200,850,25,25,3,,lattice_size_parameter_transfer,,executed_screened,merged_into_candidate_pool
