QueryID,Round,RouteFamily,RawHits,RetainedMetadata,IncludedOrMonitor
F01,R0,root,1670,25,16
F02,R0,root,0,0,0
F03,R0,source_link,0,0,0
F04,R1,backward,1,1,0
F05,R1,forward,712,50,3
F06,R1,author,0,0,0
F07,R1,collaborator,6,6,1
F08,R1,collaborator,47,25,10
F09,R1,collaborator,21,21,6
F10,R1,collaborator,128,25,6
F11,R1,normalized_keyword,3877,25,11
F12,R1,normalized_keyword,10082,25,10
F13,R1,normalized_keyword,628,25,12
F14,R1,normalized_keyword,4543,25,4
F15,R1,normalized_keyword,206,25,5
F16,R1,normalized_keyword,224,25,9
F17,R1,adjacent,16214,25,7
F18,R1,adjacent,195,25,4
F19,R1,adjacent,255,25,13
F20,R1,adjacent,8,8,2
F21,R1,adjacent,24746,25,3
F22,R1,adversarial,574,25,1
F23,R1,adversarial,7763,25,14
F24,R1,adversarial,750,25,3
F25,R1,adversarial,34379,25,1
F26,R1,source_link,2501380,20,8
F27,R1,source_link,3,0,0
F28,R1,adjacent,98,25,19
F29,R2,closure,11,11,2
F30,R3,closure,58,25,11
L01,R1,legacy,398,25,6
L02,R1,legacy,18,18,2
L03,R1,legacy,50315,25,1
L04,R1,legacy,71,25,2
L05,R1,legacy,12,12,3
L06,R1,legacy,850,25,3
