PaperID,ArxivID,BibKey,Title,Authors,Year,Cluster,SourceRelation,PrimaryURL,PDFPath,Pages,SHA256,Problem,ProblemAnchor,MechanismCorrection,MechanismAnchor,Result,ResultAnchor,Limitation,LimitationAnchor,EvidenceIDs,VerificationStatus
P_1904_12072,1904.12072,Albergo_2019,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,"Albergo, M. S. and Kanwar, G. and Shanahan, P. E.",2019,flow,direct_bibliography,https://arxiv.org/abs/1904.12072,sources/pdfs/1904.12072.pdf,13,61749019a775a8141842ce23b4dce5678a3f712f311dfcc379747b943ccbe07d,LFT sampling near criticality is slowed by local MCMC.,"p.1, Introduction",A normalizing flow supplies independent proposals; an independence Metropolis-Hastings chain supplies asymptotic exactness.,"pp.1-4, flow-based MCMC","In 2D phi4, observables agree with HMC/local Metropolis and rejection-driven correlations are reduced.","pp.7-9, tests",Proof of principle in the symmetric phase; architecture search and training-inclusive cost optimization are left open.,"pp.6-7, scope/cost caveat",EV-01-P;EV-01-M;EV-01-R;EV-01-L,green_check_full_text
P_2003_06413,2003.06413,Kanwar_2020,Equivariant flow-based sampling for lattice gauge theory,"Kanwar, Gurtej and Albergo, Michael S. and Boyda, Denis and Cranmer, Kyle and Hackett, Daniel C. and Racani\`ere, S\'ebastien and Rezende, Danilo Jimenez and Shanahan, Phiala E.",2020,gauge_flow,direct_bibliography,https://arxiv.org/abs/2003.06413,sources/pdfs/2003.06413.pdf,6,6f5d0bb1effda44b3fcb55d40ba679495428944a8988c71c61e7ccf19258d1f4,Topological freezing obstructs conventional sampling in lattice gauge theory.,"p.1, introduction",Gauge-equivariant coupling layers preserve symmetry and feed an exact Metropolis-Hastings chain.,"pp.1-3, equivariant flow","For 2D U(1), flow proposals traverse topological sectors more readily than HMC/heat bath at the studied coupling.","pp.1,4-5, numerical study","The demonstration is a low-dimensional solvable gauge theory, not a cost-matched 4D QCD result.","pp.5-6, outlook",EV-02-P;EV-02-M;EV-02-R;EV-02-L,green_check_full_text
P_2007_07115,2007.07115,Nicoli:2020njz,Estimation of Thermodynamic Observables in Lattice Field Theories with Deep Generative Models,"Nicoli, Kim A. and Anders, Christopher J. and Funcke, Lena and Hartung, Tobias and Jansen, Karl and Kessel, Pan and Nakajima, Shinichi and Stornati, Paolo",2021,flow,direct_bibliography,https://arxiv.org/abs/2007.07115,sources/pdfs/2007.07115.pdf,13,2adb146d491a4ec0e09d1a680fd3455ebfa54567722c8f42472e6843dd6a6ee7,Absolute free energies are difficult for standard MCMC integration paths.,"p.1, Introduction",A tractable deep generative density enables direct free-energy and thermodynamic estimators with importance weighting.,"pp.1-3, estimator",The 2D phi4 tests agree with reference calculations and avoid parameter-path integration.,"pp.3-5, numerical experiments",Estimator quality depends on overlap/model quality; the paper does not establish large-volume cost scaling.,"p.5, Conclusion",EV-03-P;EV-03-M;EV-03-R;EV-03-L,green_check_full_text
P_2106_05934,2106.05934,albergo2021flow,Flow-based sampling for fermionic lattice field theories,"Albergo, Michael S. and Kanwar, Gurtej and Racani\`ere, S\'ebastien and Rezende, Danilo J. and Urban, Julian M. and Boyda, Denis and Cranmer, Kyle and Hackett, Daniel C. and Shanahan, Phiala E.",2021,fermion_flow,direct_bibliography,https://arxiv.org/abs/2106.05934,sources/pdfs/2106.05934.pdf,25,ea75b10a32baf6510c3b1d3696759c6e1c4be346d1e257e5b43282ca64c909ac,Fermion determinants and pseudofermion structure complicate learned LFT proposals.,"p.1, Introduction","Joint/auxiliary flow constructions model scalar and pseudofermion variables, followed by exact MCMC correction.","pp.5-10, model constructions",A 2D Yukawa theory demonstrates viable fermionic flow-based sampling and correct observables.,"pp.11-17, experiments",The benchmark is two dimensional; determinant/pseudofermion cost and scaling to realistic dynamical fermions remain unresolved.,"p.18, Discussion",EV-04-P;EV-04-M;EV-04-R;EV-04-L,green_check_full_text
P_2107_00734,2107.00734,hackett2025flowbasedsamplingmultimodalextendedmode,Flow-based sampling for multimodal and extended-mode distributions in lattice field theory,Daniel C. Hackett and Chung-Chun Hsieh and Sahil Pontula and Michael S. Albergo and Denis Boyda and Jiunn-Wei Chen and Kai-Feng Chen and Kyle Cranmer and Gurtej Kanwar and Phiala E. Shanahan,2025,multimodal_flow,direct_bibliography,https://arxiv.org/abs/2107.00734,sources/pdfs/2107.00734.pdf,43,55998cffeab28dbcff6ac5448733fed20458dee16301075dfbecdf81914f8d69,Reverse-KL flows can miss separated or extended modes.,"pp.1-3, Introduction","Adiabatic retraining, flow-distance regularization, symmetry-aware models, and composite flow/MCMC transitions repair mode coverage.","pp.11-21, methods",Real and complex scalar tests show that composite samplers can remain useful where a pure flow fails.,"pp.21-35, case studies",No single intervention guarantees coverage; diagnostics and training choices remain model dependent.,"p.37, Summary and outlook",EV-05-P;EV-05-M;EV-05-R;EV-05-L,green_check_full_text
P_2110_02673,2110.02673,dehaan2021scalingmachinelearningquantum,Scaling Up Machine Learning For Quantum Field Theory with Equivariant Continuous Flows,Pim de Haan and Corrado Rainone and Miranda C. N. Cheng and Roberto Bondesan,2021,continuous_flow,direct_bibliography,https://arxiv.org/abs/2110.02673,sources/pdfs/2110.02673.pdf,8,8cc983701e0b464b438e03457414b6d05545c7805f605865f8dd3f586755754c,Generic deep flows scale poorly and neglect field-theory symmetry.,"pp.1-2, Introduction",A shallow equivariant continuous flow uses domain-specific basis functions and MH correction.,"pp.2-5, architecture",Relative ESS rises from about 1% for the RealNVP baseline to 66% in the reported phi4 setting.,"pp.1,5-6, results",Systematic scalability assessment is explicitly future work.,"p.7, Conclusion",EV-06-P;EV-06-M;EV-06-R;EV-06-L,green_check_full_text
P_2111_15141,2111.15141,zhang2022pathintegralsamplerstochastic,Path Integral Sampler: a stochastic control approach for sampling,"Zhang, Qinsheng and Chen, Yongxin",2022,path_sampler,direct_bibliography,https://arxiv.org/abs/2111.15141,sources/pdfs/2111.15141.pdf,26,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8,Sampling unnormalized targets remains hard for finite-step variational samplers.,"pp.1-3, sampling problem",Path Integral Sampler learns a stochastic-control drift and uses trajectory importance weights for calibration.,"pp.3-7, control/path objective",Benchmarks compare favorably with contemporary sampling methods across multimodal targets.,"pp.7-9, experiments",Neural training adds overhead and finite-step quality depends on optimization and hyperparameters.,"p.9, Limitations",EV-07-P;EV-07-M;EV-07-R;EV-07-L,green_check_full_text
P_2201_08862,2201.08862,Caselle_2022,Stochastic normalizing flows as non-equilibrium transformations,"Caselle, Michele and Cellini, Elia and Nada, Alessandro and Panero, Marco",2022,stochastic_flow,direct_bibliography,https://arxiv.org/abs/2201.08862,sources/pdfs/2201.08862.pdf,32,798759d54c5256ac75eb188fac679c96d0af51979894b85d0c72c7db03817858,Free-energy estimation and efficient transport both suffer from nonequilibrium dissipation.,"p.2, Introduction",Stochastic normalizing flows interleave trainable invertible layers with stochastic updates under a Jarzynski/work framework.,"pp.5-12, framework",Scalar-field examples show reduced work fluctuations and improved free-energy/sampling efficiency over simpler protocols.,"pp.13-21, tests",Benefits depend on protocol/training design and the paper does not establish general high-dimensional cost scaling.,"p.22, Conclusions",EV-08-P;EV-08-M;EV-08-R;EV-08-L,green_check_full_text
P_2202_11712,2202.11712,Albergo_2022,Flow-based sampling in the lattice Schwinger model at criticality,"Albergo, Michael S. and Boyda, Denis and Cranmer, Kyle and Hackett, Daniel C. and Kanwar, Gurtej and Racani\`ere, S\'ebastien and Rezende, Danilo J. and Romero-L\'opez, Fernando and Shanahan, Phiala E. and Urban, Julian M.",2022,fermion_flow,direct_bibliography,https://arxiv.org/abs/2202.11712,sources/pdfs/2202.11712.pdf,8,8586e34ea00b8a83522e6b83b55e05404df7129ed95bda97a218b12fcfb44fe8,At criticality conventional chains can fail to visit all sectors in the lattice Schwinger model.,"p.1, motivation",A symmetry-aware flow proposes global configurations inside an exact MCMC construction.,"pp.1-3, sampler",The flow-based chain samples both critical sectors and yields uncertainties missed by stuck conventional chains.,"pp.2-4, results",The result is model-specific and end-to-end training/generation cost is not matched against alternatives.,"p.4, Conclusion and outlook",EV-09-P;EV-09-M;EV-09-R;EV-09-L,green_check_full_text
P_2207_00283,2207.00283,Gerdes_2023,Learning lattice quantum field theories with equivariant continuous flows,"Gerdes, Mathis and de Haan, Pim and Rainone, Corrado and Bondesan, Roberto and Cheng, Miranda C. N.",2023,continuous_flow,direct_bibliography,https://arxiv.org/abs/2207.00283,sources/pdfs/2207.00283.pdf,17,430e9eac53156a514fa6e97a401e8a9118ebd632530f5b7ffe7cf81f76751286,"LFT samplers need symmetry, efficiency, and transfer across parameters/volumes.","pp.1-3, Introduction",An equivariant neural ODE defines a continuous normalizing flow with exact MH correction.,"pp.4-7, continuous flow",It outperforms earlier flows in phi4 and demonstrates joint-theory learning plus transfer to larger lattices.,"pp.8-10, results",Evidence remains centered on 2D scalar theory; transfer does not by itself prove asymptotic cost scaling.,"p.10, Conclusion",EV-10-P;EV-10-M;EV-10-R;EV-10-L,green_check_full_text
